Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1197],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN36 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,64525.27999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,428,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103,
[1197],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN71 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,47640.159999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,513,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11104,
[1197],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN79 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,56082.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,961,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11105,
[5216],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FN-10 [5216],TRACHYBASALT [5216],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5216] ,223246.956,19778.219999999998,,82616.0811,,76654.24,58841.61,,69397.37000000001,27317.712,1239.1328,,20006.615,23220.124099999997,2880.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,12,,,,,,,,,,,465.63,,,,,,,,,,,,,,,46.54,106.1,,,10.87,3.78,,,,,,,,,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116186,
[1197][3061][3112],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN20 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,77189.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,427,123,,,,,,0.104,0.112,4.4,,0.015,,,956,73,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577-FDN20,
[1197][3061][3112],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN25 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,64525.27999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,249,37,,,,,,0.113,0.086,4.9,,0.0032,,,283,30,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577-FDN25,
[1197][3061][3112],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN55 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,33770.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,452,100,,,,,,0.324,0.08,2.5,,0.0016,,,1094,125,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577-FDN55,
[1197],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FDN72 [1197],BASALT [1197],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,50052.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,395,83,,,,,,,,,,,,,707,87,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577-FDN72,
[3969],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / QUIXABA FORMATION / ATLANTIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FN8-1 [3969],"NEPHELINITE, OLIVINE [3969]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [3969] ,186272.84750000003,23673.93,,55677.2052,,,,100893.54000000001,94125.99,78696.72,1440.49188,,9795.769999999999,20104.324699999997,4189.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,861,,,,,,,,,,,,,,,,825,68,139,,64.6,11.5,3.51,9.96,,6.43,,2.64,,2.05,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194072,
[3969],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / REMEDIOS FORMATION / ATLANTIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FN14-3 [3969],"BASALT, ALKALINE [3969]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3969] ,245122.91400000002,8570.562,,99552.1131,,,,45860.700000000004,39951.729999999996,20985.791999999998,1239.1328,,40428.305,47256.2909,1265.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,1071,,,,,,,,,,,,,,,,636,119.1,161,,42.4,6.7,1.94,5.3,,3.89,,2.08,,2,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194086,
