Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1210],OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE) / PACIFIC OCEAN,,-0.63,-0.63,-90.38,-90.38,SUBAERIAL,,,s E-4 [1210],BASALT [1210],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1210] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,4.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283118,,,,,,,10302,
[604],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO / PACIFIC OCEAN,,-0.41,-0.41,-91.03,-91.03,SUBAERIAL,,,s DG4 [604],THOLEIITE [604],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [604] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10450,
[604],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO / PACIFIC OCEAN,,-0.41,-0.41,-91.03,-91.03,SUBAERIAL,,,s SR9A [604],RHYOLITE [604],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [604] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10453,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"SE FLANK, 8.3 KM FROM CALDERA CENTER",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 80-61S [4796],THOLEIITE [4796],,,,,,,1961,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,231707.52950000003,20797.097999999998,,75418.2675,,,94364.22,,76258.49,35820.576,,,4897.884999999999,21810.5958,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105108,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"SE FLANK, 7 KM FROM CALDERA CENTER",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 80-68S [4796],THOLEIITE [4796],,,,,,,1968,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,227079.923,24932.543999999998,,71131.3344,,,102992.25,,73471.15999999999,33046.592000000004,,,5312.96,22626.638499999997,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105109,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"NW BENCH, NEAR VENT AT WNW BACK OF BENCH",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 84-7 [4796],THOLEIITE [4796],,,,,,,1984,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,225023.20900000003,25112.346,,70655.0085,,,100660.34999999999,,71184.12000000001,34735.104,,,5894.065,23145.9384,1789.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105110,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"NW BENCH, NEAR VENT AT WNW BACK OF BENCH",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 84-7 [4796],THOLEIITE [4796],,,,,,,1984,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,224649.26100000003,25052.411999999997,,69490.6563,,,102292.68000000001,,71684.40999999999,34132.064,,,6392.155,22552.4528,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105111,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"CALDERA INTERIOR, WNW CALDERA RIM",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 84-12 [4796],THOLEIITE [4796],,,,,,,1984,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,229276.8675,20317.626,,76953.0954,,,89078.58,,75543.79000000001,38353.344,,,5229.945,21588.0387,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105112,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"SOUTH RIM, FROM ESE WALL FAILURE EVENT",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s F88-2 [4796],THOLEIITE [4796],,,,,,,1988,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,224836.23500000002,22894.787999999997,,69596.5065,,,100582.62,,76115.55,34554.192,1548.9160000000002,,5063.915,23516.866899999997,2531.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105113,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,ESE RIM FROM ESE WALL FAILURE EVENT,-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s F88-3 [4796],THOLEIITE [4796],,,,,,,1988,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,226939.6925,22834.854,,74253.9153,,,98095.26,,75972.61,36604.528,1394.0244,,4482.81,22181.5243,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105114,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,EAST WALL,-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 91-C [4796],THOLEIITE [4796],,,,,,,1991,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,227687.5885,21396.438,,75524.1177,,,98483.91,,77187.6,36122.096,1394.0244,,4233.765,22033.1529,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105119,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,EAST WALL,-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s 91-D [4796],THOLEIITE [4796],,,,,,,1991,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,226892.94900000002,21756.041999999998,,74571.4659,,,98095.26,,78045.24,36604.528,1394.0244,,4316.78,21884.7815,1658.3998000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105120,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"SW FLANK, CABO HAMMOND",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s FV1 [4796],THOLEIITE [4796],,,,,,,1995,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4796] ,229697.559,23194.458,,72930.7878,,,98406.18000000001,,78259.65,33167.2,2013.5908,,4897.884999999999,21884.7815,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105121,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"CALDERA INTERIOR, WNW CALDERA RIM",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,,,s F145 [4796],THOLEIITE [4796],,,,,,,1968,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4796] ,225584.131,17680.53,,81028.3281,,36228.92,49280.82,83482.02,84406.07,36544.223999999995,1394.0244,,3154.57,20104.324699999997,1178.3367,,2000.,0,,,,,,,,,,,,,-2500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,350,116,,,47,53,90,89,,,,,,7,317,27,141,,,,,,,,,,,,,,90,12.7,32.1,,,5.26,1.83,,0.94,,,,,2.33,0.34,4.48,2.28,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,105162,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"CALDERA INTERIOR, WNW CALDERA WALL",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,1275,1275,s F381 [4796],THOLEIITE [4796],,,,,,,,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4796] ,225350.41350000002,19658.352,,74306.8404,,,,87446.25,79546.11,37388.479999999996,1394.0244,,4233.765,20549.4389,1483.8314,,,,,,,,,,,,,,,,-5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,151,,,,57,88,108,,,,,,9,316,32,181,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105163,
[4796],OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH) / PACIFIC OCEAN,"CALDERA INTERIOR, CIRCUMFERENTIAL DIKE",-0.34,-0.34,-91.47,-91.47,SUBAERIAL,1185,1185,s F356 [4796],THOLEIITE [4796],,,,,,,,PLAGIOCLASE-PHYRIC [4796] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4796] ,227033.17950000003,18939.144,,73354.1886,,,,86902.14,80975.51,39619.728,1394.0244,,3486.6299999999997,19436.6534,1309.263,,,,,,,,,,,,,,,,-5300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,152,,,,71,104,114,,,,,,7,299,29,163,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105164,
