Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1252],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE RB02 / PACIFIC OCEAN,DREDGE 4,23.85,23.85,-157.45,-157.45,SUBAQUATIC,-4250,-4350,s RB02-A [1252],"BASALT, ALKALINE, OLIVINE [1252]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [1252] ,,,,,,,,,,,,,,,,7000.,,,,2800.0000000000005,,,400.,,,,,,,1350.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13136,
[1252],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 26D / PACIFIC OCEAN,FLOW,23.585,23.585,-157.705,-157.705,SUBAQUATIC,-4303,-4303,s 26D [1252],BASALT [1252],,,,,,,,NONVESICULAR [1252] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1252] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,,,,13138,
[1252],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 21 / PACIFIC OCEAN,VENT,24.5,24.5,-157,-157,SUBAQUATIC,,,s 21D [1252],BASALT [1252],,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [1252] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,13141,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 8 / PACIFIC OCEAN,FLOW,24,24,-157.5,-157.5,SUBAQUATIC,,,s 8G [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,211748.055,13664.951999999997,,78329.148,,,90944.09999999999,,87908.1,38715.168,1316.5786,,8052.455,27522.894699999997,1396.5472,,,,,,,,,,,,,,,1460.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13145,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 10 / PACIFIC OCEAN,FLOW,24,24,-157.5,-157.5,SUBAQUATIC,,,s 10G [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,207073.70500000002,13305.348,,73565.88900000001,,,92498.7,,87908.1,47037.119999999995,1394.0244,,8550.545,27300.3376,1920.2524,,,,,,,,,,,,,,,1729.9999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13147,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 14 / PACIFIC OCEAN,,24,24,-157.5,-157.5,SUBAQUATIC,,,s 14G [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,205671.40000000002,13664.951999999997,,75153.64199999999,,,92498.7,,87193.4,46072.255999999994,1394.0244,,8467.53,27300.3376,1920.2524,,,,,,,,,,,,,,,1660.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13149,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 15 / PACIFIC OCEAN,,25,25,-158,-158,SUBAQUATIC,,,s 15D [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,208008.575,15163.301999999998,,80975.403,,,93276,,85764,34373.28,1394.0244,,9546.724999999999,30416.136999999995,2138.4629,,,,,,,,,,,,,,,1780.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13150,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 16 / PACIFIC OCEAN,,25,25,-158,-158,SUBAQUATIC,,,s 16D [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,211748.055,13005.677999999998,,77799.897,,,90944.09999999999,,89337.5,39860.944,1316.5786,,7056.275,27968.0089,1614.7576999999999,,,,,,,,,,,,,,,1630.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13151,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 17 / PACIFIC OCEAN,FLOW,25.5,25.5,-157.5,-157.5,SUBAQUATIC,,,s 17D-B [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,213150.36000000002,11627.195999999998,,76212.144,,,88612.2,,85764,48544.72,1394.0244,,6558.185,26484.294899999997,1221.9788,,,,,,,,,,,,,,,1390.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13153,
[1254],OCEAN ISLAND,HAWAIIAN ARCH VOLCANIC FIELDS / NORTH ARCH VOLCANIC FIELD / DREDGE 18 / PACIFIC OCEAN,,25,25,-157.35,-157.35,SUBAQUATIC,,,s 18D [1254],"BASALT, ALKALINE [1254]",,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,VOLCANIC GLASS [1254] ,210813.18500000003,14024.555999999999,,77799.897,,,90166.8,,87908.1,37750.304,1394.0244,,8301.5,28190.566,1832.9682,,,,,,,,,,,,,,,1830.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13154,
