Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / NIHOA / SHIELD STAGE / PACIFIC OCEAN,"BETWEEN ADAMS BAY AND MILLERS PEAK, 4M BELOW MILLERS PEAK",23.05,23.05,-161.92,-161.92,SUBAERIAL,295,295,s 8G101 [277],THOLEIITE [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [277] ,217684.47950000002,16961.322,,66526.85070000001,,42103.88,49280.82,,73399.69,54816.335999999996,1239.1328,,2324.42,14317.8401,3316.7996000000003,,10900.,10700.,,0,,,,,,,,9800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12589,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / NIHOA / SHIELD STAGE / PACIFIC OCEAN,BETWEEN ADAMS BAY AND MILLERS PEAK,23.05,23.05,-161.92,-161.92,SUBAERIAL,58,58,s 8G126 [277],THOLEIITE [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [277] ,231099.864,17021.255999999998,,74677.3161,,24828.699999999997,59463.450000000004,,72827.93,37207.568,1161.687,,3569.645,17730.3823,2007.5366000000001,,10600.,11200.000000000002,,100.,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12590,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN,,23.82,23.82,-167.97,-167.97,SUBAERIAL,5,5,s LPP-E-15 [277],BASALT [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [277] ,215581.022,12885.81,,54354.0777,,27696.239999999998,63660.869999999995,,67038.86,100044.336,1316.5786,,2905.5249999999996,11795.5263,1352.9051,,3900.,2800.0000000000005,,200.,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12594,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN,,23.82,23.82,-167.97,-167.97,SUBAERIAL,6,6,s LPP-W-20 [277],BASALT [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [277] ,216001.7135,12765.942,,53613.1263,,27276.6,65060.009999999995,,65466.520000000004,102697.712,1471.4702,,2822.51,11572.9692,1221.9788,,3200.,2100.,,200.,,,,,,,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12595,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN,,23.82,23.82,-167.97,-167.97,SUBAERIAL,9,9,s LPP-W-30 [277],BASALT [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [277] ,214786.38250000004,12765.942,,55042.10400000001,,29794.44,62961.299999999996,,65537.99,98958.864,1316.5786,,2822.51,11869.712,1309.263,,5500.,4400.,,0,,,,,,,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12596,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / LA PEROUSE PINNACLE / SHIELD STAGE / PACIFIC OCEAN,,23.82,23.82,-167.97,-167.97,SUBAERIAL,11,11,s LPP-W-35 [277],BASALT [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [277] ,211420.8505,12825.876,,54407.0028,,35879.22,54566.46,,69897.65999999999,95762.752,1316.5786,,2822.51,11943.8977,3054.9469999999997,,6300.,6000.,,300.,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12597,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / GARDNER PINNACLE / PACIFIC OCEAN,,25,25,-167.98,-167.98,SUBAERIAL,5,5,s GP-18 [277],BASALT [277],,,,,,,,INTERGRANULAR [277] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [277] ,206232.32200000001,16242.114,,85950.3624,,44761.600000000006,52467.75,,80332.28,31840.512,1858.6992,,4565.825000000001,20326.8818,1571.1155999999999,,19300.,1900.,,12200.,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12598,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN,BETWEEN ADAMS BAY AND MILLERS PEAK,23.05,23.05,-161.92,-161.92,SUBAERIAL,72,72,s 8G133 [277],THOLEIITE [277],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [277] ,,,,,,,,,,,,,1436.1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12603,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN,BETWEEN ADAMS BAY AND MILLERS PEAK,23.05,23.05,-161.92,-161.92,SUBAERIAL,72,72,s 8G135 [277],THOLEIITE [277],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [277] ,,,,,,,,,,,,,2000.6615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12604,
[277],OCEAN ISLAND,HAWAIIAN-EMPEROR CHAIN / NIHOA / PACIFIC OCEAN,BETWEEN ADAMS BAY AND MILLERS PEAK,23.05,23.05,-161.92,-161.92,SUBAERIAL,82,82,s 8G140 [277],THOLEIITE [277],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [277] ,,,,,,,,,,,,,2639.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12605,
