Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[115],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JM151A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,10114,
[115],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JM151A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from CLINOPYROXENE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,10115,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-12 [1209] / s JAN12 [1321],ANKARAMITE [1209],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,226939.6925,7671.552,,37470.9708,,11050.52,51768.18,,107205,105652.608,1084.2412000000002,,6309.14,8086.241300000001,1047.4104,,1300.,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,,,,,,,,,280,2410,,,66,350,88,142,,,,,,13,257,7,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-12,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-14 [1209] / s JAN14 [1321],"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE [1209]",,,,,,,,PORPHYRITIC [1321] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,220161.885,17740.464,,85103.56079999999,,22101.04,61095.780000000006,,78545.53,35579.36,1471.4702,,15606.82,23887.7954,2313.0313,,2400.,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,,,,,,,,,,,445,147,,,49,62,48,201,,,,,,44,729,27,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-14,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-148 [1209] / s JAN148 [1321],NOT GIVEN [1209] / GABBRO [1321],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [1209] ,210112.03250000003,14204.358,,81451.7289,,16715.66,79595.52,,96055.68,44383.744,1316.5786,,2241.405,16617.5968,741.9157,,2400.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,488,118,,,55,51,29,86,,,,,,2,582,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-148,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-167 [1209] / s JAN167 [1321],ANKARAMITE [1209],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,222031.62500000003,9829.176,,43874.9079,,16575.780000000002,51146.340000000004,,99915.06,99501.59999999999,1161.687,,8550.545,10163.4409,1221.9788,,1300.,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,300,2570,,,96,260,62,163,,,,,,15,302,11,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-167,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-168 [1209] / s JAN168 [1321],TRACHYTE [1209],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,290277.135,5034.455999999999,,92883.55050000001,,29724.5,7850.7300000000005,,17295.739999999998,5186.143999999999,1703.8076,,42918.755,42137.4776,1440.1893,,2000.,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,5,10,,,8,4,8,87,,,,,,109,557,46,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-168,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-170 [1209] / s JAN170 [1321],TRACHYTE [1209],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,286070.22000000003,4974.521999999999,,90237.29550000001,,28955.159999999996,20132.07,,17724.56,5186.143999999999,1781.2534,,42420.665,42137.4776,1396.5472,,1000.,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,,,,,,,,,,,124,587,47,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-170,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-22 [1209] / s JAN22 [1321],"BASALT, ANKARAMITIC [1209]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,222031.62500000003,14743.764,,72507.387,,16575.780000000002,63971.79,,91624.54000000001,48725.632,1316.5786,,12286.22,16988.5253,2007.5366000000001,,2800.0000000000005,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,605,140,,,43,114,84,314,,,,,,46,533,11,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-22,
[1209][1321],OCEAN ISLAND,JAN MAYEN / JAN MAYEN / ATLANTIC OCEAN,,71,71,-8.5,-8.5,SUBAERIAL,,,s JAN-25 [1209] / s JAN25 [1321],"BASALT, ANKARAMITIC [1209]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1209] ,225537.3875,17440.793999999998,,79546.4253,,26227.5,54488.729999999996,,73185.28,36966.352,1471.4702,,21251.84,21662.2244,2836.7365,,2600.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,,,,,,,,,,,,,,,,,,,,,,,,56,801,31,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409-JAN-25,
