Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-16 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,225490.64400000003,13545.083999999997,,73142.4882,,,,90944.09999999999,68682.67,63258.896,1316.5786,,5063.915,20178.5104,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,284,,,,,,,,14,370,25,170,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111416,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-6 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,224555.774,13605.018,,71078.4093,,,,92576.43000000001,67324.74,68625.952,1394.0244,,4565.825000000001,18027.1251,1396.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,361,,,,,,,,14,350,25,164,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111417,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-7 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,202586.32900000003,17740.464,,68643.85470000001,,,,90244.53,69826.19,70917.504,1626.3618,,12701.295,20178.5104,3098.5890999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,351,,,,,,,,46,887,73,307,,,,,,,,,,,,,,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111420,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-16 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,204362.58200000002,14504.027999999998,,67214.877,,,,95607.90000000001,67753.56,82073.74399999999,1548.9160000000002,,10210.845,23665.238299999997,2094.8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,404,,,,,,,,35,606,27,222,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51288,,,0.70344,,,,,,,,,,,,,,,,,,,,,111421,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-6 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,203193.9945,17081.19,,69702.3567,,,,91721.40000000001,77616.42,70254.16,1548.9160000000002,,5894.065,35164.0218,2662.1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,276,,,,,,,,17,781,30,257,,,,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111422,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-9 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,198192.44,16361.981999999998,,69543.58140000001,,,,93276,76544.37000000001,70917.504,1626.3618,,10874.965,32493.3366,2487.5996999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,333,,,,,,,,38,701,28,234,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111423,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-19 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,206839.98750000002,14324.226,,67585.3527,,,,92420.97,69826.19,83581.344,1548.9160000000002,,10127.83,24036.1668,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,631,21,207,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111424,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-21 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,203380.96850000002,17680.53,,68590.9296,,,,93431.45999999999,70040.6,72304.496,1703.8076,,14610.64,29154.9801,3142.2311999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,350,,,,,,,,53,891,32,327,,,,,,,,,,,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51288,,,0.70346,,,,,,,,,,,,,,,,,,,,,111426,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-20 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,201277.51100000003,15642.773999999998,,70760.8587,,,,92498.7,70469.42,67359.568,1626.3618,,12618.28,25519.8808,3142.2311999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,302,,,,,,,,45,801,32,285,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111428,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO VAQUERIA,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PV-4 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,208102.06200000003,13485.15,,54142.37730000001,,,,94986.06000000001,53245.15,119824.048,1316.5786,,4814.87,13798.5402,1440.1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,875,,,,,,,,13,381,22,183,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51286,,,0.70344,,,,,,,,,,,,,,,,,,,,,111430,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,BAHIA CUMBERLAND,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s KF-18 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,215394.048,18579.54,,60175.8387,,,,99649.86,52530.45,89430.832,,,7056.275,19585.0248,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,436,26,209,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111433,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-10 [764],BASANITE [764],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,217684.47950000002,14683.83,,57847.1343,,,,93509.18999999999,64894.76,94918.496,1316.5786,,5229.945,15578.997,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,593,,,,,,,,14,390,26,157,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51286,,,0.70362,,,,,,,,,,,,,,,,,,,,,111434,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO VAQUERIA,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PV-3 [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,207354.16600000003,14983.5,,53718.976500000004,,,,93509.18999999999,54674.55,104808.35199999998,1316.5786,,5645.02,18027.1251,1527.4734999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,664,,,,,,,,14,300,23,169,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111435,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO INGLES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PIN-6 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,201931.92000000004,12526.205999999998,,53560.201199999996,,,,102137.22,47813.43,120065.264,1471.4702,,747.135,14317.8401,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,276,17,136,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111436,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-22 [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,220722.807,17201.058,,67691.2029,,,,89234.04000000001,68468.26,69168.688,1239.1328,,7554.365000000001,24184.5382,1963.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,316,,,,,,,,20,525,26,198,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111437,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO INGLES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PIN-11 [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,210906.672,15522.905999999999,,58217.61,,,,95996.55,57533.350000000006,96245.184,1394.0244,,7554.365000000001,18027.1251,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,657,,,,,,,,17,497,23,199,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111440,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO FRANCES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PF-2 [764],"BASALT, ALKALINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,219086.7845,16661.652,,65309.5734,,,,91488.20999999999,67181.8,76586.07999999999,1394.0244,,7139.29,22255.71,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,526,18,194,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111441,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,PUERTO INGLES,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s PIN-8 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,209130.41900000002,11507.328,,52289.99880000001,,,,98950.29000000001,56389.829999999994,129110.86399999999,,,415.07500000000005,11424.5978,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,871,,,,,,,,0,263,20,118,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51284,,,0.70363,,,,,,,,,,,,,,,,,,,,,111442,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS A TIERRA (ROBINSON CRUSOE) / PACIFIC OCEAN,,-33.5,-33.5,-78.5,-78.5,SUBAERIAL,,,s VER.NO.16 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [764] ,205905.1175,11866.931999999999,,45356.8107,,,,97628.88,48456.66,131583.32799999998,1239.1328,,4399.795,12611.569,1091.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,941,,,,,,,,12,295,19,129,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111443,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-12 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,111447,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-4 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,111449,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-1 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,111450,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-16 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,111451,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-8 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,111452,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-6 [764],"THOLEIITE, OLIVINE [764]",,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,111454,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-11 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,111455,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-7 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,111456,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-9 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,111457,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-19 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,111458,
[764],OCEAN ISLAND,JUAN FERNANDEZ ISLANDS / MAS AFUERA (ALEXANDER SELKIRK) / PACIFIC OCEAN,100 M NORTH OF SETTLEMENT,-33.77,-33.77,-80.77,-80.77,SUBAERIAL,,,s MF-18 [764],NOT GIVEN [764],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [764],MINERAL / COMPONENT (INCL. GROUNDMASS) [764] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,111459,
