Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN,JEANNE D^ARC PENINSULA,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s GM92-412 [4681],"GRANULITE, 2 PYROXENE [4681]",,,,,,,,CUMULATE [4681] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4681] ,209878.315,359.604,,135805.8066,,,30781.079999999998,,94054.52,62173.424,387.22900000000004,,664.12,10756.9265,87.2842,,3700.,1500.,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,521,22.6,730,,,43,300,15,15.5,,,,,,1.47,274,1.18,1.65,0.114,,,,,,,,,,,,,26.6,0.47,0.83,0.122,0.57,0.15,0.145,0.18,,0.174,0.037,0.11,,0.09,0.01,,0.007,,,,,,,,,0.1,,0.016,0.003,,,,,,,,,,,,,,,,,,,,,,,,,106500,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN,"COURBET PENINSULA, VAL STUDER",-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s OB93-57 [4681],"GRANULITE, 2 PYROXENE [4681]",,,,,,,,CUMULATE [4681] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4681] ,230445.45500000002,2097.6899999999996,,89708.0445,,,45161.13,,103488.56,62294.032,774.4580000000001,,415.07500000000005,13724.3545,87.2842,,6200.,1200.,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,2200,185,480,,,43,170,4,30.8,,,,,,0.49,164,6.93,7.01,0.103,,,,,,,,,,,,,10.7,0.52,1.57,0.294,1.71,0.72,0.424,0.96,,1.178,0.255,0.7,,0.62,0.09,,0.014,,,,,,,,,0.131,,0.02,0.003,,,,,,,,,,,,,,,,,,,,,,,,,106501,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN,JEANNE D^ARC PENINSULA,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s GM92-347 [4681],"GRANULITE, GARNET-2 PYROXENE [4681]",,,,,,,,CUMULATE [4681] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4681] ,209410.88,239.736,,123580.10850000002,,,40808.25,,84691.95,80204.31999999999,542.1206000000001,,581.105,7863.6842,87.2842,,5699.999999999999,1600.,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,308,9.8,505,,,52,430,5.95,21.3,,,,,,2.77,156,0.83,2.15,0.514,,,,,,,,,,,,,17.4,0.86,1.528,0.187,0.71,0.14,0.158,0.14,,0.133,0.028,0.08,,0.08,0.01,,0.038,,,,,,,,,0.22,,0.057,0.032,,,,,,,,,,,,,,,,,,,,,,,,,106502,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN,JEANNE D^ARC PENINSULA,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s GM92-394 [4681],"GRANULITE, GARNET-2 PYROXENE [4681]",,,,,,,,CUMULATE [4681] ,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4681] ,229510.58500000002,4974.521999999999,,88914.168,,,52156.83,,82690.79000000001,66937.43999999999,929.3496,,1328.24,19955.953299999997,174.5684,,13100.,3100.,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,4900,250,840,,,42,250,21.7,35,,,,,,5.32,224,13.5,17.4,1.5,,,,,,,,,,,,,47.4,2.05,4.68,0.651,3.46,1.41,0.719,2,,2.325,0.496,1.37,,1.17,0.17,,0.094,,,,,,,,,0.231,,0.176,0.101,,,,,,,,,,,,,,,,,,,,,,,,,106503,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN,"RONARC^H PENINSULA, VAL PHONOLITE",-48.55,-49.75,68.5,70.58,SUBAERIAL,150,150,s GM92-165 [4681],"PYROXENITE, GARNET, XENOLITH [4681]",,,,,,,,CUMULATE [4681] ,MANTLE XENOLITH,,,,,WHOLE_ROCK [4681] ,215954.97000000003,11687.13,,55359.65460000001,,,71744.79000000001,,120855.77,74897.568,1239.1328,,996.18,12240.6405,174.5684,,6899.999999999999,600.,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3,12500,375,270,,,47,135,26.6,56,,,,,,3.7,120,26.7,81,5.09,,,,,,,,,,,,,18,7.4,18.9,3.13,16.3,5,1.75,5.5,,4.92,0.96,2.45,,1.86,0.25,,0.37,,,,,,,,,0.77,,1.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,106504,
[4681],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT TIZZARD / INDIAN OCEAN,JEANNE D^ARC PENINSULA,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s GM92-390 [4681],"GRANULITE, GARNET-2 PYROXENE [4681]",,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4681] ,211748.055,13545.083999999997,,75418.2675,,,100349.43000000001,,89909.26,50715.664,1858.6992,,1162.21,17952.9394,218.21050000000002,,11299.999999999998,2500.,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,12100,400,300,,,52,90,56.6,160,,,,,,6.79,149,28.3,42,2.04,,,,,,,,,,,,,21.5,1.32,5.6,1.34,8.5,3.32,1.239,4.2,,4.948,1.049,2.97,,2.54,0.37,,0.146,,,,,,,,,0.307,,0.053,0.024,,,,,,,,,,,,,,,,,,,,,,,,,106505,
[5216],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / INDIAN OCEAN,,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s KER-15223 [5216],BASALT [5216],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5216] ,208382.52300000002,11507.328,,73460.03880000001,,85396.74,68169.20999999999,,67181.8,48182.896,1316.5786,,10708.935,13650.1688,1832.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,253,,,,,,,,,,,184.53,,,,,,,,,,,,,,,34.9,70.5,,,5.72,1.89,,,,,,,,,4.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116191,
[5177],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN,LORANCHET PENINSULA,-48.87,-48.87,68.96,68.96,SUBAERIAL,490,490,s BY96-25 [5177],BASALT [5177],,,,,,,,"OLIVINE PHYRIC, SUBOPHITIC GROUNDMASS [5177] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5177] ,219040.04100000003,11207.658,,75894.5934,,,,90322.26,70540.89,64163.456,1471.4702,,6973.259999999999,15282.2542,1134.6946,,,,,,,,,,,,,,,,27300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,424,,,,198,,90,16,,,,,17.2,357,19.2,114,14.5,,,,,,,,,,,,0.06,320,13.68,30.78,,17.49,3.94,1.34,,0.66,,,,,1.76,0.26,2.67,0.93,,,,,,,,,1.1,,1.36,0.24,0.512647,,,0.705031,,18.284,,15.535,,38.81,,,,,,,,,,,,,,,116941,
[5177],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN,LORANCHET PENINSULA,-48.87,-48.87,68.96,68.96,SUBAERIAL,480,480,s BY96-26 [5177],BASALT [5177],,,,,,,,"OLIVINE PHYRIC, DOLERITIC GROUNDMASS [5177] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [5177] ,220302.11550000004,12765.942,,81240.0285,,,,87679.43999999999,77044.65999999999,47037.119999999995,1316.5786,,6558.185,16691.7825,1352.9051,,,,,,,,,,,,,,,,33600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,331,,,,127,,98,19,,,,,16.6,389,21.7,135,17.9,,,,,,,,,,,,,274,19,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116942,
[5177],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES / INDIAN OCEAN,LORANCHET PENINSULA,-48.87,-48.87,68.96,68.96,SUBAERIAL,442,442,s BY96-29 [5177],BASALT [5177],,,,,,,,"OLIVINE PHYRIC, DOLERITIC GROUNDMASS [5177] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5177] ,218105.171,11267.591999999999,,73883.43960000001,,,,90322.26,73113.81,69590.81599999999,1471.4702,,5562.005,13056.6832,1265.6209,,,,,,,,,,,,,,,,29800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,440,,,,233,,95,17,,,,,13.4,374,19.1,117,15.7,,,,,,,,,,,,,264,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116944,
