Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-5 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,71158.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000123,,,,,,,,,,,,,,,,,,,,,,,,0.1395,,,,,,,,,,10372,
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-6 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,82013.43999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000246,,,,,,,,,,,,,,,,,,,,,,,,0.1444,,,,,,,,,,10373,
[1211],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M191292-8 [1211],BASANITE [1211],,,,HOLOCENE [1211],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1211] ,,,,,,,,,,89249.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000295,,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,10374,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-19 [4872],NOT GIVEN [4872],2500000 [4872],5200000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,202866.79,16361.981999999998,,60916.7901,,,,91332.75,80403.75,79721.888,1471.4702,,7471.35,23813.609699999997,2007.5366000000001,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,327,757,,,61,333,71,97,,,,,,19,517,24,214,51,,,,,,,,,,,,,294,27,63,,32,6.3,1.93,,0.8,,,,,1.33,0.2,4.9,2.8,,,,,,,,,,,2.6,0.7,,,,0.70268,,,,,,,,,,,,,,,,,,,,,104838,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-209 [4872],NOT GIVEN [4872],2500000 [4872],5200000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,208195.549,17021.255999999998,,76900.1703,,,,88923.12,84048.72,53429.34399999999,1471.4702,,7637.38,15801.5541,3884.1469,,,,,,,,,,,,,,,,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,335,271,,,44,212,62,91,,,,,,22,964,41,344,83,,,,,,,,,,,,0.8,429,70,120,,52,9.6,3,,1.4,,,,,2.02,0.31,6.4,3.7,,,,,,,,,,,6.7,1.7,0.512981,,,0.70287,,19.163,,15.548,,38.897,,,,,,,,,,,,,,,104840,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-378 [4872],NOT GIVEN [4872],2500000 [4872],5200000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,205110.47800000003,17980.199999999997,,78434.9982,,,,98639.37,73113.81,54273.6,1548.9160000000002,,7388.335,26855.2234,3098.5890999999997,,,,,,,,,,,,,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,322,172,,,49,126,35,114,,,,,,23,694,32,275,48,,,,,,,,,,,,,200,35,77,,40,8,2.52,,1.2,,,,,1.87,0.27,5.9,2.2,,,,,,,,,,,3.4,1,,,,,,,,,,,,,,,,,,,,,,,,,104841,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-70 [4872],NOT GIVEN [4872],1000000 [4872],2500000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,209457.62350000002,13365.282,,70231.60770000001,,,,91488.20999999999,84191.65999999999,69590.81599999999,1471.4702,,3901.705,20030.139,2269.3892,,,,,,,,,,,,,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,335,505,,,50,255,83,93,,,,,,9,620,27,213,70,,,,,,,,,,,,,486,36,72,,34,6,1.98,,0.8,,,,,1.58,0.26,4.8,4.3,,,,,,,,,,,3.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,104844,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-85 [4872],NOT GIVEN [4872],1000000 [4872],2500000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,209130.41900000002,16961.322,,72401.5368,,,,94208.76,79188.76,65791.66399999999,1471.4702,,8301.5,15133.8828,2225.7471,,,,,,,,,,,,,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,325,561,,,52,230,43,99,,,,,,21,589,32,198,46,,,,,,,,,,,,,267,31,65,,30,6.4,2.1,,1,,,,,1.69,0.26,4.8,2.6,,,,,,,,,,,2.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,104845,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s M-229 [4872],NOT GIVEN [4872],1000000 [4872],2500000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,212776.41200000004,16901.388,,80181.5265,,,,90244.53,72184.7,49750.799999999996,1394.0244,,8467.53,25445.6951,3404.0838000000003,,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,291,230,,,43,142,40,96,,,,,,23,788,35,306,67,,,,,,,,,,,,0.4,401,56,100,,47,8.6,3.81,,1.2,,,,,1.85,0.29,6.2,3.2,,,,,,,,,,,5.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,104846,
[4872],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.75,32.75,-17,-17,SUBAERIAL,,,s PM-7 [4872],NOT GIVEN [4872],1000000 [4872],2500000 [4872],,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4872] ,200062.18,16182.18,,60334.614,,,,93742.38,74328.8,78998.23999999999,1548.9160000000002,,7637.38,11350.4121,2269.3892,,,,,,,,,,,,,,,,15400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,782,,,59,360,57,100,,,,,,19,586,23,181,45,,,,,,,,,,,,,442,51,101,,46,9.2,3.18,7.2,,5.5,,2.5,,2.2,,4.9,2.8,,,,,,,,,,,4.3,1.1,0.51282,,,0.7029,,19.509,,15.569,,39.205,,,,,,,,,,,,,,,104847,
