Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[123],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM5 [123],BASALT [123],17000 [123],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [123] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,15757,
[123],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM7 [123],BASALT [123],105 [123],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [123] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.11,,,,,,,,,,,,,,,,,,,,,,,,,15758,
[123],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM65 [123],BASALT [123],276000 [123],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [123] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,1.15,,,,,,,,,,,,,,,,,,,,,,,,,15759,
[10315],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s 81WV3 [10315],BASALT [10315],,,,HOLOCENE [10315],,,1980,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,222686.034,19718.286,,84468.4596,,13568.359999999999,75631.29000000001,,76115.55,33830.544,1394.0244,,10874.965,26261.7378,2269.3892,,3000.,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,100,,,45,46,,,,,220,,,25,694,42,279,47,,,,,,,,,,,,,326,32,71,,36,,,,,,,,,,,,,,,,,,,261,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,2716-81WV3,
[2811][2413],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM-21 [2811],BASALT [2811],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2811] ,231427.06850000002,16421.916,,87591.0405,,,,85891.65000000001,51601.34,23759.775999999998,1471.4702,,16270.94,31825.6653,3622.2943,,,500.,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,104,3,,,20,108,445,338,,,,,,31.8,763.8,42,356,57,,,,,,,,,,,,,448,48.1,95.8,,52.8,11.3,3.8,,1.44,,,,,2.94,0.38,8.63,3.33,,,,,,,,,3,,4.48,,0.512936,,,0.7034,,18.568,,15.53,,38.374,,,,,,,,,,,,,,,2716-WJM-21,
[2811][2413],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM-49 [2811],BASALT [2811],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2811] ,226705.975,20137.823999999997,,80075.6763,,,,95841.09,70755.3,33348.112,1394.0244,,9795.769999999999,23071.752699999997,2225.7471,,,500.,,,,,,,,,,,,,6500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,264,29,,,47,0,11,111,,,,,,16.9,500.8,32,250,36,,,,,,,,,,,,,256,27.4,59.2,,34.26,7.847,2.7,,1.09,,,,,2.32,0.32,6.23,2.05,,,,,,,,,,,2.83,,0.51293,,,0.7034,,,,,,,,,,,,,,,,,,,,,2716-WJM-49,
[2811][2413],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,,-46.75,-46.75,37.75,37.75,SUBAERIAL,,,s WJM-50 [2811],BASALT [2811],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2811] ,219227.015,20617.296,,87273.4899,,,,93042.81000000001,73542.62999999999,30815.344,1316.5786,,10791.95,24629.6524,2356.6734,,,300.,,,,,,,,,,,,,8100.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,288,32,,,42,41,58,108,,,,,,21.7,611.1,30,251,41,,,,,,,,,,,,,278,32,65.4,,35.8,7.811,2.6,,1.04,,,,,2.26,0.32,6.17,2.4,,,,,,,,,2.04,,3.27,,0.512939,,,0.70339,,18.596,,15.544,,38.417,,,,,,,,,,,,,,,2716-WJM-50,
[16042],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,EAST FLANK OF THE SANTA ROSA VALLEY,-46.75,-46.75,37.75,37.75,SUBAERIAL,340,340,s LC-98 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,MODERATELY PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,215415.082575,16997.282399999996,,70758.21244500001,0,,,91488.20999999999,76040.5065,57952.14399999999,1328.1954700000001,0,7396.6365000000005,22129.59431,1706.4061100000001,,,1510.,,,,,,,,,,,,,-7470.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,292,427,,,71,190,67,120,,,,,,18.13,477.64,25.99,199.97,27.04,,,,,,,,,,,,,211.9,20.99,60.31,,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35306-LC98,
[16042],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,EAST FLANK OF THE SANTA ROSA VALLEY,-46.75,-46.75,37.75,37.75,SUBAERIAL,320,320,s LC-25 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,APHYRIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,221576.65493333348,18645.4674,,83162.97379999982,59.297333333333356,,,85036.62,72539.66766666691,36918.108799999995,1228.806693333336,0,6021.354666666664,27752.87037,1963.8945,,,1760.,,,,,,,,,,,,,-4270.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,311,72.8,,,61.4,57.5,33.1,132,,,0.16,,,14.5,462,22.1,226,29.7,,,,,,,,,,,,,238,23.4,53.6,6.43,29.1,6.1,2.02,5.99,0.82,4.77,0.86,2.18,0.29,1.72,0.23,4.58,1.84,,,,,,,0.054,,1.85,,2.13,0.62,0.512945,,,0.703431,,18.7598,,15.5573,,38.5916,,,,,,,,,,,,,,,35307-LC25,
[16042],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,EAST FLANK OF THE SANTA ROSA VALLEY,-46.75,-46.75,37.75,37.75,SUBAERIAL,300,300,s LC-26B [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,APHYRIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,224826.8863,17386.853399999996,,81322.94449000018,214.38266666666647,,,85736.18999999999,66862.56733333331,46715.49866666668,1195.246846666664,0,7020.301833333337,27723.19609,2030.8123866666651,,,2140.,,,,,,,,,,,,,-5340.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,223.2,,,37.45,107.155,,,,,0.28,,,23.82,625.145,37.595,261.04,38.77,,,,,,,,,,,,,217,32.395,67.625,,34.515,,,,,,,,,,,,,,,,,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35308-LC26B,
[16042],OCEAN ISLAND,MARION ISLANDS / MARION / INDIAN OCEAN,EAST FLANK OF THE SANTA ROSA VALLEY,-46.75,-46.75,37.75,37.75,SUBAERIAL,285,285,s LC-27 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,APHYRIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,222485.03695000004,18681.427799999998,,75566.45778000001,383.152,,,89544.95999999999,68646.935,50263.384000000005,1308.83402,0,3428.5195,24028.748229999997,1688.94927,,,1100.,,,,,,,,,,,,,-5490.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.28,,,296.3,,,50.1,148.985,,,,,0.205,,,21.89,622.9,27.16,261.1,37.79,,,,,,,,,,,,,284.7,30.13,68.13,8.282,35.87,7.786,2.537,7.361,1.01,5.827,1.036,2.695,0.342,2.129,0.288,5.92,2.269,,,,,,,0.08,,1.915,,2.907,0.826,,,,,,,,,,,,,,,,,,,,,,,,,35309-LC27,
