Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-01 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,210579.4675,22355.381999999998,,84045.05880000001,,,,83482.02,69182.95999999999,33348.112,1471.4702,,8550.545,24926.3952,3622.2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,42,1017,29,317,64,,,,,,,,,,,,,706,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,19066,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-02 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,197257.57000000004,24872.61,,71607.6603,,,,96696.12,75686.73,48966.84799999999,1471.4702,,5562.005,25964.995,3447.7259000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,80,917,28,323,59,,,,,,,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,19067,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-101 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,198379.41400000002,24752.742,,71819.3607,,,,96696.12,75615.26,48424.111999999994,1471.4702,,5312.96,26632.666299999997,3404.0838000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,72,921,28,325,59,,,,,,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,19068,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-117 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,202866.79,24273.269999999997,,74042.2149,,,,93042.81000000001,73471.15999999999,47037.119999999995,1239.1328,,7803.41,20401.067499999997,2967.6628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,80,844,27,320,59,,,,,,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,19069,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-150 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,205157.2215,23434.194,,79493.5002,,,,91488.20999999999,72041.76,32202.335999999996,1394.0244,,8301.5,29600.0943,4145.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,101,1091,30,381,74,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,19070,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-167 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,202773.303,24632.874,,76582.61970000001,,,,94597.41,76901.72,45288.304,1548.9160000000002,,8384.515,17730.3823,3054.9469999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,50,879,39,313,58,,,,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,19071,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-172 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,203567.9425,24752.742,,76635.5448,,,,95452.43999999999,75329.37999999999,42695.231999999996,1316.5786,,4731.855,27077.780499999997,3229.5153999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,61,885,27,317,58,,,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,19072,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-185 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,201744.946,19658.352,,75947.5185,,,,95996.55,76901.72,50052.32,1394.0244,,13614.46,20623.6246,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,73,834,23,221,50,,,,,,,,,,,,,564,47.5,95.63,10.27,36.1,7.02,2.31,6.55,,4.51,0.9,2.03,,1.65,0.25,,,,,,,,,,,3.3,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,19073,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-211 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,206559.5265,16901.388,,70337.4579,,,,89156.31000000001,75186.44,63620.72,1394.0244,,11373.055,22626.638499999997,2138.4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,42,728,21,228,47,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,19074,
[1350],OCEAN ISLAND,MARQUESAS / UA POU / PACIFIC OCEAN,,-9.42,-9.42,-140,-140,SUBAERIAL,,,s UAP-302 [1350],"BASALT, ALKALINE [1350]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1350] ,213477.56450000004,22415.316,,85897.4373,,,,83948.40000000001,69254.43,33468.719999999994,1471.4702,,9546.724999999999,28264.7517,3578.6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,44,1045,32,312,64,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,19076,
