Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6313],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-3 [6313],BASALT [6313],,,,PLEISTOCENE [6313],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,234745.85700000002,19118.946,,70602.0834,,,,86358.03,59463.04,49871.407999999996,1099.7303599999998,,10957.980000000001,25594.0665,2793.0944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10728,,28,,178,251,,,,164,,133,20,,,,,21.75,707.1,26.63,263,36.2,,,,,,,,,,,,0.22,272.9,30.4,74.5,,41.2,9.37,2.91,,1.03,,,,,1.48,0.199,6.46,2.05,,,,,,,,,2.85,,3.06,0.7,0.512707,,,0.70397,,19.319,,15.76,,39.573,,,,,,,,,,,,,,,146789,
[6313],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-5 [6313],BASALT [6313],,,,PLEISTOCENE [6313],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,234558.88300000003,18999.077999999998,,69861.132,,,,86435.76,59034.22,50836.272,1099.7303599999998,,11124.01,26113.3664,2836.7365,,4000.,900.,,3600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11062,,22,,186,246,,,,167,,133,23,,,,,21.94,714.9,27.74,266,38.8,,,,,,,,,,,,0.24,278.5,30.6,74.6,,42.5,9.36,2.91,,1.07,,,,,1.5,0.199,6.84,2.14,,,,,,,,,3.1,,3,0.7,0.512727,,,0.70401,,19.314,,15.752,,39.551,,,,,,,,,,,,,,,146790,
[6313],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-7 [6313],BASALT [6313],,,,PLEISTOCENE [6313],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,230305.22450000004,19838.154,,68326.30410000001,,,,84181.59,60463.62,54273.6,1107.4749399999998,,14693.655,26706.852,3098.5890999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14487,,23,,200,258,,,,182,,126,23,,,,,36.58,716.7,27.41,295,60.8,,,,,,,,,,,,0.41,338.1,41.9,97,,46,9.97,2.99,,1.13,,,,,1.48,0.207,7.43,3.65,,,,,,,,,5.44,,6.74,1.48,0.512804,,,0.70383,,19.315,,15.729,,39.363,,,,,,,,,,,,,,,146791,
[6313],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-19 [6313],TRACHYTE [6313],,,,PLEISTOCENE [6313],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,293081.74500000005,4860.6474,,92724.7752,,,,30625.62,17653.09,6814.351999999999,394.97357999999997,,29802.385,55490.9036,1317.99142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28904,,9,,32,15,,,,18,,162,38,,,,,63.31,1087.5,9.41,521,112.8,,,,,,,,,,,,0.49,557.5,68.5,138.6,,56.7,10.16,3.03,,0.93,,,,,0.58,0.098,3.94,7.14,,,,,,,,,17.92,,7.7,1.47,0.51294,,,0.70301,,19.818,,15.719,,39.625,,,,,,,,,,,,,,,146793,
[6313][10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-8 [6313],BASALT [6313],,,,PLEISTOCENE [6313],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,236381.8795,18160.001999999997,,71766.43560000001,,17065.36,71900.25,86047.11,59248.63,47700.464,1099.7303599999998,,11040.995,25445.6951,2880.3786,,,,,,,,,,,,,,,,9200.,,,,,,,,,,,,,,,,,,,,,,,,,,10911,,22.82,,188,304,,,50.8,203,,131,20,,,,,23.67,747.6,27.05,252,36.2,,,,,,,,,,,,0.24,295.1,32.4,77.9,,35.61,8.22,2.92,7.01,0.97,,0.81,,,1.4,0.202,6.38,1.97,,,,,,,,,3.51,,3.22,0.77,0.512705,,,0.70393,,19.245,,15.733,,39.42,,,,,,,,,,,,,,,27473-PI-8,
[10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,NORTH BEACH AT KAPP INGRID,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-2 [10062],BASALT [10062],,,,PLEISTOCENE [10062],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10062] ,222686.034,19898.087999999996,,72348.61170000001,,15736.5,72755.28,,64608.88,53127.824,1084.2412000000002,,10210.845,24629.6524,2662.1681,,,,,,,,,,,,,,,,7800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71,,177,281,,,47.1,229,,,,,,,,21.4,713.8,30.1,279,48,,,,,,,,,,,,,291,37.14,101.4,,41.61,9.15,2.76,6.79,0.88,,0.76,,,1.08,0.13,5.6,3.1,,,,,,,,,,,0,0.86,0.512795,,,0.7038,,19.247,,15.74,,39.338,,,,,,,,,,,,,,,411695,
[10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-4 [10062],BASALT [10062],,,,PLEISTOCENE [10062],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10062] ,223153.46900000004,20197.757999999998,,71395.9599,,15037.099999999999,74232.15000000001,,65252.11000000001,54695.727999999996,1084.2412000000002,,10625.92,25223.138,2705.8102,,,,,,,,,,,,,,,,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,,187,266,,,47.8,237,,,,,,,,21.2,715.2,30.5,275,46,,,,,,,,,,,,,300,36.01,102.3,,41.65,9.16,2.92,7.56,0.97,,0.69,,,0.91,0.16,6.14,3.08,,,,,,,,,,,2.52,0.85,0.512779,,,0.70378,,,,,,,,,,,,,,,,,,,,,411696,
[10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,NORVEGIABUKTA,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-7 [10062],HAWAIITE [10062],,,,PLEISTOCENE [10062],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10062] ,226659.23150000002,19898.087999999996,,73036.638,,19373.38,68324.67,,60106.270000000004,47459.248,1084.2412000000002,,12120.19,29525.9086,3054.9469999999997,,,,,,,,,,,,,,,,6500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.49,,167,263,,,38.3,232,,,,,,,,22.6,773.5,30.5,286,41,,,,,,,,,,,,,317,33.82,101.6,,44.94,10.1,2.67,8.18,1.01,,0.85,,,0.92,0.19,6.27,2.97,,,,,,,,,,,2.49,0.69,0.512701,,,0.70399,,,,,,,,,,,,,,,,,,,,,411697,
[10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-9 [10062],HAWAIITE [10062],,,,PLEISTOCENE [10062],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10062] ,214225.46050000002,20737.163999999997,,68167.5288,,38816.7,53089.590000000004,,66967.39,60304.,1161.687,,11456.07,26929.409099999997,2487.5996999999998,,,,,,,,,,,,,,,,9100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.82,,210,402,,,58.4,279,,,,,,,,22.2,709.8,29.3,265,54,,,,,,,,,,,,,311,36.63,105.6,,41.17,9.84,2.46,6.74,0.94,,0.74,,,0.84,0,6.26,3.12,,,,,,,,,,,2.28,0.99,0.512777,,,0.70388,,,,,,,,,,,,,,,,,,,,,411699,
[10062],OCEAN ISLAND,PETER I ISLAND / PETER I ISLAND / BELLINGSHAUSEN SEA / PACIFIC OCEAN,,-68.75,-68.92,-90.4,-90.7,SUBAERIAL,,,s PI-11 [10062],HAWAIITE [10062],,,,PLEISTOCENE [10062],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10062] ,231520.55550000002,19538.483999999997,,72242.76150000001,,78053.04000000001,8317.11,,59534.51,43599.792,1006.7954,,11622.099999999999,26410.1092,2749.4523,,,,,,,,,,,,,,,,3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89,,175,274,,,48.5,225,,,,,,,,24.8,739.7,28.7,280,36,,,,,,,,,,,,,321,36.31,120.7,,43.24,9.72,3.16,5.7,0.9,,0.67,,,0.96,0.15,6.25,2.74,,,,,,,,,,,3.04,0.72,0.512757,,,0.70404,,,,,,,,,,,,,,,,,,,,,411700,
