Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[754],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / GAMBIER ISLANDS / PACIFIC OCEAN,,-23.17,-23.17,-135,-135,SUBAERIAL,,,s OG29D [754],THOLEIITE [754],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [754] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,,,,,,,,,,,,,,,,,,,,1.8,,2.27,0.74,,,,,,,,,,,,,,,,,,,,,,,,,11050,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-1 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000039,0.00007164,,,,,,,,,,0.512456,,,0.704876,,17.7346,,15.4928,,39.016,,,,,0.1484,,0.1484,0.282667,,,,,,,114374,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-1 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704866,,,,,,,,,,,,,,,,,,,,,114375,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-5 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74e-6,,,,,,,,,,0.512503,,,0.704691,,17.8204,,15.4985,,38.992,,,,,0.1502,,,0.282713,,,,,,,114380,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-5 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704695,,17.818,,15.4954,,38.982,,,,,,,,,,,,,,,114381,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-6 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512497,,,0.704702,,17.821,,15.4983,,38.997,,,,,,,,0.282714,,,,,,,114382,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-6 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8234,,15.5003,,39.002,,,,,,,,,,,,,,,114383,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-8 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000047,3.91e-6,,,,,,,,,,0.512333,,,0.705105,,17.6431,,15.4861,,39.018,,,,,0.2546,,0.2539,0.282622,,,,,,,114384,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-8 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512341,,,,,17.6443,,15.4877,,39.023,,,,,,,,,,,,,,,114385,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-19 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00002337,,,,,,,,,,0.512495,,,0.704677,,17.8147,,15.4971,,39.026,,,,,0.1494,,,0.282718,,,,,,,114388,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-19 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00002104,,,,,,,,,,,,,,,17.8153,,15.498,,39.028,,,,,0.1495,,,,,,,,,,114389,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-19 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,,,0.1425,,,,,,,,,,114390,
[4937],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / PITCAIRN / POST-EROSIONAL STAGE / PULAWANA VOLCANICS / PACIFIC OCEAN,,-25.07,-25.07,-130.1,-130.1,SUBAERIAL,,,s PIT89-21 [4937],BASALT [4937],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [4937] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000209,1.9e-6,,,,,,,,,,0.512673,,,0.703625,,,,,,,,,,,0.2149,,,0.282813,,,,,,,114392,
[5216],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / FANGATAUFA / PACIFIC OCEAN,DRILL HOLE TERME SUD,-22.29,-22.29,-138.54,-138.54,SUBAERIAL,,,s F49 [5216],BASALT [5216],,,,,,,,VESICULAR [5216] ,VOLCANIC ROCK,740,790,FRESH,,WHOLE_ROCK [5216] ,213991.74300000002,16721.586,,81610.5042,,72807.54000000001,53944.62,,91696.01,33649.632,1006.7954,,5312.96,19065.724899999997,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,89,,,,,,,,,,,176.28,,,,,,,,,,,,,,,21.97,49.55,,,6.43,2.22,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116180,
[1248],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL / PACIFIC OCEAN,,-21.88,-21.88,-138.75,-138.75,SUBAERIAL,,,s VI457.8 [1248],BASALT [1248],,,,,,,,,VOLCANIC ROCK,457.8,457.8,,,WHOLE_ROCK [1248] ,197725.005,27689.507999999998,,67003.1766,,,,97551.15000000001,79617.58,49931.71199999999,1394.0244,,7139.29,17062.711,2618.526,,,,,,,,,,,,,,,,24900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,55,213,,,,,,,,19,670,,,,,,,,,,,,,,,,265,38,85.4,,,10.55,3.11,,1.18,,,,,1.69,0.24,7.1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,13644,
[1248],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL / PACIFIC OCEAN,,-21.88,-21.88,-138.75,-138.75,SUBAERIAL,,,s FU472.1 [1248],BASALT [1248],,,,,,,,,VOLCANIC ROCK,472.1,472.1,,,WHOLE_ROCK [1248] ,208008.575,29067.989999999994,,82033.905,,,,93586.92,64537.409999999996,30996.255999999998,1084.2412000000002,,11705.115,21810.5958,2182.105,,,,,,,,,,,,,,,,24300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,114,,,34,55,,,,,,,,25,668,,,,,,,,,,,,,,,,314,36.3,88.7,,,8.73,2.94,,1.01,,,,,1.96,,7.46,4.33,,,,,,,,,,,3.66,0.74,,,,,,,,,,,,,,,,,,,,,,,,,13646,
[1248],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL / PACIFIC OCEAN,,-21.88,-21.88,-138.75,-138.75,SUBAERIAL,,,s FG5673.0 [1248],HAWAIITE [1248],,,,,,,,,VOLCANIC ROCK,673,673,,,WHOLE_ROCK [1248] ,223433.93,19238.814,,86373.7632,,,,83404.29000000001,48599.6,29126.832,1084.2412000000002,,17101.09,26484.294899999997,5237.052,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,35,941,41.06,,,,,,,,,,,,,,,386,60.32,141,,75.44,15.9,4.84,12.04,1.5,8.08,,3.44,,2.9,0.34,11.56,6.82,,,,,,,,,,,5.79,1.25,,,,,,,,,,,,,,,,,,,,,,,,,13649,
[1248],OCEAN ISLAND,PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL / PACIFIC OCEAN,,-21.88,-21.88,-138.75,-138.75,SUBAERIAL,,,s LI591.1 [1248],MUGEARITE [1248],,,,,,,,,VOLCANIC ROCK,591.1,591.1,,,WHOLE_ROCK [1248] ,225771.105,19838.154,,95688.5808,,,,63272.22,54388.670000000006,8020.432,1006.7954,,20421.69,32493.3366,7855.578,,,,,,,,,,,,,,,,20800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,13,2,,,,,,,,49,1110,54.52,,,,,,,,,,,,,,,383,62.33,154,,88.1,18.62,5.46,15.23,,10.36,,4.41,,3.17,0.55,,,,,,,,,,,,,6.53,1.15,,,,,,,,,,,,,,,,,,,,,,,,,13650,
