Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[115],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s WJ21E [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,10116,
[2413][2811],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s PREI-13 [2413],BASALT [2413],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2413] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,32,,,,,,,,,23.7,809.6,,,,,,,,,,,,,,,,,16.4,37.1,,24.8,6.275,2.7,,0.91,,,,,1.92,0.27,8.46,2.71,,,,,,,,,1.71,,1.56,,0.513018,,,0.70295,,18.633,,15.521,,38.328,,,,,,,,,,,,,,,1410-PREI-13,
[10315],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,CAVE BAY,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s WJE11 [10315],TRACHYBASALT [10315],,,,PLEISTOCENE [10315],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,227173.41000000003,19838.154,,88490.7672,,29724.5,56898.36,,54102.79,32684.767999999996,1394.0244,,14527.625,26335.923499999997,3360.4417000000003,,3100.,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,28,825,51,436,51,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413363,
[10315],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,WOLKBERG,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s WJE33 [10315],BASALT [10315],,,,HOLOCENE [10315],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,224882.97850000003,21096.768,,88067.36640000001,,12239.5,78351.84,,58105.11000000001,34493.888,774.4580000000001,,12701.295,26261.7378,3927.789,,1600.,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,23,951,45,389,45,,,,,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413366,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-15 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,214491.89845,17548.675199999998,,77383.55287999983,250.87333333333356,,,89933.61,68987.6086666667,57899.88053333331,1285.60028,0,5534.333333333336,23272.054089999998,1729.6818966666651,,,690.0000000000001,,,,,,,,,,,,,-7320.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,240,,,56.45,151.5,,,,,0.33,,,17.205,572.82,34.53,233.505,34.755,,,,,,,,,,,,,141,15.915,43.31,,25.605,,,,,,,,,,,,,,,,,,,0.042,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,592541,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-16 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,217048.7679,19794.20240000002,,96450.70224,15.964666666666645,,,83637.48,80811.129,29760.023999999998,1125.5456266666642,0,4449.604,23489.665476666643,1581.2987566666652,,,1000.,,,,,,,,,,,,,-7090.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,341,42.2,,,39.1,42.4,26.6,117,,,0.575,,,20.97,710.76,37.005,202.55,33.725,,,,,,,,,,,,,221.35,23.595,61.41,,34.385,,,,,,,,,,,,,,,,,,,0.071,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,592542,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-18 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,MODERATELY PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,216483.17155000003,24522.99500000002,,81065.37567000001,0,,,107189.67,70231.18666666669,33430.52746666669,1334.649286666664,0,5058.380666666663,25425.912246666638,1780.5976799999999,,,930.,,,,,,,,,,,,,-6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,54.5,23.745,,,,,0.415,,,18.38,571,38.235,232.8,32.515,,,,,,,,,,,,,258.4,27.71,65.595,,34.89,,,,,,,,,,,,,,,,,,,0.052,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,592543,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-22 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,MODERATELY PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,222542.68726666656,18056.11640000002,,80989.51636000018,123.15599999999999,,,84958.89,73609.33533333309,43722.41013333331,1233.969746666664,0,5537.1005000000005,27142.07477333336,1835.877673333335,,,670.,,,,,,,,,,,,,-8410.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,163.75,,,39.4,78.9,,,,,0.225,,,19.455,597.345,38.495,240.675,37.09,,,,,,,,,,,,,209.25,18.415,59.585,,33.6,,,,,,,,,,,,,,,,,,,0.14,,,,3,-2,,,,,,,,,,,,,,,,,,,,,,,,,592545,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-48 [16042],"BASALT, ALKALINE [16042]",,,,HOLOCENE [16042],,,,APHYRIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,219803.51816666653,21290.554599999978,,87104.12958,18.245333333333356,,,94286.49,69628.4563333333,29894.702933333312,1226.225166666664,0,6389.387833333337,26929.409099999997,1905.7050333333348,,,670.,,,,,,,,,,,,,-7720.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,355,22,,,44.9,30.1,13.9,139,,,0.17,,,25.67,639.73,35.795,244.615,37.115,,,,,,,,,,,,,227.95,25.035,62.195,,33.47,,,,,,,,,,,,,,,,,,,0.261,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,592552,
[16042],OCEAN ISLAND,PRINCE EDWARD ISLANDS / PRINCE EDWARD / INDIAN OCEAN,,-46.63,-46.63,37.93,37.93,SUBAERIAL,,,s LC-49 [16042],"BASALT, ALKALINE [16042]",,,,PLEISTOCENE [16042],,,,MODERATELY PORPHYRITIC [16042] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [16042] ,214552.665,18927.157199999998,,77656.99923,239.47000000000003,,,94752.87,72592.079,53984.140799999994,1266.23883,0,4001.323,23620.726880000002,1431.46088,,,790.,,,,,,,,,,,,,-8430.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,332,267,,,55.6,155,54.9,122,,,0.35,,,16.815,531.825,33.36,197.975,29.84,,,,,,,,,,,,,241.4,20.225,65.8,,36.555,,,,,,,,,,,,,,,,,,,0.183,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,592553,
