Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5033],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s SOC9301-A [5033],BASALT [5033],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5033] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00071,3.884e-6,,,,,,,,,,,,,,,,,,,,,,,,0.13,,881,,,,,,,,114559,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-59 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,230258.481,16361.981999999998,,84203.83410000001,,,,83637.48,67539.15,41067.024,1316.5786,,6060.095,26410.1092,3011.3048999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,228,157,,,,110,,,,,,,,8,454,35.58,172,24.9,,,,,,,,,,,,0.03,170,22.1,42.7,6.1,28.9,8.1,2.95,7.4,1.3,7.4,1.39,3.65,0.45,2.7,0.4,3.71,,,,,,,,,,1.35,,1.35,0.33,0.512922,,,0.703148,,18.86,,15.59,,38.54,,,,,,,,,,,,,,,19498,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 91-2 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,228575.71500000003,17021.255999999998,,88967.0931,,,,81616.5,70326.48,36604.528,1316.5786,,6226.125,27374.523299999997,3185.8732999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,229,137,,,,74,,,,,,,,4,476,,,24.4,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51293,,,0.703093,,18.9,,15.59,,38.54,,,,,,,,,,,,,,,19499,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-121 [1407],NOT GIVEN [1407],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,245356.63150000002,15403.037999999999,,82192.6803,,,,81227.84999999999,63036.54,26232.239999999998,1626.3618,,12203.205,29006.6087,2749.4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,213,91,,,,27,,,,,,,,16,375,37.66,224,32.5,,,,,,,,,,,,0.15,412,25.3,52.3,6.6,30.3,8.4,3.05,8,1.39,8.2,1.6,4.24,0.57,3.5,0.54,5.41,,,,,,,,,,1.98,,2.09,0.49,0.512938,,,0.703191,,18.99,,15.59,,38.59,,,,,,,,,,,,,,,19501,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-28 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,228622.4585,18399.737999999998,,83939.2086,,,,83093.37,65823.87000000001,38534.255999999994,1394.0244,,10791.95,28487.3088,3054.9469999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,251,120,,,,80,,,,,,,,21,448,,228,38,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512877,,,0.70318,,,,,,,,,,,,,,,,,,,,,19502,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-78 [1407],NOT GIVEN [1407],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,241336.69050000003,15642.773999999998,,80181.5265,,,,83326.56000000001,61750.08,24362.816,1626.3618,,13863.505,30861.2512,2531.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,206,81,,,,26,,,,,,,,19,356,41.15,235,35,,,,,,,,,,,,0.09,444,26.8,55,7.2,33,8.9,3.24,8.6,1.51,8.7,1.65,4.48,0.58,3.7,0.56,5.32,,,,,,,,,,1.95,,2.2,0.55,0.512917,,,0.703351,,18.92,,15.59,,38.59,,,,,,,,,,,,,,,19504,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-110 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,225163.43950000004,22954.721999999998,,75577.0428,,,,95763.36,65823.87000000001,28463.487999999998,1626.3618,,10376.875,30564.5084,5760.7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,297,27,,,,8,,,,,,,,17,435,49.22,239,38,,,,,,,,,,,,0.04,343,32.3,68.4,9,42.8,11.9,4.63,11.1,1.88,10.7,2.04,6.31,0.66,4,0.59,5.61,,,,,,,,,,1.78,,2.02,0.38,0.51292,,,0.703116,,18.82,,15.57,,38.46,,,,,,,,,,,,,,,19505,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 91-18 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,224462.28700000004,24153.402,,79546.4253,,,,97628.88,63465.36000000001,28222.271999999997,1703.8076,,9712.755,28858.2373,5804.3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,302,18,,,,8,,,,,,,,14,419,50.86,252,38,,,,,,,,,,,,0.05,349,33.8,72.9,9.5,46,12.7,5.01,11.9,2.02,11.2,2.14,5.67,0.7,4.2,0.6,5.93,,,,,,,,,,2.62,,2.24,0.41,0.512923,,,0.703168,,18.79,,15.61,,38.5,,,,,,,,,,,,,,,19506,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 91-44 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,227360.38400000002,23554.061999999998,,79281.79980000001,,,,99883.05,63536.83,29428.352,1548.9160000000002,,11124.01,29303.3515,3098.5890999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,351,51,,,,26,,,,,,,,22,408,52.33,254,42,,,,,,,,,,,,0.09,280,36.1,59.2,8.3,37.8,9.8,3.4,9.6,1.7,9.8,1.97,5.27,0.67,4,0.62,5.73,,,,,,,,,,2.18,,2.86,0.67,0.512969,,,0.703075,,,,,,,,,,,,,,,,,,,,,19507,
[1407],OCEAN ISLAND,REVILLAGIGEDO ARCHIPELAGO / SOCORRO / POST-CALDERA STAGE / PACIFIC OCEAN,,18.75,18.75,-110.95,-110.95,SUBAERIAL,,,s 90-47 [1407],"BASALT, ALKALINE [1407]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1407] ,228856.17600000004,23554.061999999998,,79175.9496,,,,96385.2,63751.24,30272.607999999997,1548.9160000000002,,11124.01,29600.0943,3098.5890999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,350,47,,,,22,,,,,,,,23,402,,254,43,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19508,
