Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5428],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,SUMMIT,-77.53,-77.53,167.17,167.17,SUBAERIAL,,,s 84 [5428],"PHONOLITE, ANORTHOCLASE [5428]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [5428] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.5,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,126164,
[5428],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,SUMMIT,-77.53,-77.53,167.17,167.17,SUBAERIAL,,,s 88 [5428],"PHONOLITE, ANORTHOCLASE [5428]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [5428] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.9,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,126166,
[6646],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,NE CRATER RIM,-77.5317,-77.5317,167.1467,167.1467,SUBAERIAL,,,s 25726 [6646],"PHONOLITE, ANORTHOCLASE [6646]",,,,,,,1972,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6646] ,258585.04200000002,6412.938,,104209.5219,,,,40186.409999999996,19153.960000000003,6573.136,1936.145,,39100.065,58755.0744,1963.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,0,4,135,,,,,,111,735,,,,,,,,,,,,,,,,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157586,
[6646],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,NE CRATER RIM,-77.5317,-77.5317,167.1467,167.1467,SUBAERIAL,,,s 25726 [6646],"PHONOLITE, ANORTHOCLASE [6646]",,,,,,,1972,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6646] ,256808.78900000002,6592.74,,101986.6677,,,,38009.969999999994,14508.409999999998,5125.839999999999,2323.374,,44994.13,65654.34449999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157587,
[6646],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,WEST FLANK OF CRATER,-77.5317,-77.5317,167.1467,167.1467,SUBAERIAL,,,s 25727 [6646],"PHONOLITE, ANORTHOCLASE [6646]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6646] ,263726.82700000005,5453.994,,106802.8518,,,,33890.280000000006,20011.6,5728.879999999999,1626.3618,,36526.600000000006,58458.3316,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,0,6,112,,,,,,95,1020,,,,,,,,,,,,,,,,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157588,
[6646],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,SW FLANK OF CRATER,-77.5317,-77.5317,167.1467,167.1467,SUBAERIAL,,,s 25725 [6646],"PHONOLITE, ANORTHOCLASE [6646]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6646] ,264942.158,5993.4,,105003.3984,,,,36222.18,20869.239999999998,6392.224,1703.8076,,36941.675,58458.3316,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,0,5,119,,,,,,99,932,,,,,,,,,,,,,,,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157591,
[6646],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,SW FLANK OF CRATER,-77.5317,-77.5317,167.1467,167.1467,SUBAERIAL,,,s 25725 [6646],"PHONOLITE, ANORTHOCLASE [6646]",,,,,,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [6646] ,260875.47350000002,6592.74,,99710.8884,,,,38554.08,14722.82,5246.447999999999,2168.4824000000003,,44662.07,61351.573899999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157592,
[7187],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,"DRY VALLEY DRILLING PROJECT 2, HUT POINT PENINSULA, SSW FROM MOUNT EREBUS, MCMURDO VOLCANIC GROUP",-77.84,-77.84,167.15,167.15,SUBAERIAL,,,s 2-134.03 [7187],BENMOREITE [7187],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [7187] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182633,
[7187],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,"DRY VALLEY DRILLING PROJECT 2, HUT POINT PENINSULA, SSW FROM MOUNT EREBUS, MCMURDO VOLCANIC GROUP",-77.84,-77.84,167.15,167.15,SUBAERIAL,,,s 25793 [7187],PHONOLITE [7187],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [7187] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182634,
[6622],OCEAN ISLAND,ROSS ISLAND / ROSS ISLAND / MOUNT EREBUS / PACIFIC OCEAN,"TURKS HEAD, MCMURDO VOLCANIC GROUP",-77.6667,-77.6667,166.7833,166.7833,SUBAERIAL,,,s 25754 [6622],"HAWAIITE, NEPHELINE [6622]",,,,,,,,PORPHYRITIC [6622] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [6622] ,,,,,,,71356.14,,,,,,,49556.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,7,,,,,,,,,,,,59,,,,,,,,,,,,,,,,0.54,793,95.9,138.2,,,14.1,4.2,,1.34,,,,,3.5,0.44,8.8,10,,,,,,,,,,,11.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,194489,
