Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[121],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / PAGO / PACIFIC OCEAN,"AOA BAY, WEST COAST",-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s TLW67-77 [121],"BASALT, THOLEIITIC [121]",,,,,,,1919,,VOLCANIC ROCK,,,,,WHOLE_ROCK [121] ,,13844.753999999999,,73036.638,,,,83171.09999999999,70755.3,44021.92,1161.687,,2988.54,16543.411099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,280,240,,,42,100,,,,,,,,,305,,120,,,,,,,,,,,,,,80,8.8,23.4,,20,4.79,1.7,,0.76,4.6,,,,2,0.25,3.6,0.5,,,,,,,,,,,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,1077-TLW67-77,
[461],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / LEONE / PACIFIC OCEAN,AIRPORT,-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s SAM16A [461],BASANITE [461],,,,,,,,VESICULAR [461] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,204596.29950000002,20557.362,,64886.1726,,25947.739999999998,64904.549999999996,,73256.75,78817.328,1394.0244,,11124.01,19065.724899999997,2618.526,,2800.0000000000005,1800.,,1100.,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,920,,,79,425,66,99,,,,,,40,460,,120,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12635,
[461],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / LEONE / PACIFIC OCEAN,,-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s SAM36 [461],BASANITE [461],,,,,,,,VESICULAR [461] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,201931.92000000004,18639.474,,65891.7495,,18324.280000000002,72522.09,,73828.51,84124.07999999999,1394.0244,,11040.995,16320.854000000001,2269.3892,,5600.000000000001,2100.,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,810,,,80,440,65,96,,,,,,39,550,,150,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12636,
[461],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / PACIFIC OCEAN,,-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s SAM37B [461],BASANITE [461],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,203988.63400000002,19059.012,,58693.935900000004,,23290.02,70190.18999999999,,74900.56,85390.46399999999,1394.0244,,10625.92,19955.953299999997,1702.0419000000002,,3300.,1100.,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,990,,,98,440,69,97,,,,,,34,530,,150,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12637,
[461],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / PACIFIC OCEAN,,-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s SAM37C [461],BASANITE [461],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,202165.6375,16721.586,,65785.8993,,14757.339999999998,71045.22,,75186.44,89129.31199999999,1394.0244,,10044.815,17433.6395,829.1999000000001,,6300.,800.,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1000,,,79,450,60,116,,,,,,33,570,,140,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12638,
[461],OCEAN ISLAND,SAMOAN ISLANDS / UPOLU / PUAPUA LAVAS / PACIFIC OCEAN,ALAOA POWER STATION,-14,-14,-171.7,-171.7,SUBAERIAL,,,s JKU-3 [461],"NEPHELINITE, OLIVINE [461]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,188843.74000000002,26131.224000000002,,57159.10800000001,,10491.,92965.08,,73614.1,75983.04,1239.1328,,14776.67,32493.3366,3753.2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,540,,,82,400,61,155,,,,,,53,1300,,260,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12639,
[461],OCEAN ISLAND,SAMOAN ISLANDS / SAVAI^I / MULIFANUA SERIES / PACIFIC OCEAN,NEAR OLOGOGO PLANTATION,-13.5,-13.5,-172.3,-172.3,SUBAERIAL,,,s SAV28 [461],BASANITE [461],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [461] ,213150.36000000002,17560.662,,71978.136,,10491.,72211.17,,64323,59097.92,1006.7954,,15855.865,21662.2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,430,,,54,310,,150,,,,,,58,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,12642,
[463],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / TAPUTAPU / PACIFIC OCEAN,"WEST OF LEONE, NEAR FAGAONE POINT",-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s ST-25 [463],"BASALT, OLIVINE [463]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [463] ,221564.19,23434.194,,68273.379,,,,100193.97,63179.479999999996,52464.479999999996,1161.687,,6641.200000000001,22478.267099999997,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12920,
[463],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / TAPUTAPU / PACIFIC OCEAN,"WEST OF LEONE, NEAR ASILI POINT",-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s ST-22 [463],"BASALT, OLIVINE [463]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [463] ,215487.53500000003,20797.097999999998,,57159.10800000001,,,,95763.36,66395.62999999999,74173.92,1161.687,,7388.335,20030.139,1745.6840000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12922,
[463],OCEAN ISLAND,SAMOAN ISLANDS / TUTUILA / PAGO / PACIFIC OCEAN,"PIOA PLUS, NEAR PIOA SADDLE",-14.3,-14.3,-170.7,-170.7,SUBAERIAL,,,s SAMTR-1 [463],TRACHYTE [463],,,,,,,,APHYRIC [463] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [463] ,322997.585,539.406,,83092.407,,,,16789.68,4645.55,542.736,232.3374,,41980.6855,42953.5203,43.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,215,11,70,310,160,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12924,
