Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,TORNOZELOUS COMPLEX,31,31,-16,-16,SUBAERIAL,,,s J-49 [4868],BASANITE [4868],,,,PLIOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,206559.5265,15403.037999999999,,66473.9256,,,,81771.95999999999,75615.26,65731.36,1548.9160000000002,,9297.68,25816.6236,3796.8627,7600.,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,480,,,59,424,,122,19,,,,,23.7,829,22.7,203,65.5,,,,,,,,,,,,,517,54.2,105,12.5,46.8,9.04,2.75,8,1.09,5.44,0.95,2.24,0.27,1.65,0.22,4.98,3.56,,,,,,,,,3.3,,5.84,1.19,0.51291,,,0.703076,,19.37,,15.566,,39.19,,,,,,,,,,,,,,,106401,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,ATALAIA COMPLEX,31,31,-16,-16,SUBAERIAL,,,s J-8A [4868],BASANITE [4868],,,,PLIOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,213758.0255,13065.612000000001,,70284.5328,,,,80839.2,69897.65999999999,59158.224,1471.4702,,6641.200000000001,24629.6524,2705.8102,6500.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,421,,,58,264,,128,18,,,,,16.6,654,20.7,148,43.7,,,,,,,,,,,,,350,37.1,71.9,8.53,32.9,6.85,2.18,6.34,0.9,4.79,0.87,2.08,0.26,1.62,0.22,4.04,2.47,,,,,,,,,2.45,,3.9,1.19,0.512908,,,0.70304,,19.399,,15.564,,39.177,,,,,,,,,,,,,,,106403,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,DIKES,31,31,-16,-16,SUBAERIAL,,,s J-43 [4868],BASANITE [4868],,,,MIOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,184823.799,15163.301999999998,,64939.0977,,,,89389.5,81690.20999999999,69168.688,1471.4702,,5478.990000000001,15282.2542,3054.9469999999997,43300.,,,,6000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,339,,,70,220,,115,17,,,,,8.6,555,21.6,185,59.6,,,,,,,,,,,,,387,40.7,84.4,10.5,41.3,8.23,2.46,7.16,1.02,5.31,0.95,2.37,0.3,1.85,0.26,5.09,3.68,,,,,,,,,2.22,,3.69,0.88,,,,,,,,,,,,,,,,,,,,,,,,,106404,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,DIKES,31,31,-16,-16,SUBAERIAL,,,s J-36 [4868],BASANITE [4868],,,,MIOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,195668.29100000003,15103.367999999999,,66844.40130000001,,,,92731.89,77330.54000000001,66334.4,1626.3618,,6973.259999999999,26113.3664,3011.3048999999996,14100.,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,401,,,69,239,,121,16,,,,,9.8,724,24.3,193,67.2,,,,,,,,,,,,,447,43.2,88.8,10.9,42.5,8.39,2.52,7.4,1.03,5.4,0.98,2.42,0.31,1.93,0.26,5.12,3.73,,,,,,,,,1.98,,3.66,0.85,0.512906,,,0.703154,,19.383,,15.577,,39.229,,,,,,,,,,,,,,,106405,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,DIKES,31,31,-16,-16,SUBAERIAL,,,s J-42 [4868],BASANITE [4868],,,,MIOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,196322.7,15163.301999999998,,67479.5025,,,,93353.73,77902.3,64042.84799999999,1548.9160000000002,,9712.755,23294.3098,3098.5890999999997,12600.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,391,,,67,233,,122,19,,,,,24.4,730,24.1,198,67,,,,,,,,,,,,,445,42.7,87.2,10.8,42.1,8.36,2.5,7.22,1.03,5.36,0.98,2.4,0.3,1.88,0.27,5.12,3.68,,,,,,,,,2.06,,3.57,0.83,0.512904,,,0.703168,,19.334,,15.564,,39.136,,,,,,,,,,,,,,,106406,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,,31,31,-16,-16,SUBAERIAL,,,s J-45 [4868],BASANITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,201137.28050000002,14504.027999999998,,65362.4985,,,,78973.68000000001,74757.62000000001,70073.24799999999,1471.4702,,8799.59,20846.1817,3535.0101000000004,21700.,,,,5300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,457,,,59,360,,123,17,,,,,19.4,850,22.4,191,66.5,,,,,,,,,,,,,551,58.9,113,13.1,49.3,9.27,2.78,8.02,1.1,5.5,0.95,2.28,0.28,1.65,0.22,4.73,3.57,,,,,,,,,3.71,,6.76,1.33,0.512912,,,0.703105,,19.359,,15.563,,39.172,,,,,,,,,,,,,,,106423,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,,31,31,-16,-16,SUBAERIAL,,,s J-35G [4868],TEPHRITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,197958.72250000003,9889.109999999999,,82457.3058,,,,69490.62,81761.68,25991.023999999998,1781.2534,,20338.675000000003,32790.079399999995,5324.3362,47400.,,,,4500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,34,,,44,46,,124,15,,,,,27.5,642,30.7,255,90.4,,,,,,,,,,,,,335,72.3,138,15.9,57,10.1,2.94,8.57,1.19,6.34,1.22,3.13,0.42,2.72,0.38,5.21,5.07,,,,,,,,,8.51,,7.43,1.62,0.512912,,,0.703074,,19.908,,15.614,,40.105,,,,,,,,,,,,,,,106424,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,,31,31,-16,-16,SUBAERIAL,,,s J-9 [4868],PHONOLITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,245730.57950000002,2457.294,,111248.5602,,,,17333.79,11220.79,2110.64,1084.2412000000002,,31794.745,81901.0128,392.77889999999996,45700.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,32,,,12,11,,88,34,,,,,105,594,15,373,119,,,,,,,,,,,,,939,39,64.7,6.28,19.4,3.26,0.97,2.75,0.44,2.69,0.56,1.67,0.27,1.91,0.28,6.41,5.47,,,,,,,,,17.8,,13.8,4.47,0.512911,,,0.703663,,19.716,,15.607,,39.623,,,,,,,,,,,,,,,106425,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,BASEMENT,30.1386,30.1386,-15.8656,-15.8656,SUBAERIAL,,,s J-32 [4868],PHONOLITE [4868],,,,OLIGOCENE [4868],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,244842.45300000004,3835.776,,115588.41840000001,,,,23008.079999999998,17510.15,6512.832,1239.1328,,35281.375,74853.3713,654.6315,21900.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,,,12,14,,86,24,,,,,100,656,18.6,330,113,,,,,,,,,,,,,1204,55.3,95.6,9.82,32,5.17,1.49,4.25,0.62,3.53,0.7,1.99,0.29,1.98,0.29,5.32,5.05,,,,,,,,,10.9,,10.1,3.2,0.512902,,,0.703151,,19.903,,15.603,,39.786,,,,,,,,,,,,,,,106426,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN PEQUENA / PEQUENA / ATLANTIC OCEAN,,31,31,-16,-16,SUBAERIAL,,,s SP-1 [4868],TEPHRITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,176737.17350000003,13425.216,,74253.9153,,,,68169.20999999999,78402.59000000001,37207.568,1781.2534,,3984.72,41173.0635,2967.6628,51500.,,,,3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,38,,,37,25,,121,20,,,,,10.8,740,31.8,303,104,,,,,,,,,,,,,802,81.9,150,16.4,61.1,10.7,3.12,9.36,1.23,6.28,1.13,3.06,0.39,2.44,0.34,6.11,4.2,,,,,,,,,7.49,,6.78,1.83,0.512906,,,0.703101,,19.722,,15.617,,39.557,,,,,,,,,,,,,,,106428,
