Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH13 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.47,58.3,,29.1,6.13,1.976,5.76,,4.43,,2.05,,1.575,0.213,,,,,,,,,,,1.71,,,0.797,,,,,,,,,,,,,,,,,,,,,,,,,10202,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH28 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,1.309,,,,,,,,,,,,,,,,,,,,,,,,,10203,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH37 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,10204,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH56 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH85 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3,113.7,,52.04,9.918,3.075,8.9,,6.82,,3.35,,2.731,0.391,,,,,,,,,,,3.19,,,1.782,,,,,,,,,,,,,,,,,,,,,,,,,10207,
[478],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / ATLANTIC OCEAN,,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s SH139 [478],BASALT [478],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [478] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.01,63.6,,32.31,6.818,2.211,6.43,,4.84,,2.2,,1.674,0.27,,,,,,,,,,,1.88,,,0.729,,,,,,,,,,,,,,,,,,,,,,,,,10208,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,"LOWER SHIELD, RIVER CUT NEAR SANDY BAY",-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE1A [1224],"BASALT, PICRITIC [1224]",8500000 [1224],11300000 [1224],,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1224] ,211794.79850000003,15702.708,,68485.0794,,,,97084.77,78188.18,70374.768,1471.4702,,6724.215,15208.068499999998,2138.4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,422,,,71,254,69,,,,,,,17,512,29,211,50,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702895,,20.89,,15.789,,40.173,,,,,,,,,,,,,,,10568,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,HIGH HILL,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE14 [1224],TRACHYBASALT [1224],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1224] ,232081.4775,17560.662,,92301.37440000002,,,,91565.93999999999,53959.85,23639.167999999998,1548.9160000000002,,13448.43,26929.409099999997,3360.4417000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,25,9,44,,,,,,,34,852,65,366,95,,,,,,,,,,,,,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.783,,15.771,,40.071,,,,,,,,,,,,,,,10571,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / ATLANTIC OCEAN,SADDLE POINT,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE18 [1224],ANKARAMITE [1224],11400000 [1224],,,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1224] ,219320.50200000004,19838.154,,77641.1217,,,,99649.86,76187.02,38172.432,1548.9160000000002,,12452.25,18175.4965,2051.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,107,,,48,142,98,,,,,,,34,671,38,315,83,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702874,,20.52,,15.735,,39.89,,,,,,,,,,,,,,,10572,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,"LOWER SHIELD, RIVER CUT NEAR SANDY BAY",-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE1A [1224],"BASALT, PICRITIC [1224]",8500000 [1224],11300000 [1224],,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,"HE3_HE4 from OLIVINE [1224], HE3_HE4(R/R(A)) from OLIVINE [1224]",MINERAL / COMPONENT (INCL. GROUNDMASS) [1224] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,5.73,,,,,10574,
