Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[636],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s UCTD3 [636],"PHONOLITE, NEPHELINE [636]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [636] ,233624.013,6472.872,,103203.945,,12239.5,24562.68,,31875.62,11819.583999999999,1548.9160000000002,,48231.715,48072.3336,1352.9051,40599.99999999999,,,,4500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98,,,6.5,,,,,,19.155,,15.561,,39.077,,,,,,,,,,,,,,,13862,
[636],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s UCTD6 [636],"PHONOLITE, NEPHELINE [636]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [636] ,241523.6645,4794.72,,110666.38410000001,,9931.48,19821.149999999998,,20083.07,6151.008,1239.1328,,53710.704999999994,56232.7606,698.2736,20299.999999999996,,,,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67,,,13.71,,,,,,19.188,,15.575,,39.13,,,,,,,,,,,,,,,13863,
[636],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s UCTD18 [636],"PHONOLITE, NEPHELINE [636]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [636] ,228762.689,6472.872,,109184.4813,,11959.74,23863.109999999997,,30303.280000000002,7718.911999999999,1548.9160000000002,,50556.135,62390.1737,1265.6209,27599.999999999996,,,,4600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,,,,,,19.085,,15.561,,39.008,,,,,,,,,,,,,,,13864,
[636],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s UCTD12 [636],"ANALCIMITE, OLIVINE [636]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [636] ,175895.79050000003,24453.072,,50702.245800000004,,33711.08,67547.37,,88551.33,78214.288,1936.145,,14278.58,25371.5094,5106.1257,19100.,,,,7300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,2.49,,,,,,18.966,,15.546,,38.702,,,,,,,,,,,,,,,13865,
[1197][3061][3112][1195],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TD3 [1197],"BASALT [1197] / NEPHELINITE, OLIVINE [1195]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,80807.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,690,20,253,64,,,,,,0.046,0.068,2.6,,0.00052,,,657,36,79,,36.7,7.2,,,,,,,,,,,,,,,,,,,,2.2,,,0.917,0.512762,,,0.703611,,19.047,,15.564,,38.816,,,,,,,,,,,,,,,1455-TD3,
[1197][3061][3112][1195],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TD4 [1197],BASALT [1197] / NEPHELINITE [1195],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1197] ,,,,,,,,,,33770.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2511,63,749,165,,,,,,0.235,0.14,6.7,,0.0026,,,1058,170,379,,170,22.3,,,,,,,,,,,,,,,,,,,,4.31,,,4.01,0.512772,,,0.703804,,19.143,,15.535,,39.023,,,,,,,,,,,,,,,1455-TD4,
[1498][10017],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TR(7A) [1498] / s 7A [10017],PHONOLITE [1498],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1498] ,266064.00200000004,2756.964,,117017.3961,,,,24096.3,15008.7,5668.575999999999,1006.7954,,51303.27,58680.888699999996,654.6315,,,,,,,,,,,,,,,,28600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,2,,,3.5,1,,,,,,,,170,1211,23,1188,118,,,,,,,,,,,,2.5,856,76,102,,25,,,,0.53,,,,,,,16.9,3.2,,,,,,,,,,,27.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,1455-TR(7A),
[1498][10017],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TR-11 [1498] / s 91TR11 [10017],PHONOLITE [1498],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1498] ,257977.3765,4554.9839999999995,,111671.96100000001,,,,32413.41,19654.25,4703.7119999999995,1316.5786,,52797.54,63132.030699999996,872.8420000000001,,,,,,,,,,,,,,,,21300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,2,,,4.9,1,,,,,,,,182,1680,33,1057,143,,,,,,,,,,,,2.8,984,119,178,,50,8.3,2.4,,0.84,,,,,2.8,0.41,17,4.5,,,,,,,,,,,30.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,1455-TR-11,
[1498][10017],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TR-115 [1498] / s 91TR115 [10017],PHONOLITE [1498],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1498] ,258444.8115,4495.049999999999,,114159.4407,,,,29148.75,21798.35,3738.848,1161.687,,48978.850000000006,64838.3018,741.9157,,,,,,,,,,,,,,,,36700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,7,,,4.5,1,,,,,,,,147,2143,32,1113,150,,,,,,,,,,,,2.46,1231,110,173,,51,7.6,2.21,,0.78,,,,,2.9,0.36,16.6,6.1,,,,,,,,,,,17.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,,1455-TR-115,
[1498][10017],OCEAN ISLAND,TRINDADE / TRINDADE / ATLANTIC OCEAN,,-20.5,-20.5,-29.3,-29.3,SUBAERIAL,,,s TR-20 [1498] / s 91TR20 [10017],PHONOLITE [1498],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1498] ,253069.309,5334.126,,109502.03190000002,,,,37621.32,29302.699999999997,6211.312,1471.4702,,55703.065,53042.7755,1134.6946,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,6,,,6.9,3,,,,,,,,183,2563,38,911,159,,,,,,,,,,,,2.5,1362,159,244,,77,11.4,3.6,,1.1,,,,,3.4,0.49,15,6.2,,,,,,,,,,,23.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,1455-TR-20,
