Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,BUFF GULCH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK26 [115],GABBRO [115],,,,,,,,,PLUTONIC ROCK,,,,HE3_HE4 from AMPHIBOLE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,10105,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,BUFF GULCH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK26 [115],GABBRO [115],,,,,,,,,PLUTONIC ROCK,,,,HE3_HE4 from AMPHIBOLE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,10106,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,10107,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,10108,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from CLINOPYROXENE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,10109,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC69 [521],"BASANITE, ANKARAMITIC [521]",,,,,,,,PORPHYRITIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,199267.54050000003,18999.077999999998,,59911.213200000006,,,,113330.34,80832.57,72183.888,1316.5786,,12618.28,20326.8818,1702.0419000000002,,,1200.,,,,,,,,,,,,,7800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,375,327,,,83,208,96,102,,,,,,44,672,18,210,50,,,,,,,,,,,,,443,39,88,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11354,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,,-37.1,-37.2,-12.2,-12.3,SUBAERIAL,,,s TR114 [521],"BASANITE, ANKARAMITIC [521]",,,,,,,,PORPHYRITIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,201838.43300000002,21995.778,,69490.6563,,,,104158.2,83834.31,53670.56,1239.1328,,13780.49,22849.1956,2356.6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,356,194,,,67,87,36,93,,,,,,43,985,22,220,50,,,,,,,,,,,,,669,42,105,,62,,,,,,,,,,,,,,,,,,,,,,,,,0.51254,,,0.70508,,,,,,,,,,,,,,,,,,,,,11358,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,RUNAWAY BEACH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC32 [521],BASANITE [521],,,,,,,,APHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,212682.92500000002,19178.88,,87855.66600000001,,,,82937.91,64751.82000000001,26352.847999999998,1471.4702,,24904.5,33309.3793,4233.2837,,,1700.0000000000002,,,,,,,,,,,,,22500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,193,,,,28,3.2,11.4,112,,,,,,75,1285,34,380,100,,,,,,,,,,,,,803,73,167,,88,,,,,,,,,,,,,,,,,,,,,5.7,,,2.32,0.51259,,,0.70504,,18.556,,15.529,,39.006,,,,,,,,,,,,,,,11359,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC75 [521],BASANITE [521],,,,,,,,APHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,211794.79850000003,21336.504,,85685.7369,,,,90710.91,72542.05,30875.647999999997,1703.8076,,22081.99,29822.651399999995,3011.3048999999996,,,1000.,,,,,,,,,,,,,7500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,292,,,,37,2.6,12.8,102,,,,,,64,1100,31,325,83,,,,,,,,,,,,,671,57,133,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11361,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC78 [521],BASANITE [521],,,,,,,,APHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,215487.53500000003,19538.483999999997,,86056.21260000001,,,,86047.11,68396.79000000001,30272.607999999997,1703.8076,,24074.35,32493.3366,3622.2943,,,1000.,,,,,,,,,,,,,7200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,234,7.5,,,32,11.3,23,101,,,,,,75,1185,29,351,88,,,,,,,,,,,,,751,66,146,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11363,
