Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 41 DS,-26.9706,-26.9758,-111.0275,-111.0358,SUBAQUATIC,-1185,-1399,s 41DS-3 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,224322.05650000004,12286.469999999998,,78752.5488,,,,80528.28,72756.45999999999,53308.736,1316.5786,,2324.42,21662.2244,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46155,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 41 DS,-26.9706,-26.9758,-111.0275,-111.0358,SUBAQUATIC,-1185,-1399,s 41DS-13 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,VOLCANIC GLASS [1672] ,230258.481,12765.942,,80975.403,,,,74620.8,75686.73,43358.576,1394.0244,,2324.42,20549.4389,1571.1155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46156,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 41 DS,-26.9706,-26.9758,-111.0275,-111.0358,SUBAQUATIC,-1185,-1399,s 41DS-5 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,229276.8675,12466.271999999999,,80869.5528,,,,82005.15000000001,73971.45,53972.079999999994,1316.5786,,2407.435,21068.7388,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,335,374,,,49.5,207,76.5,98.2,19.5,,,,,4.51,220,33.8,151,11.3,,,,,,,,,,,,0.045,38.2,8.46,20.5,3.18,15.1,4.51,1.6,5.19,0.86,5.46,1.09,3.08,0.42,2.61,0.37,3.16,0.66,,,,,,,,,0.68,,0.61,0.25,,,,,,,,,,,,,,,,,,,,,,,,,46157,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 42 DS,-27.0181,-27.0264,-110.7944,-110.7972,SUBAQUATIC,-1290,-1468,s 42DS-3 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,223106.7255,14803.698,,79387.65000000001,,,,84337.05,71470,52162.96,1394.0244,,3652.66,22775.009899999997,1178.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46158,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 42 DS,-27.0181,-27.0264,-110.7944,-110.7972,SUBAQUATIC,-1290,-1468,s 42DS-4 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,223340.44300000003,14983.5,,79123.0245,,,,85580.73,72542.05,52162.96,1394.0244,,3237.585,22478.267099999997,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46159,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 42 DS,-27.0181,-27.0264,-110.7944,-110.7972,SUBAQUATIC,-1290,-1468,s 42DS-6 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,225116.696,13245.413999999999,,81081.2532,,,,79595.52,75972.61,49087.456,1316.5786,,2905.5249999999996,21736.4101,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,349,399,,,46.4,166,70,95.4,20.5,,,,,4.95,219,37.3,157,11.3,,,,,,,,,,,,0.039,40.9,8.53,21.1,3.42,15.6,5.01,1.79,5.52,0.92,5.89,1.21,3.39,0.47,2.97,0.44,3.82,0.67,,,,,,,,,0.67,,0.59,0.22,,,,,,,,,,,,,,,,,,,,,,,,,46160,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 42 DS,-27.0181,-27.0264,-110.7944,-110.7972,SUBAQUATIC,-1290,-1468,s 42DS-8 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,223994.852,13844.753999999999,,80128.6014,,,,82549.26,71970.29000000001,53610.256,1316.5786,,3154.57,21958.9672,1047.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,342,362,,,48.9,203,67.2,99.5,20.9,,,,,5.47,226,38.3,170,12.9,,,,,,,,,,,,0.044,49.9,9.7,23.6,3.67,16.9,5.36,1.83,5.94,0.99,6.22,1.29,3.57,0.49,3.04,0.45,3.76,0.76,,,,,,,,,0.72,,0.75,0.26,,,,,,,,,,,,,,,,,,,,,,,,,46161,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-1 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,225537.3875,9169.902,,93783.2772,,,,75786.75,80260.81,47338.63999999999,1161.687,,747.135,19436.6534,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46162,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-2 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,225724.3615,10728.186,,83621.65800000001,,,,80606.01,72613.52,55962.111999999994,1239.1328,,1909.345,20326.8818,698.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,269,418,,,52.4,255,84.8,98.6,18.8,,,,,2.58,155,29.1,109,6.69,,,,,,,,,,,,0.027,20.2,4.91,13.4,2.3,11.2,3.6,1.33,4.04,0.73,4.87,0.98,2.74,0.4,2.48,0.36,2.68,0.44,,,,,,,,,0.42,,0.34,0.25,,,,,,,,,,,,,,,,,,,,,,,,,46163,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-3 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,223994.852,10368.581999999999,,81504.65400000001,,,,82005.15000000001,70826.77,59761.263999999996,1316.5786,,1909.345,19881.7676,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,284,557,,,54.7,298,93.9,100,18.2,,,,,2.81,141,29.1,106,6.55,,,,,,,,,,,,0.046,18.8,4.96,13.1,2.19,10.7,3.59,1.3,4.33,0.71,4.79,0.97,2.77,0.41,2.44,0.37,2.7,0.42,,,,,,,,,0.46,,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,46164,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-4 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,224602.51750000002,8930.166,,94100.82780000001,,,,73688.04000000001,79831.99,45770.736,1161.687,,996.18,20030.139,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,255,304,,,46.1,175,85.5,94.7,18.6,,,,,1.58,159,23,72.7,4.35,,,,,,,,,,,,0.034,11.6,2.94,8.01,1.43,7.26,2.49,1.01,3.17,0.57,3.72,0.77,2.13,0.3,1.82,0.28,1.86,0.28,,,,,,,,,0.27,,0.18,0.11,,,,,,,,,,,,,,,,,,,,,,,,,46165,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-5 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,226285.2835,9289.77,,92671.85010000001,,,,77030.43000000001,79831.99,47640.159999999996,1161.687,,747.135,19585.0248,480.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46166,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-5GL [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,VOLCANIC GLASS [1672] ,229510.58500000002,9289.77,,85209.41100000001,,,,79828.70999999999,76544.37000000001,50233.231999999996,1394.0244,,747.135,25371.5094,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,253,327,,,44.5,174,84.5,94.3,17.9,,,,,1.18,148,22.8,75.3,4.37,,,,,,,,,,,,0.014,12.3,2.83,7.95,1.39,7.12,2.55,1.01,3.14,0.55,3.57,0.72,1.99,0.29,1.84,0.26,2.11,0.29,,,,,,,,,0.3,,0.18,0.07,,,,,,,,,,,,,,,,,,,,,,,,,46167,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 93 DS,-26.9203,-26.9222,-110.9741,-110.9753,SUBAQUATIC,-1594,-1624,s 93DS-7 [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [1672] ,222732.7775,11267.591999999999,,81028.3281,,,,88301.28,71255.59000000001,53972.079999999994,1316.5786,,1162.21,20252.696099999997,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,292,424,,,55.1,242,94.9,116,19.5,,,,,2.15,135,26.5,93.8,5.66,,,,,,,,,,,,0.037,14.4,3.87,10.6,1.86,9.42,3.31,1.21,3.96,0.71,4.64,0.95,2.64,0.36,2.35,0.34,2.54,0.38,,,,,,,,,0.37,,0.28,0.13,,,,,,,,,,,,,,,,,,,,,,,,,46168,
[1672],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 42 DS,-27.0181,-27.0264,-110.7944,-110.7972,SUBAQUATIC,-1290,-1468,s 42DS-9GL [1672],BASALT [1672],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,VOLCANIC GLASS [1672] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,332,338,,,45.7,189,64.9,103,20.5,,,,,6.35,229,37.3,177,14.8,,,,,,,,,,,,0.072,58.6,10.8,25.7,4.02,18.3,5.51,1.91,5.95,0.98,6.37,1.24,3.54,0.51,3.01,0.45,4.46,0.98,,,,,,,,,0.81,,0.82,0.28,,,,,,,,,,,,,,,,,,,,,,,,,46169,
[1672][17320],OCEAN ISLAND,UMU VOLCANIC FIELD / UMU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE 41 DS,-26.9706,-26.9758,-111.0275,-111.0358,SUBAQUATIC,-1185,-1399,s 41DS-1 [1672],BASALT [1672] / NOT GIVEN [17320],,,,,,,,"PORPHYRITIC, HYPOCRYSTALLINE [1672] ",VOLCANIC ROCK,,,,,VOLCANIC GLASS [1672] ,228996.40650000004,12526.205999999998,,79281.79980000001,,,,80606.01,73614.1,51439.31199999999,1316.5786,,2241.405,21142.9245,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,351,350,,,49.7,186,79.2,101,19.9,,,,,4.55,213,34.2,153,11.6,,,,,,,,,,,,0.038,39.6,8.43,20.5,3.19,15,4.44,1.57,4.98,0.83,5.33,1.09,3,0.42,2.52,0.37,3.52,0.66,,,,,,,,,0.59,,0.6,0.2,0.513047,,,0.70283,,19.134,,15.551,,38.687,,,,,,,,,,,,,,,9161-41DS-1,
