Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-1-2,55-57 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,241663.89500000002,10068.911999999998,,100557.69,,51266.020000000004,4974.72,,12221.369999999999,14955.392,697.0122,,48065.685,11869.712,654.6315,,52000.,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,158,,,,,,51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143735,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-1-6,75-80 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,218666.09300000002,10128.846,,85262.3361,,93299.95999999999,10027.17,,24728.62,23036.127999999997,1394.0244,,40096.245,11350.4121,654.6315,,47600.,6400.,,20299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,135,,,,,,58,102,28,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143736,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-1-7,75-80 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,237036.28850000002,9769.241999999998,,97911.435,,57770.439999999995,5363.37,,17867.5,17608.768,1084.2412000000002,,53046.585,12018.0834,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,99,,,,,,56,126,32,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143737,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-2-1,94-100 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,219694.45,12106.668,,89972.67,,93789.54000000001,2487.36,,11292.26,16764.512,1084.2412000000002,,46986.49,7863.6842,829.1999000000001,,51700.,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,145,,,,,,63,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143738,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-2-3,94-100 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,225303.67000000004,10608.318,,98705.3115,,82319.37999999999,6218.400000000001,,25014.5,17066.032,1084.2412000000002,,40096.245,13946.9116,1920.2524,,43700.,1700.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,155,,,,,,56,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143739,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-24-4-1,126-136 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,229978.02000000002,8330.826,,84150.909,,72667.66,3109.2000000000003,,25228.91,25810.112,387.22900000000004,,24157.365,8828.0983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,210,,,,,,58,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143740,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-27-1-1,22-27 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,221564.19,10188.779999999999,,95794.43100000001,,69310.54000000001,16167.84,,47170.2,26232.239999999998,1006.7954,,21002.795,16617.5968,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,155,,,,,,22,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143741,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-27-1-2,42-45 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,219227.015,8091.09,,97911.435,,46789.86,26117.28,,96484.5,29790.176,1161.687,,13365.415,16914.3396,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,105,,,,,,22,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143742,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-27-1-3,81-88 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,216889.84,9469.572,,93942.0525,,44132.14,22386.239999999998,,69683.25,28945.92,1084.2412000000002,,15191.745,19288.282,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,115,,,,,,18,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143743,
[6422],OCEANIC PLATEAU,BERMUDA RISE / BERMUDA RISE / SITE 417 / ATLANTIC OCEAN,HOLE 417A,25.112,25.112,-68.047,-68.047,SUBAQUATIC,-5478,-5478,"s 51-417A-28-1-2,106-123 [6422]",BASALT [6422],109000000 [6422],109000000 [6422],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6422] ,219273.7585,8570.562,,88384.917,,57140.979999999996,27749.609999999997,,70112.07,34493.888,1161.687,,9795.769999999999,14614.5829,654.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,85,,,,,,25,118,36,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143744,
