Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1701],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 151 / ATLANTIC OCEAN,,15.017,15.017,-73.4097,-73.7097,SUBAQUATIC,,,s 15-1-2_LEACHED2 [1701],BASALT [1701],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1701] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703567,,,,,,,,,,,,,,,,,,,,,112213,
[1701],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 152 / ATLANTIC OCEAN,,15.8787,15.8787,-74.6078,-74.6078,SUBAQUATIC,,,s LEG15-2-1_LEACHED2 [1701],BASALT [1701],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1701] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703859,,,,,,,,,,,,,,,,,,,,,112214,
[1701],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIAN BASIN / SITE 151 / ATLANTIC OCEAN,,15.017,15.017,-73.4097,-73.7097,SUBAQUATIC,,,s 15-1-2_UNLEACHED [1701],BASALT [1701],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1701] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703876,,,,,,,,,,,,,,,,,,,,,112216,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"PLAYA POTRERO, MATAPALO",10.5,11.5,-85,-86,SUBAERIAL,,,s AN2 [2918],GABBRO [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2918] ,234699.11350000004,6472.872,,71025.4842,,68261.44,,,81547.27,42454.015999999996,1936.145,,747.135,23442.6812,698.2736,18800.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,129,,,,0,,,,,,,,3.35,211,44.8,67,7.23,,,,,,,,,,,,,83,7.12,17.8,2.7,13.36,4.38,1.58,5.6,0.99,6.26,1.31,3.77,0.55,3.6,0.54,2.22,0.49,,,,,,,,,0.112,,0.456,0.142,0.513015,,,0.7033,,19.903,,15.623,,39.673,,,,,,,,0.283104,,,,,,,11767-AN 2,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,PUNTA CIRIAL,10.5,11.5,-85,-86,SUBAERIAL,,,s AN14 [2918],"GRANITE, PLAGIOCLASE [2918]",,90000000 [2918],,CRETACEOUS [2918],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2918] ,329401.44450000004,3236.436,,59064.41160000001,,49447.58,,,30088.87,2170.944,1006.7954,,2075.375,40505.392199999995,480.0631,8400.,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,3.78,120,143.8,561,21.15,,,,,,,,,,,,,84,16.77,47.26,7.53,38.07,12.59,3.63,15.89,2.95,19.58,4.2,12.72,1.97,14.42,2.28,1.36,1.45,,,,,,,,,0.218,,0.993,0.232,0.513021,,,0.704264,,19.853,,15.588,,39.847,,,,,,,,0.283351,,,,,,,11769-AN 14,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"NE ISLA LOROS, MATAPALO/ PUNTA GORDA",10.5,11.5,-85,-86,SUBAERIAL,,,s AN18 [2918],BASALT [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2918] ,227781.0755,4554.9839999999995,,69966.98220000001,,68051.62000000001,,,92339.24,66093.18400000001,1239.1328,,1079.195,12240.6405,218.21050000000002,20099.999999999996,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,890,,,,213,,,,,,,,3.41,71,16.6,38,2.09,,,,,,,,,,,,,35,1.81,4.72,0.74,3.99,1.43,0.55,1.95,0.36,2.39,0.53,1.57,0.23,1.5,0.23,0.93,0.14,,,,,,,,,0.217,,0.131,0.043,0.513022,,,0.703558,,18.993,,15.564,,38.655,,,,,,,,0.283126,,,,,,,11770-AN 18,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"CERRO AZUL, PUERTO CARILLO",10.5,11.5,-85,-86,SUBAERIAL,,,s AN46 [2918],BASALT [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2918] ,228528.9715,10788.119999999999,,79440.5751,,82319.37999999999,,,72327.64,41428.848,1548.9160000000002,,1079.195,24110.3525,610.9894,10200.,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.5,144,,,,101,,,,,,,,1.44,109,44.8,99.5,5.81,,,,,,,,,,,,,36,6.28,17.09,2.69,13.5,4.54,1.61,5.8,1.05,6.64,1.4,4.05,0.58,3.87,0.56,3.36,0.39,,,,,,,,,0.376,,0.414,0.18,0.51302,,,0.70328,,19.15,,15.553,,38.682,,,,,,,,0.283127,,,,,,,11773-AN 46,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"1.6 KM SSW MONTEZUMA, CABUYA",10.5,11.5,-85,-86,SUBAERIAL,,,s AN72 [2918],BASALT [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2918] ,231193.35100000002,5753.664,,75735.8181,,75255.44,,,82333.44,49630.192,1471.4702,,2573.465,16988.5253,305.4947,18000.,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,276,,,,125,,,,,,,,3.82,126,20,54,3.29,,,,,,,,,,,,,16,2.48,6.71,1.07,5.44,1.87,0.71,2.57,0.47,3.12,0.68,2.07,0.29,1.97,0.3,1.39,0.23,,,,,,,,,0.3,,0.233,0.081,0.512999,,,0.705779,,19.123,,15.566,,38.83,,,,,,,,0.283117,,,,,,,11779-AN 72,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"0.3 KM NW PIEDRA AMARILLA, RIO ARIO",10.5,11.5,-85,-86,SUBAERIAL,,,s AN81 [2918],BASALT [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2918] ,228528.9715,5753.664,,73830.5145,,79871.48,,,85263.70999999999,54032.384000000005,1703.8076,,1328.24,15875.739800000001,305.4947,13799.999999999998,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.5,291,,,,132,,,,,,,,1.4,95,21.1,52.5,2.88,,,,,,,,,,,,,7,2.44,6.41,1.01,5.2,1.86,0.7,2.54,0.46,3.12,0.67,2.01,0.29,1.97,0.3,1.23,0.2,,,,,,,,,0.213,,0.199,0.068,0.51302,,,0.704906,,19.12,,15.557,,38.815,,,,,,,,0.283128,,,,,,,11783-AN 81,
[2918][6567],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN,"1.4 KM WEST TAMBOR, RIO ARIO",10.5,11.5,-85,-86,SUBAERIAL,,,s AN86 [2918],BASALT [2918],,90000000 [2918],,CRETACEOUS [2918],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2918] ,231286.83800000002,14504.027999999998,,69437.7312,,106798.37999999999,,,63322.42,33951.151999999995,1781.2534,,1162.21,19881.7676,960.1262,13500.,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,76,,,,68,,,,,,,,1.55,102,55.6,146.5,9.06,,,,,,,,,,,,,35,6.78,19.31,3,15.16,5.12,1.72,6.65,1.18,7.7,1.66,4.96,0.72,4.82,0.73,3.95,0.62,,,,,,,,,0.705,,0.635,0.196,0.513012,,,0.703484,,19.213,,15.564,,38.787,,,,,,,,0.283136,,,,,,,11793-AN 86,
