Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 464 / PACIFIC OCEAN,HOLE 464,39.8607,39.8607,173.8888,173.8888,SUBAQUATIC,-4670,-4670,"s 62-464-34-CC,13-14 [2085]",THOLEIITE [2085],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,218525.86250000002,10488.449999999999,,83039.4819,,45391.060000000005,55654.68,,27944.77,47579.85599999999,2245.9282,,13946.519999999999,22849.1956,392.77889999999996,,27900.,43300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,38.6,,,,,,,,,,158,,111,,,,,,,,,,,,,,,5.08,13.6,,,3.08,1.17,,0.66,,,,,2.96,0.42,3.17,0.28,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,138152,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 464 / PACIFIC OCEAN,HOLE 464,39.8607,39.8607,173.8888,173.8888,SUBAQUATIC,-4670,-4670,"s 62-464-34-CC,19-21 [2085]",THOLEIITE [2085],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,,,,,,,,97162.5,,,,,,24926.3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,,,,,,50.3,,,,,,,,,,166,,,,,,,,,,,,,,,,,5.06,13.2,,,3.48,1.19,,0.69,,,,,2.47,0.32,3.16,0.28,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,138153,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 464 / PACIFIC OCEAN,HOLE 464,39.8607,39.8607,173.8888,173.8888,SUBAQUATIC,-4670,-4670,"s 62-464-34-CC,23-25 [2085]",THOLEIITE [2085],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,213056.87300000002,10308.648,,85421.11140000001,,43852.38,50213.58,,33733.84,47157.727999999996,1936.145,,6724.215,25074.7666,392.77889999999996,,27400.000000000004,53099.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,47.3,,,,,,,,,,178,,111,,,,,,,,,,,,,,,4.83,12.8,,,3.09,1.25,,0.68,,,,,2.37,0.34,3.16,0.26,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,138154,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-41-3,P9 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,271439.50450000004,6113.268,,98864.0868,,18184.4,5674.29,,16652.510000000002,12543.232,154.8916,,23991.335000000003,35238.2075,1221.9788,,25099.999999999996,39800.,,3700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,8.5,,,,,,,,,15.3,372,,681,,,,,,,,,,,,,,655,81.2,156,,,8.93,2.98,,0.98,,,,,2.02,0.32,17,8.42,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,138155,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-42-1,123-125 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,279385.89950000006,5933.465999999999,,97752.6597,,15526.680000000002,3497.85,,14579.880000000001,7176.1759999999995,154.8916,,40013.23,37167.0357,1440.1893,,13799.999999999998,25400.,,4900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,,11.4,,,,,,,,,23.5,276,,718,,,,,,,,,,,,,,605,80.3,164,,,10.6,2.92,,1.35,,,,,3.33,0.53,16.8,8.74,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,138156,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-42-2,90-93 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,279479.3865,5933.465999999999,,99869.6637,,18883.800000000003,2176.44,,14722.82,5246.447999999999,154.8916,,42005.59,38576.564,1396.5472,,11399.999999999998,15700.,,9200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,,19.6,,,,,,,,,28.3,252,,748,,,,,,,,,,,,,,596,79.8,165,,,10.5,3.01,,1.37,,,,,3.18,0.49,16.6,8.86,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,138157,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-42-3,84-86 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,280274.026,6113.268,,99552.1131,,16016.26,3731.04,,15723.400000000001,10251.679999999998,154.8916,,31877.76,36128.4359,1309.263,,20900.,29500.,,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,11.5,,,,,,,,,20.2,397,,688,,,,,,,,,,,,,,613,83.2,179,,,9.84,2.9,,1.1,,,,,1.9,0.31,18.9,9.89,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,138158,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-43-1,64-66 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,276861.7505,6173.202,,99128.7123,,14827.28,2409.63,,16581.039999999997,8321.952,154.8916,,35613.435,38947.4925,1789.3261,,14200.,28000.,,3600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,10.9,,,,,,,,,30.8,272,,770,,,,,,,,,,,,,,632,85.9,173,,,11.5,3.18,,1.24,,,,,2.8,0.37,16.2,9.22,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,138159,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-43-1,91-95 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,274244.1145,6353.004,,98440.68600000002,,16505.84,2876.0099999999998,,16723.98,10372.287999999999,154.8916,,30549.52,36647.7358,1352.9051,,17600.,37100.,,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,20,349,,651,,,,,,,,,,,,,,680,82.6,164,,,10.5,2.9,,1.03,,,,,1.82,0.3,18.4,9.06,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,138160,
[2085],OCEANIC PLATEAU,HESS RISE / HESS RISE / SITE 465 / INDIAN OCEAN,HOLE 465A,33.8205,33.8205,178.919,178.919,SUBAQUATIC,-2166,-2166,"s 62-465A-43-1,114-117 [2085]",TRACHYTE [2085],,,,,,,,HIGHLY VESICULAR [2085] ,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2085] ,276067.11100000003,6293.07,,99499.18800000001,,15526.680000000002,3575.5800000000004,,16938.39,8924.992,154.8916,,32541.88,37834.706999999995,1483.8314,,16800.,27900.,,3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,19.2,,,,,,,,,20.3,336,,711,,,,,,,,,,,,,,688,75.1,160,,,10.1,3.11,,1.21,,,,,2.21,0.34,16.3,8.81,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,138161,
