Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53219 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL, MICROOPHITIC [1555] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1555] ,231567.29900000003,8031.156,,73301.2635,,,,104469.12,75186.44,35338.144,1161.687,,12701.295,16098.2969,392.77889999999996,,,,,,,,,,,,,,,,26100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,340,137,,,,58,104,98,22,,1,,,2.7,108.4,25,73,3,,,,,,,,,,,,,40,6,17,,2.17,1.03,,,,,,,,,,,,,,,,,,,,4,,,1.8,0.513,,,0.703757,,19.4,,15.56,,38.53,,,,,,,,,,,,,,,33423,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53227 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL, MICROOPHITIC [1555] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1555] ,234371.909,9169.902,,83674.5831,,,,85736.18999999999,77473.48,31116.863999999998,1084.2412000000002,,12203.205,18620.610699999997,523.7052,,,,,,,,,,,,,,,,24900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,378,162,,,,65,114,99,24,,4,,,1.8,120.1,29,84,3,,,,,,,,,,,,,40,9,21,,1.8,0.84,,,,,,,,,,,,,,,,,,,,4,,,2.5,0.513001,,,0.703801,,21.02,,15.69,,38.56,,,,,,,,,,,,,,,33424,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53230 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL, MICROOPHITIC [1555] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1555] ,231286.83800000002,8930.166,,80499.07710000001,,,,103691.81999999999,70755.3,29247.439999999995,1239.1328,,12784.31,18027.1251,567.3473,,,,,,,,,,,,,,,,35100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,411,176,,,,74,153,113,22,,6,,,4,125.2,27,81,4,,,,,,,,,,,,,26,9,23,,1.7,0.79,,,,,,,,,,,,,,,,,,,,4,,,2,0.51302,,,0.703765,,18.93,,15.55,,38.44,,,,,,,,,,,,,,,33425,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53235 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL [1555] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1555] ,239513.69400000002,9709.308,,87167.6397,,,,96618.39,53316.62,22191.872,1316.5786,,22497.065,19807.581899999997,698.2736,,,,,,,,,,,,,,,,43200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,335,224,,,,64,135,127,22,,7,,,45,151,24,86,5,,,,,,,,,,,,,48,9,23,,,,,,,,,,,,,,,,,,,,,,,7,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,33426,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53266 [1555],BASALT [1555],,,,,,,,"VERY FINE-GRAINED, MICROVARIOLITIC [1555] ",VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1555] ,232174.96450000003,9289.77,,83145.33210000001,,,,103536.36,66038.28,25930.719999999998,1471.4702,,15689.835,18620.610699999997,654.6315,,,,,,,,,,,,,,,,31600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,316,132,,,,56,156,125,23,,8,,,30,154,32,86,4,,,,,,,,,,,,,35,9,23,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,33427,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53229 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL [1555] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1555] ,252788.848,11267.591999999999,,103151.0199,,,,72444.36,41238.189999999995,10553.199999999999,2865.4946,,24240.38,23442.6812,916.4841,,,,,,,,,,,,,,,,60199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,198,180,,,,105,63,79,25,,3,,,36,166,31,103,7,,,,,,,,,,,,,67,8,20,,,,,,,,,,,,,,,,,,,,,,,7,,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,33428,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53236 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, MICROVARIOLITIC [1555] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1555] ,240495.30750000002,9709.308,,88331.99190000001,,,,89778.15000000001,55317.78,19538.496,851.9038,,30466.505,17804.568,1047.4104,,,,,,,,,,,,,,,,25800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,338,158,,,,48,117,141,27,,13,,,42,147,36,88,6,,,,,,,,,,,,,38,9,22,,,,,,,,,,,,,,,,,,,,,,,5,,1.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,33429,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53259 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL, MICROOPHITIC [1555] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1555] ,236381.8795,9889.109999999999,,86532.53850000001,,,,83404.29000000001,69468.84000000001,30935.951999999997,851.9038,,13448.43,20475.2532,610.9894,,,,,,,,,,,,,,,,32700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,396,223,,,,70,184,145,22,,5,,,22,155,26,88,5,,,,,,,,,,,,,33,8,20,,,,,,,,,,,,,,,,,,,,,,,4,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,33430,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53260 [1555],BASALT [1555],,,,,,,,"FINE-GRAINED, INTERSERTAL, MICROOPHITIC [1555] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1555] ,237643.95400000003,9949.043999999998,,92036.7489,,,,70889.76,77187.6,29729.871999999996,774.4580000000001,,10210.845,20623.6246,610.9894,,,,,,,,,,,,,,,,31300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,319,166,,,,50,42,86,22,,,,,18,163,28,91,4,,,,,,,,,,,,,29,8,18,,,,,,,,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,33431,
[1555],OCEANIC PLATEAU,HIKURANGI PLATEAU / RAPUHIA SCARP / PACIFIC OCEAN,BASE OF THE SCARP,-36.1,-36.1,-178.375,-178.375,SUBAQUATIC,-6000,-6000,s P53261 [1555],BASALT [1555],,,,,,,,"VERY FINE-GRAINED, MICROVARIOLITIC [1555] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1555] ,250264.69900000002,9709.308,,95529.8055,,,,84570.24,29874.46,22915.519999999997,464.6748,,29802.385,21513.853,698.2736,,,,,,,,,,,,,,,,71700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,250,258,,,,51,236,213,26,,5,,,52,100,26,86,5,,,,,,,,,,,,,24,8,18,,,,,,,,,,,,,,,,,,,,,,,5,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,33432,
