Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 706 / INDIAN OCEAN,HOLE 706B,-13.1143,-13.1143,61.371,61.371,SUBAQUATIC,-2507.8,-2507.8,"s 115-706B-7X-CC,56-59 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512918,,,0.70374,,18.799,,15.598,,38.934,,,,,,,,,,,,,,,34142,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 706 / INDIAN OCEAN,HOLE 706C,-13.114,-13.114,61.371,61.371,SUBAQUATIC,-2518,-2518,"s 115-706C-5R-2,51-54 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512927,,,0.70379,,18.778,,15.6,,38.938,,,,,,,,,,,,,,,34143,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 706 / INDIAN OCEAN,HOLE 706C,-13.114,-13.114,61.371,61.371,SUBAQUATIC,-2518,-2518,"s 115-706C-9R-1,21-24 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512973,,,0.70356,,18.671,,15.587,,38.817,,,,,,,,,,,,,,,34144,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 707 / INDIAN OCEAN,HOLE 707C,-7.5453,-7.5453,59.0168,59.0168,SUBAQUATIC,-1551.9,-1551.9,"s 115-707C-23R-1,126-127 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70356,,18.633,,15.578,,38.432,,,,,,,,,,,,,,,34145,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 707 / INDIAN OCEAN,HOLE 707C,-7.5453,-7.5453,59.0168,59.0168,SUBAQUATIC,-1551.9,-1551.9,"s 115-707C-23R-1,24-25 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512988,,,0.70343,,18.592,,15.567,,38.646,,,,,,,,,,,,,,,34146,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 707 / INDIAN OCEAN,HOLE 707C,-7.5453,-7.5453,59.0168,59.0168,SUBAQUATIC,-1551.9,-1551.9,"s 115-707C-26R-1,11-15 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513016,,,0.7034,,18.779,,15.583,,38.709,,,,,,,,,,,,,,,34147,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / MASCARENE PLATEAU / SITE 707 / INDIAN OCEAN,HOLE 707C,-7.5453,-7.5453,59.0168,59.0168,SUBAQUATIC,-1551.9,-1551.9,"s 115-707C-27R-6,12-13 [1590]",BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513013,,,0.7034,,,,,,,,,,,,,,,,,,,,,34148,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / SAYA DE MALHA BANK / SITE SM-1 / INDIAN OCEAN,TEXACO DRILL SITE SM-1,-8.24,-8.24,59.62,59.62,SUBAQUATIC,,,s SM-110190 [1590],BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512935,,,0.70436,,18.766,,15.594,,38.792,,,,,,,,,,,,,,,34155,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / SAYA DE MALHA BANK / SITE SM-1 / INDIAN OCEAN,TEXACO DRILL SITE SM-1,-8.24,-8.24,59.62,59.62,SUBAQUATIC,,,s SM-110490 [1590],BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70439,,18.781,,15.592,,38.81,,,,,,,,,,,,,,,34156,
[1590],OCEANIC PLATEAU,MASCARENE PLATEAU / SAYA DE MALHA BANK / SITE SM-1 / INDIAN OCEAN,TEXACO DRILL SITE SM-1,-8.24,-8.24,59.62,59.62,SUBAQUATIC,,,s SM-110610 [1590],BASALT [1590],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512936,,,0.70435,,18.732,,15.577,,38.775,,,,,,,,,,,,,,,34157,
