Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1914],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / INDIAN OCEAN,USNS ELTANIN DREDGE,-32.95,-32.95,110.81,110.81,SUBAQUATIC,,,s EL5512 [1914],THOLEIITE [1914],,,LOWER [1914],CRETACEOUS [1914],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1914] ,263539.85300000006,10848.054,,90660.6963,,,,83326.56000000001,25872.14,30393.215999999997,1548.9160000000002,,8384.515,20104.324699999997,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,122.7,,271.4,24,,,,,37.5,135.7,25.7,133.9,4.5,,,,,,,,,,,,,,12.1,31,,14.7,4.33,1.27,,0.86,,,,,2.71,0.29,4.6,0.33,1.9,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,34618,
[1914],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / INDIAN OCEAN,USNS ELTANIN DREDGE,-32.95,-32.95,110.81,110.81,SUBAQUATIC,,,s EL5512-2 [1914],THOLEIITE [1914],,,LOWER [1914],CRETACEOUS [1914],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1914] ,280180.539,10788.119999999999,,79599.3504,,,,68946.51,28730.94,24362.816,929.3496,,19176.465,24110.3525,2574.8839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,111,,272.4,23.5,,,,,61.2,131.6,26.6,203.4,8.8,,,,,,,,,,,,,,28.6,59,,29.9,6.3,1.99,,1.36,,,,,4.41,0.52,5.5,0.62,6.7,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,34619,
[1914],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / INDIAN OCEAN,USNS ELTANIN DREDGE,-32.95,-32.95,110.81,110.81,SUBAQUATIC,,,s EL5512-9 [1914],THOLEIITE [1914],,,LOWER [1914],CRETACEOUS [1914],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1914] ,260034.09050000002,11087.789999999999,,93095.2509,,,,85036.62,26872.719999999998,30152.,1471.4702,,8467.53,20252.696099999997,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,125.3,,281.3,25,,,,,37.6,138,24.9,139.9,5.3,,,,,,,,,,,,,,9.9,30,,11.7,3.84,1.5,,0.88,,,,,1.8,0.24,3.4,0.32,1.7,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,34622,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 11,CC [1613]",ANDESITE [1613],,,,,,,,"HOLOCRYSTALLINE, NONPORPHYRITIC [1613] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1613] ,220629.32000000004,12586.14,,94206.67800000001,,74835.79999999999,4041.96,,61464.2,9648.64,1084.2412000000002,,8301.5,23739.424,1178.3367,,23000.,20000,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,44,,200,243,,,32,42,80,,,,,,,,300,50,140,,,,,,0.29,,,,1.1,,,,70,,27,,22,,1.6,,,,,,,3.3,,3.8,0.4,,,,,,0.0003,,,,,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,35119,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 12,CC [1613]",ANDESITE [1613],,,,,,,,"HOLOCRYSTALLINE, NONPORPHYRITIC [1613] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1613] ,214085.23,12586.14,,90501.92100000002,,67142.4,4663.8,,72899.4,7839.5199999999995,929.3496,,9131.650000000001,22255.71,1134.6946,,21000.,16000.,,49000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,44,,180,251,,,32,36,80,,,,,,,,300,50,120,,,,,,,,,,0.5,,,,70,,21.5,,14,,1.6,,,,,,,3.3,,3.6,0.6,,,,,,0.0006,,,,,1,0.29,,,,,,,,,,,,,,,,,,,,,,,,,35120,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 13-1,1 [1613]",RHYOLITE [1613],,,,,,,,VITROPHYRIC [1613] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1613] ,336553.2,3116.5679999999998,,64039.371,,20982,6529.32,,1715.28,3377.0240000000003,309.7832,,63921.55,6379.9702,261.8526,,14000.,4600.,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,22,14,,,5,,22,,,,,,,,34,60,300,,,,,,0.2,,,,0.2,,,,900,120,134.4,,63,,2.5,,,,,,,6.4,,12.6,1,,,,,,0.0003,,,,,10.8,0.78,,,,,,,,,,,,,,,,,,,,,,,,,35121,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 13-1,3 [1613]",RHYODACITE [1613],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1613] ,268307.69,8990.099999999999,,64568.621999999996,,58749.600000000006,20209.8,,25014.5,10854.72,1316.5786,,31545.699999999997,17804.568,5237.052,,30000,13000.,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,16,,110,26,,,18,,11,,,,,,,,120,110,200,,,,,,0.17,,,,0.4,,,,900,,84.8,,51,,3.6,,,,,,,1.8,,7,0.6,,,,,,0.0004,,,,,4.6,0.74,,,,,,,,,,,,,,,,,,,,,,,,,35122,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 13-1,4 [1613]",RHYODACITE [1613],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1613] ,328606.805,4015.578,,67744.12800000001,,25178.4,10104.9,,6146.42,4583.103999999999,697.0122,,43167.8,17062.711,698.2736,,14000.,4500.,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,6,,20,15,,,8,,13,,,,,,,,120,60,300,,,,,,0.16,,,,0.2,,,,1400,100,125.8,,59,,2.7,,,,,,,5.8,,14,1,,,,,,0.0008,,,40,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,35123,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 13,CC [1613]",RHYODACITE [1613],,,,,,,,"FINE-GRAINED, HOLOCRYSTALLINE [1613] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1613] ,256154.38,11387.46,,79387.65000000001,,48258.600000000006,29537.399999999998,,17867.5,18694.239999999998,697.0122,,24904.5,19288.282,1309.263,,39000.,21000.,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,24,,180,34,,,28,11,13,,,,,,,,120,60,170,,,,,,0.03,,,,0.3,,,,320,,60.4,,34,,1.7,,,,,,,3.9,,5.8,0.5,,,,,,0.0003,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,35124,
[1613],OCEANIC PLATEAU,NATURALISTE PLATEAU / NATURALISTE PLATEAU / SITE 264 / INDIAN OCEAN,,-34.84,-34.84,112.32,112.32,SUBAQUATIC,-2500,-2500,"s 15,CC [1613]",ANDESITE [1613],,,,,,,,"FINE-GRAINED, HOLOCRYSTALLINE [1613] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1613] ,252414.90000000002,8990.099999999999,,86267.913,,30074.199999999997,38087.700000000004,,40023.2,28342.88,851.9038,,15772.849999999999,17062.711,1091.0525,,28000.,13000.,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,32,,180,75,,,19,14,24,,,,,,,,240,50,130,,,,,,0.13,,,,0.2,,,,280,,38.2,,22,,1.4,,,,,,,3,,3.8,0.4,,,,,,0.0003,,,,,3.6,0.54,,,,,,,,,,,,,,,,,,,,,,,,,35125,
