Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-126-2,143-146 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,232034.73400000003,16122.246,,85950.3624,,38676.82,64904.549999999996,103614.09,72756.45999999999,28101.664,1316.5786,,1909.345,21662.2244,960.1262,,16500.,45000.,,76900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,400,40,,,50,54,199,114,,,,,,3.5,410,35,185,14.4,,,,,,,,,,,,,276,14.2,36,,21,6.3,2.2,7.9,1.1,7.3,,,0.58,3.1,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138017,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-126-3,6-9 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,234932.831,16302.048,,87114.7146,,39795.86,44694.75,84492.51,85478.12000000001,23699.471999999998,1006.7954,,2490.45,22255.71,480.0631,,14400.,38900.,,61900.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,36,,,40,51,219,101,,,,,,7.4,686,37,189,14.1,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138018,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-126-3,41-44 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,235727.47050000002,16901.388,,85685.7369,,37417.899999999994,50602.229999999996,87990.36,79546.11,25387.983999999997,1084.2412000000002,,1909.345,22181.5243,654.6315,,14000.,35700.,,55599.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,416,34,,,44,49,198,103,,,,,,4.6,446,38,187,14,,,,,,,,,,,,,178,15.6,37.9,,21.3,7,2.3,8.7,1.3,7.4,,,0.59,2.8,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138019,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-127-2,83-88 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,228669.20200000002,14683.83,,89231.71860000001,,54902.899999999994,59074.799999999996,113952.18000000001,57962.17,26594.064,1471.4702,,9297.68,18249.6822,1658.3998000000001,,15200.,36100.,,93500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,39,,,54,61,123,118,,,,,,25.3,291,41,152,12.8,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138020,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-127-3,68-72 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,231146.60750000004,15762.641999999998,,87061.7895,,39306.28,59852.1,99183.48,71755.87999999999,30091.696,851.9038,,2158.39,21884.7815,1047.4104,,14400.,36300.,,79100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,400,35,,,62,57,226,104,,,,,,4.2,387,34,181,13.2,,,,,,,,,,,,,157,14.6,36.1,,19.3,6.6,2.2,10,1.1,6.7,,,0.55,3,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138021,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-127-3,97-102 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,233530.526,15762.641999999998,,82880.7066,,33501.26,62339.46,95763.36,77259.07,30634.431999999997,929.3496,,1826.33,21513.853,872.8420000000001,,13400.,32200.000000000004,,65199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,34,,,57,52,198,113,,,,,,3.6,403,37,186,14.7,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138022,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-127-4,44-48 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,227547.358,15043.433999999997,,83833.3584,,29584.620000000003,77419.08,107034.20999999999,73542.62999999999,33468.719999999994,1548.9160000000002,,1826.33,19362.467699999997,1091.0525,,11800.,24800.,,77100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,30,,,64,58,195,129,,,,,,2.9,351,35,184,14.2,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138023,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-128-1,25-28 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,242411.79100000003,13784.819999999998,,74941.9416,,26577.199999999997,70967.49,97551.15000000001,75972.61,34132.064,1471.4702,,2822.51,17730.3823,872.8420000000001,,8300.,9300.,,30700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,32,,,41,48,188,130,,,,,,9.8,271,42,176,12.9,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138025,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-128-2,51-56 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,241991.09950000004,14204.358,,74783.16630000001,,25737.920000000002,72599.81999999999,98328.45,76044.08,34373.28,1471.4702,,2656.48,17211.0824,785.5577999999999,,8100.000000000001,10700.,,29200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,32,,,46,52,187,112,,,,,,8.4,272,41,172,12.7,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138027,
[2469],OCEANIC PLATEAU,RIO GRANDE RISE / RIO GRANDE RISE / SITE 516 / ATLANTIC OCEAN,HOLE 516F,-30.2765,-30.2765,-35.285,-35.285,SUBAQUATIC,-1328,-1328,"s 74-516F-128-3,44-48 [2469]",THOLEIITE [2469],,,,,,,,"GLOMEROPHYRIC, FINE-GRAINED GROUNDMASS [2469] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2469] ,242178.07350000003,14444.094,,72877.8627,,27976,73221.66,101204.45999999999,74829.09000000001,33227.50399999999,1548.9160000000002,,3237.585,17062.711,872.8420000000001,,8000.,7200.,,25600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,29,,,46,48,198,107,,,,,,11.3,269,43,182,13.6,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138029,
