Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B2-1 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,76514.36,3186.93,,,12905.056,,,19259.48,,,,38500.,39000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,31.5,,44.7,11,3.44,,,14.1,,9.02,,7.96,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42987,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B2-2 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,78973.68000000001,,19960.624,,,24406.41,,,,45100.,38000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,25.3,,17.8,5.21,1.89,5.8,,5.36,,2.61,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42988,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B3 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,98561.64,,13568.4,,,20338.675000000003,,,,37000.,49100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,64.2,,32.7,8.86,2.86,,,9.4,,5.07,,4.26,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42989,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B6 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,75009.45,,17126.336,,,15855.865,,,,43400.,43600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,60.6,,27.6,7.35,2.29,,,7.92,,4.38,,3.95,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42990,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B8 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,90633.18000000001,,9467.728,,,25402.59,,,,54000.,46100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,26,,29.3,7.33,2.44,,,9.07,,5.66,,5.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42991,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B9 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,67547.37,,14955.392,,,21168.824999999997,,,,44000.,49000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,39.6,,94.4,19,5.21,,,22.7,,15,,13.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42992,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B10 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,89778.15000000001,,8864.688,,,26149.725,,,,46600.,33100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,30.6,,35.6,8.56,2.72,,,10.8,,6.98,,6.14,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42993,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B11 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,91099.56000000001,,10854.72,,,24821.485,,,,45000.,41500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,29.5,,27,6.86,2.29,,,7.98,,4.64,,3.81,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42994,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s B15 [1840],BASALT [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,63194.490000000005,,9166.207999999999,,,22248.02,,,,39200.,39600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,35.3,,33.8,9.44,3.05,,,10.4,,5.6,,4.5,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42995,
[1840],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2920,-2920,s P19 [1840],NOT GIVEN [1840],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [1840] ,,,,,,,,32568.870000000003,,10975.328,,,28972.235,,,,93000.,36900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,73.8,,26.7,5.05,1.01,4.24,,3.91,,2.39,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42996,
[2084],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2900,-4400,s WPDR-2 [2084],BASALT [2084],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2084] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7063,,,,,,,,,,,,,,,,,,,,,46150,
[1839],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / SITE 1896 / PACIFIC OCEAN,,36.582,36.582,159.147,159.147,SUBAQUATIC,-3200,-4200,s 1896/2 [1839],THOLEIITE [1839],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1839] ,215207.07400000002,9229.836,,80922.4779,,61337.38,21842.13,,60606.560000000005,45891.344,774.4580000000001,,11124.01,16024.111200000001,654.6315,,22799.999999999996,26900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57700,
[2084],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2900,-4400,"s 16-2,NO.10 [2084]",BASALT [2084],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2084] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7054,,,,,,,,,,,,,,,,,,,,,"9151-16-2, NO. 10",
[2084],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2900,-4400,"s 16-2,NO.13 [2084]",BASALT [2084],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2084] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7046,,,,,,,,,,,,,,,,,,,,,"9151-16-2, NO. 13",
[2084],OCEANIC PLATEAU,SHATSKY RISE / SHATSKY RISE / PACIFIC OCEAN,,37.12,37.12,162.65,162.65,SUBAQUATIC,-2900,-4400,"s 16-2,NO.22 [2084]","BASALT, OLIVINE [2084]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2084] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7049,,,,,,,,,,,,,,,,,,,,,"9151-16-2, NO. 22",
