Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[66],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s DR1-5 [66],BASALT [66],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [66] ,235867.70100000003,,,,,,,,,44564.655999999995,,,1245.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213245,
[66],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s 106-1 [66],BASALT [66],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [66] ,215066.84350000002,,,,,,,,,42454.015999999996,,,2075.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213246,
[66],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s 103-1 [66],BASALT [66],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [66] ,235820.95750000002,,,,,,,,,42574.623999999996,,,1328.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213247,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 5 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,76486.31999999999,,,,,,17582.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,305,,,51.2,192,,,,,,,,,,,75,,,,,,,,,,0.05,,,0.02,,4.5,,,,,1.02,,0.56,,,,,,,1.87,0.39,,,,,,,,,,,0.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,264119,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 17 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,77185.89,,,,,,17730.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,371,,,55.1,236,,,,,,,,,,,63,,,,,,,,,,,,,,13,3.3,,,,,0.95,,0.56,,,,,,,1.67,0.28,,,,,,,,,,,0.26,0.11,,,,,,,,,,,,,,,,,,,,,,,,,264120,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 19 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,73765.77,,,,,,16840.1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,382,,,55.4,272,,,,,,,,,,,67,,,,,,,,,,,,,,9,2.6,,,,,0.93,,0.47,,,,,,,1.33,0.23,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,264121,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 30 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,83715.20999999999,,,,,,17433.6395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,354,,,54.4,192,,,,,,,,2,,,61,,,,,,,,,,,,,,,3.4,,,,,0.98,,0.57,,,,,,,1.72,0.29,,,,,,,,,,,0.27,0.1,,,,,,,,,,,,,,,,,,,,,,,,,264122,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 36 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,77807.73,,,,,,16469.2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,378,,,53.3,204,,,,,,,,,,,66,,,,,,,,,,0.02,,,0.03,12,2.4,,,,,0.9,,0.49,,,,,,,1.51,0.21,,,,,,,,,,,0.19,0.23,,,,,,,,,,,,,,,,,,,,,,,,,264123,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 38 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,79906.43999999999,,,,,,21365.4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,206,,,50.4,96,,,,,,,,2.4,151,,91,,,,,,,,,,0.16,,,0.04,28,6.1,,,,,1.27,,0.68,,,,,,,2.44,0.58,,,,,,,,,,,0.57,0.28,,,,,,,,,,,,,,,,,,,,,,,,,264124,
[8592],RIFT VOLCANICS,ADEN GULF RIFT / GULF OF TADJOURA,,11.5,12,43,43,SUBAQUATIC,,,s A 3 D 39 [8592],BASALT [8592],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8592] ,,,,,,,,80994.66,,,,,,17952.9394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,296,,,52.1,181,,,,,,,,3.8,,,100,,,,,,,,,,0.15,,,0.08,16,5.5,,,,,1.2,,0.64,,,,,,,2.03,0.5,,,,,,,,,,,0.36,0.4,,,,,,,,,,,,,,,,,,,,,,,,,264125,
