Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 4304 [4202],ANDESITE [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117602,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 4054 [4202],GNEISS [4202],,,,,,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117603,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s GV [4202],GRANITE [4202],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117605,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 4160 [4202],GRANITE [4202],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117606,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 21482 [4202],"BASALT, OLIVINE [4202]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117609,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 21459 [4202],HAWAIITE [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117611,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 21422 [4202],MUGEARITE [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117612,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 21455 [4202],"TRACHYTE, ALKALINE [4202]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117615,
[4202],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT,"WRIGHT VALLEY, ADARE PENINSULA",-72.43,-72.43,170.2,170.2,SUBAERIAL,,,s 21319 [4202],ANDESITE [4202],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4202] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117617,
[6313],RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / JONES MOUNTAINS,,-73.5,-73.5,-96,-96,SUBAERIAL,,,s 61-1-5 [6313],BASALT [6313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6313] ,218806.32350000003,11393.4534,,74624.391,,,,91876.86,65252.11000000001,69409.904,1301.08944,,6890.245,25297.3237,1414.00404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6982,,27,,199,354,,,,290,,99,22,,,,,11.6,449,21.49,145,21.51,,,,,,,,,,,,0.13,158,17.04,40.1,,20.5,4.65,1.48,,0.72,,,,,1.5,0.233,3.33,1.21,,,,,,,,,2.28,,1.56,0.38,0.512857,,,0.70349,,19.222,,15.652,,38.957,,,,,,,,,,,,,,,146783,
