Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 1036 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,235961.188,7611.6179999999995,,71925.2109,,,,90089.06999999999,66467.1,6633.4400000000005,1626.3618,,664.12,24629.6524,523.7052,,,,,,,,,,,,,,,,24700.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,512,71,,,,62,,,,,,,,7,98,27,59,,,,,,,,,,,,,,,3.7,10.4,,6,2.8,1.03,,0.62,,,,,2.94,0.46,1.7,0.21,,,,,,,,,,,0.2,,0.5130301,,,,,,,,,,,,,,,,,,,,,,,,209787,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 4037 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,215581.022,7671.552,,67267.8021,,,,76641.78,101701.81,36061.792,1626.3618,,1079.195,26706.852,567.3473,,,,,,,,,,,,,,,,51800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,402,170,,,,60,,,,,,,,8,27,26,68,,,,,,,,,,,,,,,3.7,10.4,,9.2,2.9,1.02,,0.64,,,,,2.19,0.45,1.9,0.22,,,,,,,,,,,0.2,,0.513018,,,,,,,,,,,,,,,,,,,,,,,,209788,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 4050 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,265456.33650000003,7911.288,,60916.7901,,,,79362.33,77259.07,29609.264,1471.4702,,249.045,1186.9712,523.7052,,,,,,,,,,,,,,,,28500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,415,64,,,,43,,,,,,,,6,20,30,67,,,,,,,,,,,,,,,3.2,8.7,,7.7,2.7,0.99,,0.68,,,,,3.11,0.52,2,0.19,,,,,,,,,,,0.2,,0.5130031,,,,,,,,,,,,,,,,,,,,,,,,209789,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 4077 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,225116.696,7671.552,,71184.2595,,,,85192.08,72542.05,43660.096,24860.1018,,3154.57,17136.8967,523.7052,,,,,,,,,,,,,,,,32900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,493,84,,,,74,,,,,,,,6,158,30,69,,,,,,,,,,,,,,,3.7,9.8,,8.3,2.8,1.08,,0.68,,,,,2.91,0.46,1.9,0.23,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,209790,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 1023 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,225443.9005,7072.2119999999995,,79281.79980000001,,,,83326.56000000001,92768.06,47821.07199999999,1703.8076,,1577.285,15653.182699999998,523.7052,,,,,,,,,,,,,,,,12500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,431,320,,,,120,,,,,,,,6,171,25,69,,,,,,,,,,,,,,,5,12.3,,8.6,2.8,1.04,,0.59,,,,,2.59,0.4,1.7,0.27,,,,,,,,,,,0.3,,0.512829,,,,,,,,,,,,,,,,,,,,,,,,209791,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 1028 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,240355.07700000002,7192.079999999999,,74412.6906,,,,77419.08,75543.79000000001,42212.799999999996,1626.3618,,1660.3000000000002,24184.5382,610.9894,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,350,264,,,,101,,,,,,,,9,98,26,81,,,,,,,,,,,,,,,6.8,16.9,,10.8,3.2,1.13,,0.62,,,,,2.59,0.4,2.2,0.34,,,,,,,,,,,0.3,,0.512749,,,,,,,,,,,,,,,,,,,,,,,,209792,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 2002 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,231707.52950000003,7611.6179999999995,,70125.7575,,,,94830.59999999999,71898.82,41850.976,1781.2534,,3569.645,13872.7259,610.9894,,,,,,,,,,,,,,,,10700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,569,231,,,,62,,,,,,,,10,96,34,97,,,,,,,,,,,,,,,7.2,18.3,,13,4.1,1.55,,0.85,,,,,3.81,0.59,2.7,0.35,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,209793,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 1030 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,248722.16350000002,5993.4,,69437.7312,,,,81150.12,81618.74,36906.047999999995,1471.4702,,415.07500000000005,1557.8997,392.77889999999996,,,,,,,,,,,,,,,,21000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,427,116,,,,49,,,,,,,,8,162,24,69,,,,,,,,,,,,,,,8.1,19.7,,10.4,3,1.08,,0.58,,,,,2.64,0.4,1.9,0.37,,,,,,,,,,,1.4,,0.51274,,,,,,,,,,,,,,,,,,,,,,,,209794,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 2038 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,237363.49300000002,9589.44,,67373.6523,,,,101282.18999999999,70469.42,37870.912,1858.6992,,2739.4950000000003,21513.853,698.2736,,,,,,,,,,,,,,,,8100.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,650,69,,,,60,,,,,,,,9,84,34,82,,,,,,,,,,,,,,,6,14.5,,10.9,3.7,1.42,,0.83,,,,,3.61,0.55,2.2,0.29,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,209795,
[7629],RIFT VOLCANICS,APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / MONT LOGAN NAPPE - SHICKSHOCK GROUP,,48.5,49,-65,-67,SUBAERIAL,,,s 2036 [7629],THOLEIITE [7629],,,,PROTEROZOIC [7629],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7629] ,232735.88650000002,9529.506,,72401.5368,,,,99494.40000000001,68325.32,41428.848,2013.5908,,1909.345,20994.5531,654.6315,,,,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,672,103,,,,64,,,,,,,,5,74,38,93,,,,,,,,,,,,,,,6,15.5,,11.5,3.8,1.55,,0.89,,,,,3.64,0.6,2.6,0.31,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,209796,
