Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / CRIMSON CREEK FORMATION,"SMITHTON BASIN, WESTERN TASMANIA",-40.5,-41.2,145,145.3,SUBAERIAL,,,s LS54 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,234138.19150000004,9829.176,,74730.2412,,,,100271.7,75543.79000000001,39800.63999999999,1703.8076,,4399.795,23368.495499999997,785.5577999999999,,,,,,,,,,,,,,,,14700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,572,226,,,,85,,,,,,,,5,192,25,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229490,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / CRIMSON CREEK FORMATION,"SMITHTON BASIN, WESTERN TASMANIA",-40.5,-41.2,145,145.3,SUBAERIAL,,,s LS55 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,236989.54500000004,6712.608,,77799.897,,,,91332.75,87407.81,37810.60799999999,1471.4702,,166.03,21217.1102,523.7052,,,,,,,,,,,,,,,,41600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,424,259,,,,95,,,,,,,,1,28,19,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229491,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / CRIMSON CREEK FORMATION,"SMITHTON BASIN, WESTERN TASMANIA",-40.5,-41.2,145,145.3,SUBAERIAL,,,s S1 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,225303.67000000004,9709.308,,75153.64199999999,,,,104935.5,76115.55,38473.952,1703.8076,,3403.615,16320.854000000001,610.9894,,,,,,,,,,,,,,,,16600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,99,,,,76,,,,,,,,7,211,28,103,7,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229492,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / CRIMSON CREEK FORMATION,"SMITHTON BASIN, WESTERN TASMANIA",-40.5,-41.2,145,145.3,SUBAERIAL,,,s S2 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,227640.84500000003,13964.622,,71448.88500000001,,,,109599.3,73614.1,35820.576,1781.2534,,3403.615,18175.4965,1178.3367,,,,,,,,,,,,,,,,17400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,436,104,,,,75,,,,,,,,12,259,31,150,15,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229493,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / CRIMSON CREEK FORMATION,"SMITHTON BASIN, WESTERN TASMANIA",-40.5,-41.2,145,145.3,SUBAERIAL,,,s S3 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,215487.53500000003,21756.041999999998,,68802.63,,,,136027.5,28730.94,38473.952,1626.3618,,7637.38,25964.995,1352.9051,,,,,,,,,,,,,,,,41400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,54,77,33,254,37,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229494,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / DOUBLE COVE BASALT SEQUENCE,"DOUBLE COVE, WESTERN TASMANIA",-42.3,-42.3,145.3333,145.3333,SUBAERIAL,,,s DC10 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,222966.49500000002,2337.426,,87855.66600000001,,,,66847.8,62893.600000000006,53067.520000000004,1548.9160000000002,,4233.765,25816.6236,87.2842,,,,,,,,,,,,,,,,37900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,251,458,,,,171,,,,,,,,6,375,23,7,1,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229495,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / DOUBLE COVE BASALT SEQUENCE,"DOUBLE COVE, WESTERN TASMANIA",-42.3,-42.3,145.3333,145.3333,SUBAERIAL,,,s DC13 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,213150.36000000002,4674.852,,56629.856999999996,,,,76952.7,72899.4,94074.23999999999,1394.0244,,747.135,10608.5551,305.4947,,,,,,,,,,,,,,,,45100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,254,1239,,,,469,,,,,,,,3.6,29,22,36,1.4,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229496,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / DOUBLE COVE BASALT SEQUENCE,"DOUBLE COVE, WESTERN TASMANIA",-42.3,-42.3,145.3333,145.3333,SUBAERIAL,,,s DC14 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,23371.75,9589.44,,74148.0651,,,,88612.2,55103.37,41790.672,1471.4702,,3237.585,29971.0228,741.9157,,,,,,,,,,,,,,,,23700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,161,194,,,,158,,,,,,,,9,315,30,96,5.8,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229497,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / DOUBLE COVE BASALT SEQUENCE,"DOUBLE COVE, WESTERN TASMANIA",-42.3,-42.3,145.3333,145.3333,SUBAERIAL,,,s DC32 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,225771.105,10848.054,,83092.407,,,,91721.40000000001,68825.61,32081.728,1471.4702,,4565.825000000001,18472.2393,916.4841,,,,,,,,,,,,,,,,28500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,394,99,,,,78,,,,,,,,14,380,33,129,11.1,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229498,
[8562],RIFT VOLCANICS,AUSTRALIA / TASMANIA / SMITHTON TROUGH / DOUBLE COVE BASALT SEQUENCE,"DOUBLE COVE, WESTERN TASMANIA",-42.3,-42.3,145.3333,145.3333,SUBAERIAL,,,s DC22 [8562],THOLEIITE [8562],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8562] ,244935.94,18160.001999999997,,64039.371,,,,82393.8,59534.51,27739.839999999997,1239.1328,,3486.6299999999997,29896.8371,1571.1155999999999,,,,,,,,,,,,,,,,14700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,92,,,,72,,,,,,,,19,362,43,215,15.9,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229499,
