Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2882][14061],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / NEVADA,"LAKE MEAD EXTENSIONAL AREA, DAVIS MINE",35.7983,35.7983,-114.795,-114.795,SUBAERIAL,,,s TDM-9 [2882],BASALT [2882],13000000 [2882],13000000 [2882],,NEOGENE [14061],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2882] ,258491.555,8210.958,,,,,,54566.46,,31056.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,50.4,748,,234,,,,,,,,,,,,,,807,53,98,,43.1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,0.70667,,,,,,,,,,,,,,,4.87,,,,,,10103-TDM-9,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.9547,35.9547,-117.3389,-117.3389,SUBAERIAL,,,s 105-2 [4702],BASALT [4702],,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,241663.89500000002,11986.8,,86797.16399999999,,31473.,44306.1,,62178.899999999994,31961.119999999995,1084.2412000000002,,12452.25,27448.709,2487.5996999999998,,3400.0000000000005,1100.,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,38,,,37,,,122,,,,,,,,,0,,,,,,,,,,,,,,350,21,44,,23,5.6,1.62,,,,,,,2.7,0.4,4.1,1.98,,,,,,,,,,,4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,101778,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.8813,35.8813,-117.8847,-117.8847,SUBAERIAL,,,s 83-3 [4702],BASALT [4702],,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,252414.90000000002,9589.44,,84150.909,,18184.4,46638,,56461.3,42212.799999999996,929.3496,,13282.400000000001,26706.852,2225.7471,,2500.,1500.,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101780,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.8487,35.8487,-117.365,-117.365,SUBAERIAL,,,s 72-3 [4702],"BASALT, ALKALINE [4702]",,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,226238.54,13185.48,,86797.16399999999,,22380.800000000003,49747.200000000004,,66467.1,36785.439999999995,929.3496,,12452.25,27448.709,2007.5366000000001,,5300.,2400.,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101781,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.9705,35.9705,-117.8755,-117.8755,SUBAERIAL,,,s 105-5 [4702],"BASALT, ALKALINE [4702]",,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,227173.41000000003,12586.14,,93148.176,,11889.8,62184,,70040.6,36182.399999999994,1084.2412000000002,,10791.95,26706.852,1702.0419000000002,,3900.,1700.0000000000002,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,86,,,38,,,110,,,,,,,,,0,,,,,,,,,,,,,,470,25,51,,27,5.6,1.77,,,,,,,2.3,0.33,3.8,1.32,,,,,,,,,,,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,101782,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.8313,35.8313,-117.6579,-117.6579,SUBAERIAL,,,s 71-2 [4702],"BASALT, ALKALINE [4702]",,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,225303.67000000004,10188.779999999999,,87855.66600000001,,37068.2,31092,,77187.6,48243.2,1084.2412000000002,,7056.275,22997.567,1571.1155999999999,,5000.,1600.,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101783,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.0207,35.0207,-117.7707,-117.7707,SUBAERIAL,,,s 9-6-1 [4702],"BASALT, ALKALINE [4702]",,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,226238.54,18579.54,,87326.41500000001,,26577.199999999997,69179.7,,58605.399999999994,30152.,1316.5786,,13282.400000000001,26706.852,2313.0313,,5900.,2900.,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101786,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.9243,35.9243,-117.7987,-117.7987,SUBAERIAL,,,s 84-4 [4702],"BASALT, ALKALINE [4702]",,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,222499.06000000003,18579.54,,86797.16399999999,,37767.600000000006,58297.5,,60034.8,32564.16,1316.5786,,12452.25,28190.566,2313.0313,,4800.,1800.,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,23,,,39,,,142,,,,,,,,,0,,,,,,,,,,,,,,400,24,49,,27,6.5,1.98,,,,,,,2.8,0.4,4.7,2.16,,,,,,,,,,,2.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,101787,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.9743,35.9743,-117.9028,-117.9028,SUBAERIAL,,,s 83-1 [4702],BASALT [4702],,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,266437.95,8990.099999999999,,86267.913,,9092.2,43528.799999999996,,41452.6,19900.319999999996,929.3496,,23244.199999999997,34125.422,2225.7471,,3000.,1000.,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,36,,,18,,,83,,,,,,,,,280,,,,,,,,,,,,,,850,44,82,,34,6.9,1.96,,,,,,,2.4,0.38,5.7,1.67,,,,,,,,,,,5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,101788,
[4702],RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / COSO VOLCANIC FIELD,,35.9267,35.9267,-117.7795,-117.7795,SUBAERIAL,,,s 84-7 [4702],BASALT [4702],,,,PLEISTOCENE [4702],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4702] ,264568.21,6592.74,,87855.66600000001,,11889.8,32646.600000000002,,50029,30152.,851.9038,,15772.849999999999,28190.566,1178.3367,,3600.,1900.,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,178,,,29,,,64,,,,,,,,,200,,,,,,,,,,,,,,2600,23,45,,20,4.4,1.26,,,,,,,2.4,0.41,3.6,0.66,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,101789,
