Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,ANCHAR,12.6,12.6,37.15,37.15,SUBAERIAL,,,s 602 [2850],"BASALT, ALKALINE, TRANSITIONAL [2850]",10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,220442.346,11986.8,,78329.148,,37068.2,45394.32,,79689.05,44745.568,1239.1328,,6890.245,21810.5958,1745.6840000000002,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,190,,,62,86,,,,,,,,20.4,402,,139,,,,,,,,,,,,,,431,31,,,,,0.9,,0.68,,,,,,,2.65,2.51,,,,,,,,,,,2.14,0.89,,,,,,,,,,,,,,,,,,,,,,,,,125042,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,ANCHAR,12.6,12.6,37.15,37.15,SUBAERIAL,,,s 604 [2850],"BASALT, ALKALINE, TRANSITIONAL [2850]",10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,223667.64750000002,12466.271999999999,,80763.7026,,36788.439999999995,49358.549999999996,,72827.93,46434.08,464.6748,,7056.275,22552.4528,1832.9682,,,,,,,,,,,,,,,,4200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,213,,,61,88,,,,,,,,18.9,434,,140,,,,,,,,,,,,,,441,26,,,,,0.9,,0.74,,,,,,,2.98,2.64,,,,,,,,,,,2.14,0.95,,,,,,,,,,,,,,,,,,,,,,,,,125043,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,BOFA,8.4667,8.4667,39.45,39.45,SUBAERIAL,,,s 487 [2850],"BASALT, ALKALINE, TRANSITIONAL [2850]",10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,223433.93,11147.724,,89708.0445,,15386.800000000001,66381.42,,73614.1,45891.344,1239.1328,,5562.005,22329.895699999997,1309.263,,,,,,,,,,,,,,,,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,27,,,50,76,,,,,,,,7.7,455,,142,,,,,,,,,,,,,,302,18,,,,,1.57,,0.6,,,,,,,3,1.86,,,,,,,,,,,1.4,0.37,,,,,,,,,,,,,,,,,,,,,,,,,125044,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,ANCHAR,12.6,12.6,37.15,37.15,SUBAERIAL,,,s 485 [2850],"HAWAIITE, TRANSITIONAL [2850]",10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,221610.9335,14324.226,,84786.0102,,16925.48,71122.95,,69826.19,41730.367999999995,1394.0244,,7139.29,25742.4379,2138.4629,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,28,,,44,48,,,,,,,,18.2,525,,129,,,,,,,,,,,,,,442,25,,,,,2.53,,0.7,,,,,,,3.2,2.2,,,,,,,,,,,1.5,0.43,,,,,,,,,,,,,,,,,,,,,,,,,125045,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,ANCHAR,12.6,12.6,37.15,37.15,SUBAERIAL,,,s 486 [2850],"HAWAIITE, TRANSITIONAL [2850]",10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,219460.73250000004,14024.555999999999,,85421.11140000001,,31542.94,56198.79,,71112.65,41971.583999999995,1394.0244,,6475.17,24778.0238,1963.8945,,,,,,,,,,,,,,,,9900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,32,,,46,53,,,,,,,,14.6,416,,192,,,,,,,,,,,,,,405,23,,,,,2.07,,0.7,,,,,,,2.9,2.06,,,,,,,,,,,1.3,0.55,,,,,,,,,,,,,,,,,,,,,,,,,125046,
[2850],RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / MAIN ETHIOPIAN RIFT,BOFA,8.4667,8.4667,39.45,39.45,SUBAERIAL,,,s 466 [2850],MUGEARITE [2850],10000000 [2850],14000000 [2850],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2850] ,232689.143,18879.21,,79440.5751,,32661.98,59541.18,,54888.96,24181.904,1936.145,,10708.935,36870.29289999999,3404.0838000000003,,,,,,,,,,,,,,,,4100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,19,,,25,8,,,,,,,,33,524,,191,,,,,,,,,,,,,,500,33,,,,,3.16,,1.4,,,,,,,5,2.12,,,,,,,,,,,2.9,0.81,,,,,,,,,,,,,,,,,,,,,,,,,125047,
[10060][3375],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI,,-2.75,-2.75,35.93,35.93,SUBAERIAL,,,s BD 114 [10060] / s BD114 [3375],"CARBONATITE, NATRO [10060]",,,,,,10,1960,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10060] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12200,,,,,,,,,,,,,,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,120,,1.92,7.2,,,,,,19.19,,15.55,,39.14,,,,,,,,,,,,,,,14463-BD 114,
[8049][8116][8081],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI,,-2.75,-2.75,35.93,35.93,SUBAERIAL,,,s BD 120 [8049] / s BD120 [8116],"NEPHELINITE, PHONOLITIC [8049] / NEPHELINITE [8116]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8049] ,203240.738,5813.597999999999,,70178.6826,,48398.479999999996,19199.31,,60034.8,3980.064,2942.9404,,45077.145,55490.9036,1702.0419000000002,,41800.,,,41700.,,,,,,,,5699.999999999999,,,,,,,,,,,,,,,,,66,,,,,1740,,,,,,1800,,,,,166,0,2802,,,0,40,324,,,,,,155,3442,35,831,303,4,,,,,,,,,,,,2723,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,0.51263,,,0.70428,,19.05,,15.6,,39.22,,,,,,,,,,,,,,,14463-BD 120,
[8049][8116][8081],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI,,-2.75,-2.75,35.93,35.93,SUBAERIAL,,,s BD 121 [8049] / s BD121 [8116],PHONOLITE [8049],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8049] ,238017.90200000003,7132.145999999999,,98387.76090000001,,31123.300000000003,13835.94,,33519.43,5789.183999999999,1394.0244,,39681.170000000006,67508.987,1658.3998000000001,,14800.,,,4500.,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,17,,,,,940,,,,,,1550,,,,,98,0,1428,,,11,17,133,,,,,,110,2080,32,554,164,0,,,,,,,,,,,,1622,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,0.51266,,,0.70435,,18.14,,15.45,,38.31,,,,,,,,,,,,,,,14463-BD 121,
[8116][8081],RIFT VOLCANICS,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI,,-2.75,-2.75,35.93,35.93,SUBAERIAL,,,s BD122 [8116] / s BD 122 [8081],IJOLITE [8116],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [8116] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51266,,,0.70421,,19.16,,15.56,,39.08,,,,,,,,,,,,,,,14463-BD 122,
