Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / GRONNEDAL-IKA COMPLEX,,61.2,61.2,-48,-48,SUBAERIAL,,,s GR 46 [11318],"CARBONATITE, CALCITE [11318]",1300000000 [11318],1300000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11318] ,10096.596000000001,239.736,,3016.7307,,,,98794.83,303961.91000000003,3557.9359999999997,11849.2074,,581.105,667.6713,16453.0717,,,,,,,,,,,,,,,,302500.,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,0,,,0,0,,386,,,,,,0,13678,179,81,94,,,,,,,,,,,,,405,1684,3020,,1337,193,37.5,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364117,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / GRONNEDAL-IKA COMPLEX,,61.2,61.2,-48,-48,SUBAERIAL,,,s GR 73 [11318],"CARBONATITE, CALCITE [11318]",1300000000 [11318],1300000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11318] ,7619.1905,119.868,,2117.0040000000004,,,,73843.5,306391.88999999996,3678.544,11926.6532,,2158.39,1335.3426,8073.788500000001,,,,,,,,,,,,,,,,374900.,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0,0,,,0,0,,134,,,,,,0,4714,203,54,342,,,,,,,,,,,,,91,917,1900,,984,134,19.6,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364119,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / GRONNEDAL-IKA COMPLEX,,61.2,61.2,-48,-48,SUBAERIAL,,,s GR 74 [11318],"CARBONATITE, CALCITE [11318]",1300000000 [11318],1300000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11318] ,1495.7920000000001,59.934,,158.7753,,,,9793.98,361066.44,1206.08,4414.410599999999,,0.,890.2284,130.9263,,,,,,,,,,,,,,,,426100.,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0,0,,,0,0,,13,,,,,,0,20334,214,0,0,,,,,,,,,,,,,66,2155,3391,,1600,214,0,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364121,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / NUNARSSUIT-ISORTOQ REGION / ISORTOQ DIKE SWARM,,61,61,-47.5,-47.5,SUBAERIAL,,,s GM 1684 [11318],LARVIKITE [11318],1190000000 [11318],1190000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364126,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / NUNARSSUIT-ISORTOQ REGION / ISORTOQ DIKE SWARM,,61,61,-47.5,-47.5,SUBAERIAL,,,s GM 1735 [11318],"GABBRO, OLIVINE [11318]",1190000000 [11318],1190000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364128,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / NUNARSSUIT-ISORTOQ REGION / ISORTOQ DIKE SWARM,,61,61,-47.5,-47.5,SUBAERIAL,,,s GM 1760 [11318],"GABBRO, OLIVINE [11318]",1190000000 [11318],1190000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364130,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / NUNARSSUIT-ISORTOQ REGION / ISORTOQ DIKE SWARM,,61,61,-47.5,-47.5,SUBAERIAL,,,s GM 1803 [11318],"GABBRO, OLIVINE [11318]",1190000000 [11318],1190000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364132,
[11318],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / NUNARSSUIT-ISORTOQ REGION / ISORTOQ DIKE SWARM,,61,61,-47.5,-47.5,SUBAERIAL,,,s GM 1803 [11318],"GABBRO, OLIVINE [11318]",1190000000 [11318],1190000000 [11318],MESO [11318],PROTEROZOIC [11318],,,,,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364133,
[13967],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / TUGTUTOQ ISLOAND / TUGTUTOQ DIKE SWARM,,60.77,60.77,-46.77,-46.77,SUBAERIAL,,,s 86101 [13967],TRACHYBASALT [13967],1160000000 [13967],1280000000 [13967],,PROTEROZOIC [13967],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13967] ,211140.38950000002,23254.391999999996,,78064.5225,,,,113952.18000000001,56032.479999999996,25026.16,1781.2534,,18844.405,29896.8371,11608.7986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,,,,,149,195,,,19,,110,7,,,,6,89,96,19,,0,,,37,876,40,221,37,,,,,,,,3.9,,,,0,1898,53,129,13,68,,,0,,28,,,,,0.7,2.7,0,,,,,,,,,8,,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,680961,
[13967],RIFT VOLCANICS,GARDAR PROVINCE - GREENLAND / TUGTUTOQ ISLOAND / TUGTUTOQ DIKE SWARM,,60.77,60.77,-46.77,-46.77,SUBAERIAL,,,s 40583 [13967],BASALT [13967],1160000000 [13967],1280000000 [13967],,PROTEROZOIC [13967],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13967] ,217030.0705,14444.094,,95159.3298,,,,100738.08,56675.71,34795.407999999996,1316.5786,,9878.785,26855.2234,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,,,,,710,76,,,14,,191,43,,,,45,58,86,20,,0,,,17,1002,20,122,17,,,,,,,,1.6,,,,0,914,36,48,0,24,,,0,,8,,,,,0.4,0,0,,,,,,,,,5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,680962,
