Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC102 [9346],BASALT [9346],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,237643.95400000003,9050.034,,92671.85010000001,,,,73066.2,57819.229999999996,37629.695999999996,619.5664,,8567.148000000001,27374.523299999997,1051.77461,,,,,,,,,,,,,,,,16000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,199,330,,,,183,49,68,,,,,,20.7,441,27.4,161,6.7,,,,,,,,,,,,,286,18,37,,20,,,,,,,,,,,,,,,,,,,,,18.7,,3,,,,,0.70468,,,,,,,,,,,,,,,,,,,,,255901,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC103 [9346],"ANDESITE, BASALTIC [9346]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,259660.14250000002,6940.3571999999995,,83251.1823,,,,47026.65,51815.75,42815.84,658.2893,,15905.673999999999,27151.9662,1335.44826,,,,,,,,,,,,,,,,9700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,154,398,,,,193,28,71,,,,,,52.8,550,23.2,236,9,,,,,,,,,,,,,512,25,55,,28,,,,,,,,,,,,,,,,,,,,,8.7,,5,,,,,0.70592,,,,,,,,,,,,,,,,,,,,,255902,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC109 [9346],ANDESITE [9346],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,287752.98600000003,6071.314199999999,,91401.6477,,,,38320.89,33662.37,13990.527999999998,766.71342,,21716.724000000002,30638.694099999997,1012.4967200000001,,,,,,,,,,,,,,,,8400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,115,7,,,,8,10,68,,,,,,74.5,580,24.3,232,13.6,,,,,,,,,,,,,640,35.7,69.8,,29.44,5.472,1.468,4.75,,4.15,,2.299,,2.144,,,,,,,,,,,,19.5,,12,3.24,0.512425,,,0.70707,,18.72,,15.567,,38.5,,,,,,,,,,,,,,,255903,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC110 [9346],"ANDESITE, BASALTIC [9346]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,249283.08550000002,6970.3242,,98334.8358,,,,53789.159999999996,63250.95,31237.471999999998,1022.28456,,8392.816499999999,26855.2234,702.6378100000001,,,,,,,,,,,,,,,,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,197,44,,,,23,18,68,,,,,,18.6,658,22.8,117,6.7,,,,,,,,,,,,,269,13.3,30.1,,17.4,4.093,1.346,4.25,,3.9,,2.247,,2.055,,,,,,,,,,,,8.6,,3,,0.512729,,,0.70422,,,,,,,,,,,,,,,,,,,,,255904,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC112 [9346],"ANDESITE, BASALTIC [9346]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,261296.165,9241.8228,,99022.86210000001,,,,52001.37,49314.3,16643.904,851.9038,,13647.666,33754.4935,1475.1029800000001,,,,,,,,,,,,,,,,5900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,162,14,,,,14,25,67,,,,,,41.2,542,32.2,244,11.4,,,,,,,,,,,,,400,26.4,58.1,,29.52,6.215,1.889,5.99,,5.4,,3.099,,2.873,,,,,,,,,,,,13,,6,1.86,0.512645,,,0.70532,,18.626,,15.555,,38.32,,,,,,,,,,,,,,,255905,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC115 [9346],"ANDESITE, BASALTIC [9346]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,251480.03,7653.571799999999,,88967.0931,,,,47493.030000000006,59034.22,43418.88,968.0725,,11746.6225,27522.894699999997,1191.4293300000002,,,,,,,,,,,,,,,,11700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,179,513,,,,219,20,63,,,,,,29.3,543,23.6,186,8.4,,,,,,,,,,,,,399,21.1,46.3,,24.05,5.071,1.567,4.74,,3.94,,2.129,,1.878,,,,,,,,,,,,11.5,,4,,0.512664,,,0.70505,,,,,,,,,,,,,,,,,,,,,255906,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC116 [9346],"ANDESITE, BASALTIC [9346]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,252414.90000000002,8468.6742,,89231.71860000001,,,,52934.13,55746.6,37690.,1099.7303599999998,,11605.497,29303.3515,1457.64614,,,,,,,,,,,,,,,,10400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,147,250,,,,154,39,61,,,,,,23.5,584,25.6,208,11.7,,,,,,,,,,,,,456,26.4,55.2,,26.38,5.327,1.623,4.98,,4.28,,2.342,,2.092,,,,,,,,,,,,7.3,,3,,0.512485,,,0.70511,,,,,,,,,,,,,,,,,,,,,255907,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC118 [9346],BASALT [9346],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,242925.9695,9931.0638,,90978.24690000001,,,,54255.54,56175.420000000006,46253.168,1022.28456,,8459.2285,28413.1231,1309.263,,,,,,,,,,,,,,,,19200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,188,333,,,,127,16,90,,,,,,17.2,547,26.5,190,9.4,,,,,,,,,,,,,250,17,42,,24,,,,,,,,,,,,,,,,,,,,,5.5,,0,1,,,,0.70405,,18.559,,15.538,,38.25,,,,,,,,,,,,,,,255908,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC119 [9346],BASALT [9346],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,238859.28500000003,9595.4334,,90131.4453,,,,69412.89,54603.079999999994,39197.6,797.69174,,9330.886,29822.651399999995,1291.8061599999999,,,,,,,,,,,,,,,,14600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,193,342,,,,139,27,76,,,,,,18.9,573,30.5,184,10.6,,,,,,,,,,,,,285,19.1,43.3,,24.03,5.455,1.778,5.57,,5.01,,2.794,,2.489,,,,,,,,,,,,19.9,,2,0.99,0.512756,,,0.70415,,18.268,,15.548,,38.13,,,,,,,,,,,,,,,255909,
[9346],RIFT VOLCANICS,NORTHERN VARISCAN FORELAND / MIDLAND VALLEY SCOTLAND,"FIFE OLD RED SANDSTONE LAVA, AT THE MOUTH OF THE FIRTH OF TAY, NEAR DUNDEE",56.3,56.3,-3,-3,SUBAERIAL,,,s OC124 [9346],ANDESITE [9346],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9346] ,281162.1525,6341.0172,,87432.2652,,,,42829.229999999996,42095.829999999994,21407.92,875.1375400000001,,17549.371,30490.3227,1121.60197,,,,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,123,69,,,,31,18,64,,,,,,60.2,607,23.4,224,14,,,,,,,,,,,,,552,35.9,71.1,,30.15,5.547,1.499,4.77,,3.95,,2.18,,2,,,,,,,,,,,,14.9,,12,2.78,0.512418,,,0.70664,,18.843,,15.605,,38.78,,,,,,,,,,,,,,,255910,
