Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM07 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,222966.49500000002,4914.588,,79652.2755,,,,65759.58,80046.4,48544.72,1161.687,,2241.405,22626.638499999997,349.1368,,,,,,,,,,,,,,,,38200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,5347,255,328,,,43.209,106,,,,,,,,4.29,182.18,23.21,45.1,1.15,,,,,,,,,,,,0.13,34.23,1.5,4.67,0.84,4.68,1.78,0.7,2.78,0.51,3.49,0.79,2.28,,2.2,0.34,1.25,0.08,,,,,,,,,0.31,,0.09,0.06,0.513085,,,0.705847,,18.547,,15.498,,37.907,,,,,,,,,,,,,,,293667,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM123 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,219227.015,4554.9839999999995,,80975.403,,,,63194.490000000005,93268.35,46735.6,1084.2412000000002,,498.09,20623.6246,349.1368,,,,,,,,,,,,,,,,44000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4951,237,450,,,42.156,210,,,,,,,,0.84,126.2,18.5,46.49,2.15,,,,,,,,,,,,0.16,23.91,2.07,5.74,0.934,4.84,1.71,0.68,2.4,0.44,2.94,0.67,1.95,,1.82,0.29,1.24,0.13,,,,,,,,,0.53,,0.18,0.04,0.512975,,,0.705753,,18.083,,15.492,,38.017,,,,,,,,,,,,,,,293668,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM237 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,222031.62500000003,4435.116,,86797.16399999999,,,,63427.68,71827.35,47338.63999999999,1084.2412000000002,,5977.08,21217.1102,305.4947,,,,,,,,,,,,,,,,40100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4846,230,415,,,34.69,132,,,,,,,,10.29,125.11,18.3,38.91,0.71,,,,,,,,,,,,0.45,37.1,1.11,3.67,0.68,3.81,1.45,0.6,2.26,0.42,2.9,0.64,1.9,,1.83,0.29,1.15,0.051,,,,,,,,,0.26,,0.07,0.03,0.51308,,,0.70598,,18.459,,15.456,,37.8,,,,,,,,,,,,,,,293669,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM13 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,240729.02500000002,5394.0599999999995,,72772.0125,,,,54411,96127.15,43660.096,1084.2412000000002,,166.03,7270.1986,436.42100000000005,,,,,,,,,,,,,,,,41900.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,5864,240,360,,,38.84,125,,,,,,,,0.3,51,20.5,53.45,3.05,,,,,,,,,,,,2.17,12,2.78,7.38,1.13,5.87,1.95,0.74,2.72,0.5,3.22,0.73,2.06,,2.02,0.32,1.46,0.18,,,,,,,,,0.46,,0.28,0.12,0.512952,,,0.705431,,18.468,,15.503,,38.36,,,,,,,,,,,,,,,293670,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM109 [7695],DOLERITE [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7695] ,213384.0775,6832.475999999999,,86003.2875,,,,68868.78,80046.4,48665.328,1316.5786,,913.165,21662.2244,567.3473,,,,,,,,,,,,,,,,42500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7456,255,415,,,44.7,180,,,,,,,,1.47,92.76,24.5,79.63,5.7,,,,,,,,,,,,0.4,26.18,4.59,11.94,1.76,8.48,2.64,0.93,3.44,0.62,3.99,0.89,2.6,,2.42,0.38,1.97,0.34,,,,,,,,,0.6,,0.49,0.12,0.512841,,,0.705944,,18.597,,15.511,,38.473,,,,,,,,,,,,,,,293671,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM125 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,218525.86250000002,6113.268,,84944.78550000001,,,,69957,65966.81,48846.24,1239.1328,,9878.785,20697.8103,523.7052,,,,,,,,,,,,,,,,41400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6677,265,460,,,46.57,170,,,,,,,,25.1,144.14,19,68.51,4.99,,,,,,,,,,,,1.48,104.4,4.06,9.92,1.45,7.08,2.24,0.83,2.9,0.52,3.4,0.73,2.13,,2.15,0.32,1.69,0.3,,,,,,,,,0.49,,0.46,0.11,0.51289,,,0.70694,,18.476,,15.508,,38.544,,,,,,,,,,,,,,,293672,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM135 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,205203.965,6113.268,,99234.5625,,,,66692.34,66467.1,45107.392,1394.0244,,332.06,23368.495499999997,523.7052,,,,,,,,,,,,,,,,66100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6815,260,410,,,39.69,162,,,,,,,,0.48,101.63,23,64.47,4.72,,,,,,,,,,,,0.46,49.87,3.98,9.66,1.41,6.83,2.25,0.86,3.07,0.58,3.74,0.84,2.42,,2.22,0.35,1.69,0.29,,,,,,,,,1.3,,0.46,0.11,0.512919,,,,,18.582,,15.565,,38.568,,,,,,,,,,,,,,,293673,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM138 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,232782.63,6772.541999999999,,77270.64600000001,,,,72599.81999999999,58962.75,49931.71199999999,1394.0244,,3984.72,23442.6812,610.9894,,,,,,,,,,,,,,,,34300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7321,287,235,,,39.96,101,,,,,,,,5.86,151.6,25,75.12,5.93,,,,,,,,,,,,0.6,85.37,5.26,12.65,1.82,8.77,2.69,0.9,3.52,0.63,4.07,0.91,2.69,,2.44,0.37,1.96,0.36,,,,,,,,,0.33,,0.53,0.13,0.512877,,,0.705982,,19.281,,15.57,,39.213,,,,,,,,,,,,,,,293674,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM141 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,214085.23,7911.288,,87591.0405,,,,80606.01,42238.770000000004,49750.799999999996,1239.1328,,2905.5249999999996,33235.1936,741.9157,,,,,,,,,,,,,,,,49500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,8725,295,480,,,48.28,205,,,,,,,,6.97,123.58,24,95.59,8.44,,,,,,,,,,,,0.27,48.01,5.06,13.39,1.96,9.42,3,1.05,3.68,0.65,4.23,0.9,2.6,,2.41,0.36,2.34,0.49,,,,,,,,,0.77,,0.74,0.17,0.512846,,,0.706757,,18.531,,15.512,,38.703,,,,,,,,,,,,,,,293675,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM232 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,218759.58000000002,6353.004,,78329.148,,,,73299.39,80046.4,28945.92,1084.2412000000002,,332.06,36647.7358,523.7052,,,,,,,,,,,,,,,,58200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7013,300,410,,,44.27,132,,,,,,,,0.51,255.91,24,68.79,3.77,,,,,,,,,,,,0.04,45.02,3.2,8.45,1.35,6.82,2.33,0.84,3.14,0.58,3.78,0.88,2.51,,2.35,0.36,1.74,0.22,,,,,,,,,0.71,,0.35,0.17,0.513033,,,0.706805,,18.741,,15.563,,38.581,,,,,,,,,,,,,,,293676,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM235 [7695],BASALT [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7695] ,208008.575,6652.674,,93412.8015,,,,80450.55,77902.3,25207.071999999996,1239.1328,,249.045,28561.4945,610.9894,,,,,,,,,,,,,,,,58300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7376,340,565,,,42.15,205,,,,,,,,0.29,93.87,27.5,67.66,4.41,,,,,,,,,,,,0.31,48.15,4.27,10.26,1.54,7.91,2.69,0.93,3.46,0.64,4.2,0.91,2.74,,2.25,0.35,1.79,0.28,,,,,,,,,0.7,,0.38,0.24,0.512972,,,0.707724,,18.152,,15.542,,38.504,,,,,,,,,,,,,,,293677,
[7695],RIFT VOLCANICS,OMAN RIFT / HAWASINA NAPPES / AL AJAL AREA / AL JIL FORMATION,,23.5,23.5,57.9,57.9,SUBAERIAL,,,s OM115 [7695],DOLERITE [7695],,,MIDDLE [7695],PERMIAN [7695],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7695] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,172.24,23.5,86.4,7.17,,,,,,,,,,,,1.36,41.83,6.17,14.66,2.09,9.7,2.87,0.98,3.59,0.62,3.85,0.86,2.47,,2.28,0.36,2.24,0.44,,,,,,,,,0.5,,0.66,0.18,0.512872,,,0.705452,,18.96,,15.538,,38.783,,,,,,,,,,,,,,,293679,
