Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s ER 1 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4,1114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70599,,,,,,,,,,,,,,,,,,,,,305237,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s ER 1 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.3,663.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70619,,,,,,,,,,,,,,,,,,,,,305240,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,"TONSBERG, VESTFOLD",59.29,59.29,10.42,10.42,SUBAERIAL,,,s SL 1 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70577,,,,,,,,,,,,,,,,,,,,,305243,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,"TONSBERG, VESTFOLD",59.29,59.29,10.42,10.42,SUBAERIAL,,,s SL 2 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70531,,,,,,,,,,,,,,,,,,,,,305246,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s TR 1 [10379],TRACHYTE [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3,148.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71633,,,,,,,,,,,,,,,,,,,,,305249,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s TR 2 [10379],TRACHYTE [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1,163.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71608,,,,,,,,,,,,,,,,,,,,,305253,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s VR 13 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6,629.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70685,,,,,,,,,,,,,,,,,,,,,305254,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s TR 22 [10379],TRACHYTE [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,204.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71606,,,,,,,,,,,,,,,,,,,,,305257,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s V 21 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7,588.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70711,,,,,,,,,,,,,,,,,,,,,305260,
[10379],RIFT VOLCANICS,OSLO RIFT / OSLO GRABEN / VESTFOLD GRABEN,VESTFOLD,59.25,59.25,10.17,10.17,SUBAERIAL,,,s TF 1 [10379],NOT GIVEN [10379],266000000 [10379],294000000 [10379],,PERMIAN [10379],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10379] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.3,588.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70686,,,,,,,,,,,,,,,,,,,,,305263,
