Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4888],RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / CERROS DEL RIO,"CERROS DEL RIO GROUP, FLOW BELOW LOWER BANDELIER TUFF, LOWER LOS ALAMOS CANYON",35.5,35.5,-106.2,-106.2,SUBAERIAL,,,s US11 [4888],BASALT [4888],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4888] ,235727.47050000002,8510.627999999999,,81716.3544,,,,81538.77,64037.12,45831.03999999999,1316.5786,,8135.47,23813.609699999997,1221.9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,230,,,,101,68,87,19,,,,,18.2,430,27,143,14.1,,,,,,,,,,,,,394,21.5,44.3,4.4,21,4.8,1.59,4.8,,4.46,0.87,2.49,,2.26,0.34,3.25,0.84,,,,,,,,,5,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,108490,
[3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / ESPANOLA BASIN / NEW MEXICO,,35,36,-106,-107,SUBAERIAL,,,s 89SB-27 [3304],BASALT [3304],,,,CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3304] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.349,,15.517,,37.783,,,,,,,,0.282843,,,,,,,11991-89SB-27,
[3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / ESPANOLA BASIN / NEW MEXICO,,35,36,-106,-107,SUBAERIAL,,,s 89SB-31 [3304],BASALT [3304],,,,CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3304] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.368,,15.594,,39.37,,,,,,,,0.28277,,,,,,,11991-89SB-31,
[3304][4664],RIFT VOLCANICS,RIO GRANDE RIFT / ESPANOLA BASIN / NEW MEXICO,,35,36,-106,-107,SUBAERIAL,,,s 89SBB-219 [3304],"BASALT [3304] / BASALT, ALKALINE, OLIVINE [4664]",,,,CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3304] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.944,,15.568,,38.666,,,,,,,,0.282862,,,,,,,11991-89SBB-219,
[3557][3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / YAMPA VOLCANIC FIELD,,39,40,-107,-108,SUBAERIAL,,,s 5LT104 [3557] / s 5LT-104 [3304],BASALT [3557],,,,CENOZOIC [3557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3557] ,215440.79150000002,16541.783999999996,,78170.3727,,,,90166.8,69397.37000000001,48725.632,1425.00272,,9795.769999999999,31083.8083,3360.4417000000003,,,,,,,,,,,,,,,,9900.,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,22.7,,235,190,,,33,129,,112,,,,,,16,868,32,276,73,,,,,,,,,,,,,1690,43,90,,45,9.3,2.8,,1.23,,,,,1.93,0.3,7,4.6,2.7,,,,,,,,,,4.2,1.2,,,,0.704154,,18.185,,15.547,,37.774,,,,,,,,0.282825,,,,,,,11996-5LT-104,
[3557][3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / YAMPA VOLCANIC FIELD,,39,40,-107,-108,SUBAERIAL,,,s 5LT87 [3557] / s 5LT-87 [3304],NOT GIVEN [3557] / BASALT [3304],,,,CENOZOIC [3557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3557] ,214879.8695,11567.261999999999,,74148.0651,,,,76641.78,77759.36,62113.12,1347.55692,,19840.585000000003,17730.3823,3753.2206,,,,,,,,,,,,,,,,33000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,211,232,,,,180,,87,,,,,,61,1109,30,228,58,,,,,,,,,,,,1.9,1783,60,113,,57,9.9,2.71,7.4,1.07,,,,,2.29,0.29,5.7,3.2,,,,,,,,,,,6.4,1.9,0.512529,,,0.704724,,18.032,,15.564,,37.762,,,,,,,,0.282806,,,,,,,11996-5LT-87,
[3909][3550][3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / FLAT TOPS VOLCANIC FIELD,,39.97,39.97,-107.25,-107.25,SUBAERIAL,,,s 5LT360 [3909] / s 5LT-360 [3304],SHOSHONITE [3909] / BASALT [3304],,,LOWER [3550],MIOCENE [3550] / CENOZOIC [3304],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3909] ,242832.48250000004,7911.288,,80499.07710000001,,,,59852.1,56318.36,44564.655999999995,1006.7954,,25900.68,24629.6524,3665.9364,,,,,,,,,,,,,,,,20800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,188,197,,,,156,,73,,,,,,76,1341,20,186,25,,,,,,,,,,,,,2014,78,148,,71,12,3.02,,0.97,,,,,1.23,0.16,5.3,1.25,,,,,,,,,,,11,2.5,0.512404,,,0.70458,,17.484,,15.426,,37.097,,,,,,,,0.282669,,,,,,,12080-5LT360,
[3550][3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / FLAT TOPS VOLCANIC FIELD,,39.97,39.97,-107.25,-107.25,SUBAERIAL,,,s US83 [3550] / s US-83 [3304],ABSAROKITE [3550] / BASALT [3304],,,LOWER [3550],MIOCENE [3550] / CENOZOIC [3304],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3550] ,241897.61250000002,10848.054,,77641.1217,,,,78507.3,63250.95,29488.655999999995,1161.687,,15689.835,25594.0665,4364.21,,,,,,,,,,,,,,,,9300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,196,162,,,,122,,,,,,,,24,1300,32,219,27,,,,,,,,,,,,,1102,82,171,,76,12.7,3.3,,1.31,,,,,1.92,0.28,6,1.47,,,,,,,,,,,8.3,0.6,0.512284,,,0.705681,,17.556,,15.45,,37.544,,,,,,,,0.282551,,,,,,,12080-US83,
[174][173],RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / POTRILLO VOLCANIC FIELD,,32.3,32.3,-107.37,-107.37,SUBAERIAL,,,s PO-1 [174],"PERIDOTITE, SPINEL, XENOLITH [174]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [174] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.0043,,,,,,,0.103,0.619,0.298,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12709-PO-1,
[3556][3304][4662],RIFT VOLCANICS,RIO GRANDE RIFT / SAN LUIS BASIN / COLORADO / YARMONY MOUNTAIN,LOWER SECTION ON SE SIDE,39.9,39.9,-106.65,-106.65,SUBAERIAL,,,s 5LT119 [3556] / s 5LT-119 [3304],BASALT [3556],,,,CENOZOIC [3304],,,,"VESICULAR, FINE-GRAINED MATRIX [3556] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [3556] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512346,,,0.706043,,17.832,,15.504,,38.03,,,,,,,,0.282674,,,,,,,19083-5LT119,
