Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13285],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,,32.17,32.17,13.02,13.02,SUBAERIAL,,,s LY 2A [13285],NOT GIVEN [13285],3500000 [13285],52000000 [13285],,CENOZOIC [13285],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13285] ,224181.82600000003,11908.8858,,70655.0085,,,,85658.45999999999,69468.84000000001,55660.592,1293.3448600000002,,8716.575,22255.71,2094.8208,,,,,,,,,,,,,,,,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,183.954346875,285.688648,,,49.990381,205.10209,93.814608,118.217955,17.934354,,,,,19.214562,531.278154,19.511815,128.88015265,42.505208,,,,,,,,,,,,0.23861,346.5088205,28.874224,51.500524,6.184121,24.543608,5.70382173,1.919086,5.490338,0.784826,4.259079,0.772469,2.164055,0.274881,1.649056,0.231137,3.377428,2.137258,,,,,,,,,6.723752,,3.3247,0.954895,,,,,,,,,,,,,,,,,,,,,,,,,399417,
[13285],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,,32.17,32.17,13.02,13.02,SUBAERIAL,,,s LY 2B [13285],NOT GIVEN [13285],3500000 [13285],52000000 [13285],,CENOZOIC [13285],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13285] ,220535.833,11237.625,,66473.9256,,,,82082.88,67825.03,67118.352,1254.62196,,8301.5,24407.0953,2269.3892,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,171.89065625,396.43614,,,48.235421,282.013553,99.195357,115.746864,17.235315,,,,,16.334992,509.07874,19.582655,120.85019755,44.101861,,,,,,,,,,,,0.227687,343.308986,31.368968,55.196523,6.533455,25.38722,5.84831837,1.933425,5.2852,0.77374,4.269884,0.744133,2.107736,0.269706,1.677753,0.228547,3.269364,2.220074,,,,,,,,,5.774766,,3.652393,1.144958,,,,,,,,,,,,,,,,,,,,,,,,,399418,
[16334],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / WAW AN NAMOUS VOLCANIC FIELD,,24.92,24.92,17.75,17.75,SUBAERIAL,,,s W2 [16334],FOIDITE [16334],,,,PLEISTOCENE [16334],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16334] ,185618.43850000002,17620.595999999998,,50331.7701,,,,108355.62,80689.62999999999,85088.94399999999,1703.8076,,12286.22,32790.079399999995,4451.4942,,,,,,,,,,,,,,,,7500.,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,246,466,,,65.7,328,57,160,24,1.38,1.82,,,29,1063,26,330,86,5.1,,,,,0.38,0.1,2.8,0.19,,,0.45,510,63.9,128,15,58.7,11.8,3.66,9.54,1.26,6.16,0.95,2.17,0.26,1.44,0.19,7.2,6.08,1.2,,,,,,,,4.3,0,8.4,2.05,0.512925,,,0.703139,,19.263,,15.607,,38.966,,,,,,,,,,,,,,,612475,
[16334],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / WAW AN NAMOUS VOLCANIC FIELD,NEAR WAW AN NAMOUS,25,25,17.6,17.6,SUBAERIAL,,,s W3 [16334],BASALT [16334],,,,MIOCENE [16334],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16334] ,192442.98950000003,17500.728,,57847.1343,,,,95996.55,80475.22,67902.30399999999,1394.0244,,10459.89,14466.2115,2924.0207,,,,,,,,,,,,,,,,31800.,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,255,282,,,61.7,246,75,137,22,1.36,0,,,19,928,21,195,46,2.6,,,,,0,0.09,1.8,0,,,0.3,353,35.6,74,9,36.8,7.8,2.62,6.75,0.92,4.66,0.76,1.79,0.22,1.28,0.18,4.5,3.25,0.8,,,,,,,,2.7,0,4,0.92,0.512922,,,0.703222,,19.547,,15.6216,,39.242,,,,,,,,,,,,,,,612476,
[16334],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / WAW AN NAMOUS VOLCANIC FIELD,NEAR WAW AN NAMOUS,25.2244,25.2244,17.2402,17.2402,SUBAERIAL,,,s W5 [16334],BASALT [16334],,,,MIOCENE [16334],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [16334] ,218899.81050000002,10967.922,,68643.85470000001,,,,83093.37,80046.4,47278.335999999996,1239.1328,,7720.395,21810.5958,1527.4734999999998,,,,,,,,,,,,,,,,24100.,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,208,409,,,56,262,76,116,20,1.39,0,,,17,469,19,117,21,1.7,,,,,0,0.07,1.5,0,,,0.62,262,17.6,37,4.7,19.8,4.6,1.62,4.52,0.67,3.71,0.66,1.71,0.23,1.43,0.21,2.9,1.46,0.3,,,,,,,,2.1,0,2.2,0.67,0.512899,,,0.708122,,19.231,,15.6409,,38.859,,,,,,,,,,,,,,,612477,
[17097],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,KAF EL KHALEF,32.17,32.17,13.02,13.02,SUBAERIAL,,,s L41 [17097],BASANITE [17097],,,,NEOGENE [17097],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [17097] ,200576.3585,14863.632,,57106.1829,,,,92654.16,84191.65999999999,80144.01599999999,1394.0244,,8799.59,23961.981099999997,4451.4942,,,,,,,,,,,,,,,,22599.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,203,514,,,58,425,87,101,22,,,,,18,1293,30,216,85,,,,,,,,,,,,0.9,753,67.6,124.5,13.6,52.6,10.6,3.4,8.9,1.3,6.1,1,2.5,0.3,2,0.3,4.7,4.9,,,,,,,,,,,6.2,2,0.512861,,,0.703271,,,,,,,,,,,,,,,,,,,,,674509,
[17097],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,KAF EL KHALEF,32.17,32.17,13.02,13.02,SUBAERIAL,,,s GH15 [17097],TEPHRITE [17097],,,,NEOGENE [17097],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [17097] ,214459.178,24393.138,,79599.3504,,,,82471.53,77044.65999999999,50956.87999999999,929.3496,,11124.01,12834.1261,3491.3680000000004,,,,,,,,,,,,,,,,70800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,318,218,,,36,151,55,67,22,,,,,21,611,28,203,56,,,,,,,,,,,,0.7,546,38.2,80.3,9.4,39.9,8.4,2.8,7.9,1.2,5.6,1,2.5,0.3,1.9,0.3,4.8,3.8,,,,,,,,,,,3.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,674510,
[17097],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,KAF EL KHALEF,32.17,32.17,13.02,13.02,SUBAERIAL,,,s GH14 [17097],BASANITE [17097],,,,NEOGENE [17097],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [17097] ,201744.946,21696.108,,72083.9862,,,,99727.59,97342.14,45047.087999999996,1316.5786,,9380.695,16765.9682,3011.3048999999996,,,,,,,,,,,,,,,,57500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,293,296,,,59,180,51,108,24,,,,,21,984,28,697,64,,,,,,,,,,,,1.4,3173,38.1,78.1,9,38.1,8.1,2.7,7.4,1.1,5.5,1,2.6,0.3,2,0.3,12.6,3.4,,,,,,,,,,,3.4,1.2,0.512889,,,0.7038,,,,,,,,,,,,,,,,,,,,,674511,
[17097],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,KAF EL KHALEF,32.17,32.17,13.02,13.02,SUBAERIAL,,,s L37 [17097],HAWAIITE [17097],,,,NEOGENE [17097],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [17097] ,215253.8175,20077.89,,66844.40130000001,,,,80372.81999999999,105561.19,31900.816,1548.9160000000002,,19425.51,22255.71,3840.5048,,,,,,,,,,,,,,,,82899.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,210,125,,,23,64,37,66,27,,,,,48,1690,40,448,116,,,,,,,,,,,,0.9,929,93,179.5,19.5,73.4,14.3,4.4,11.7,1.7,8,1.4,3.6,0.5,2.8,0.4,9.5,7.4,,,,,,,,,,,8.9,3.3,0.512829,,,0.703787,,,,,,,,,,,,,,,,,,,,,674512,
[17097],RIFT VOLCANICS,SIRTE BASIN / CENTRAL LIBYA GRABEN / GHARYAN VOLCANIC FIELD,KAF EL KHALEF,32.17,32.17,13.02,13.02,SUBAERIAL,,,s LY 2B [17097],"BASALT, ALKALINE [17097]",,,,NEOGENE [17097],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [17097] ,222873.008,11327.525999999998,,67161.9519,,,,82937.91,68539.73,67842.,1239.1328,,8384.515,24703.8381,2313.0313,,,,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,172,396,,,48,282,99,116,17,,,,,16,509,20,121,44,,,,,,,,,,,,0.2,343,31.4,55.2,6.5,25.4,5.8,1.9,5.3,0.8,4.3,0.7,2.1,0.3,1.7,0.2,3.3,2.2,,,,,,,,,5.8,,3.7,1.1,0.512872,,,0.703365,,,,,,,,,,,,,,,,,,,,,674513,
