Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12858],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD,SKRYLLE,55.69,55.69,13.35,13.36,SUBAERIAL,,,s SKRYLLE [12858],DOLERITE [12858],284000000 [12858],284000000 [12858],LOWER [12858],PERMIAN [12858],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12858] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25,5.69,,,,,,,,,0.31,3.54,,,,,,,,,,,,,,0.512224,,,,,,,,,,,,,,,,,0.282903,,,,,,,381078,
[12858],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / SORGENFREI-TORNQUIST ZONE / SCANIA VOLCANIC FIELD,HORSHALLEN,55.65,55.68,14.23,14.3,SUBAERIAL,,,s HORSHALLEN [12858],DOLERITE [12858],284000000 [12858],284000000 [12858],LOWER [12858],PERMIAN [12858],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [12858] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45,3.35,,,,,,,,,0.57,4.22,,,,,,,,,,,,,,0.512254,,,,,,,,,,,,,,,,,0.282459,,,,,,,381079,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 3065 [15474],TRACHYTE [15474],178000000 [15474],178000000 [15474],LOWER [15474],JURASSIC [15474],,,,"HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ",VOLCANIC ROCK,3065,3065,,,WHOLE_ROCK [15474] ,159722.5395,18160.001999999997,,93571.5768,,57910.31999999999,39875.49,,126001.60999999999,38775.471999999994,5111.4228,,39266.095,890.2284,4538.7784,,113900.,8500.,,59000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,63,80,,76,,,,,,94,551,20,223,116,,,,,,,,,,,,,,85,128,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532974,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 3067 [15474],TRACHYTE [15474],178000000 [15474],178000000 [15474],LOWER [15474],JURASSIC [15474],,,,"HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ",VOLCANIC ROCK,3067,3067,,,WHOLE_ROCK [15474] ,198659.87500000003,19298.748,,97276.3338,,51335.96,34434.39,,72756.45999999999,35036.623999999996,5111.4228,,44496.04,2448.1281,3971.4311000000002,,98300.,17300.,,33000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,55,54,,84,,,,,,108,799,22,262,143,,,,,,,,,,,,,,97,137,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532975,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 3069 [15474],TRACHYTE [15474],178000000 [15474],178000000 [15474],LOWER [15474],JURASSIC [15474],,,,"HIGHLY PORPHYRITIC, FINE-GRAINED TO DENSE MATRIX [15474] ",VOLCANIC ROCK,3069,3069,,,WHOLE_ROCK [15474] ,214552.665,19059.012,,97117.55850000001,,37417.899999999994,25106.79,,62750.659999999996,31297.776,4646.748,,55287.99,2225.571,3927.789,,86100.,16600.,,36000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,40,38,,70,,,,,,138,938,22,252,152,,,,,,,,,,,,,,87,138,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532976,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 2259 [15474],"BASALT, ALKALINE [15474]",,,MIDDLE [15474],JURASSIC [15474],,,,TACHYLITIC MATRIX [15474] ,VOLCANIC ROCK,2259,2259,,,WHOLE_ROCK [15474] ,201324.2545,20077.89,,67109.0268,,58120.14000000001,15312.81,,135078.3,50414.14399999999,5188.868600000001,,4980.9,1409.5283,5804.3993,,93000.,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,53,36,,60,,,,,,29,397,15,226,98,,,,,,,,,,,,,,107,176,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532977,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 2263 [15474],"BASALT, ALKALINE [15474]",,,MIDDLE [15474],JURASSIC [15474],,,,TACHYLITIC MATRIX [15474] ,VOLCANIC ROCK,2263,2263,,,WHOLE_ROCK [15474] ,216328.91800000003,24153.402,,73248.33840000001,,53504.100000000006,20598.45,,67753.56,55178.159999999996,4646.748,,15938.88,5712.2989,4626.0626,,56100.,40199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,69,48,,74,,,,,,113,431,19,264,113,,,,,,,,,,,,,,149,236,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532978,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 2268 [15474],"BASALT, ALKALINE [15474]",,,MIDDLE [15474],JURASSIC [15474],,,,TACHYLITIC MATRIX [15474] ,VOLCANIC ROCK,2268,2268,,,WHOLE_ROCK [15474] ,208709.7275,22714.985999999997,,70549.15830000001,,83018.78,19821.149999999998,,75686.73,52766.,4414.410599999999,,14112.55,5712.2989,4800.631,,52200.,36700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,81,46,,91,,,,,,80,389,0.17,233,102,,,,,,,,,,,,,,135,212,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532979,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 2277 [15474],"BASALT, ALKALINE [15474]",,,MIDDLE [15474],JURASSIC [15474],,,,TACHYLITIC MATRIX [15474] ,VOLCANIC ROCK,2277,2277,,,WHOLE_ROCK [15474] ,218105.171,18639.474,,63933.520800000006,,61896.899999999994,15856.92,,92982.47,52766.,4182.0732,,5562.005,19733.3962,4102.3574,,43800.,17600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,58,59,,59,,,,,,35,336,14,229,92,,,,,,,,,,,,,,85,151,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532980,
[15474],RIFT VOLCANICS,SORGENFREI-TORNQUIST ZONE - NORTH SEA VOLCANIC PROVINCE / NORTH SEA VOLCANIC PROVINCE / EGERSUND BASIN,WELL 17/9-1,59,59,2,2,SUBAQUATIC,,,s 2282 [15474],"BASALT, ALKALINE [15474]",,,MIDDLE [15474],JURASSIC [15474],,,,TACHYLITIC MATRIX [15474] ,VOLCANIC ROCK,2282,2282,,,WHOLE_ROCK [15474] ,201885.1765,24812.675999999996,,70655.0085,,68121.56,29071.02,,72399.11,62655.856,4801.6395999999995,,9712.755,5341.3704,4145.9995,,7400.,32100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,82,53,,96,,,,,,69,338,16,258,101,,,,,,,,,,,,,,125,187,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532981,
