Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-249 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,275085.49750000006,5334.126,,96323.682,,42453.58,,,47527.55,16764.512,619.5664,,8301.5,31899.851,916.4841,,,,,,,,,,,,,,,,8800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,180,18,,,14,6,,,,,,,,16.5,710,34.5,92,3,,,,,,,,,,,,,500,19.4,32.5,,27.5,6,2.1,7.5,,5.2,,2.8,,2.35,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,100549,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-150 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,280928.43500000006,4974.521999999999,,95265.18000000001,,37417.899999999994,,,42882,12060.8,464.6748,,10791.95,36202.6216,1047.4104,,,,,,,,,,,,,,,,9300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,154,13,,,12,5.5,,,,,,,,22,870,20,100,2.9,,,,,,,,,,,,,640,21,37,,27.5,5.7,1.66,5.2,,3.15,,1.75,,1.42,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,100550,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-154 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,283733.04500000004,4974.521999999999,,94206.67800000001,,36718.5,,,44311.4,12060.8,464.6748,,10957.980000000001,36350.993,1047.4104,,,,,,,,,,,,,,,,5300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,155,15,,,13,6,,,,,,,,22,885,9,104,3.3,,,,,,,,,,,,,670,16,33,,20,3.9,1.07,2.9,,1.8,,0.85,,0.72,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,100551,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-212 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,287005.09,4794.72,,93412.8015,,37417.899999999994,,,42167.3,11035.632,464.6748,,10127.83,34496.3505,960.1262,,,,,,,,,,,,,,,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,152,13,,,12,6,,,,,,,,22,720,10.5,100,3.1,,,,,,,,,,,,,605,14.5,29,,17,3.65,1.04,2.9,,1.85,,0.85,,0.73,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,100552,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-205 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,289809.7,4554.9839999999995,,93942.0525,,36368.8,,,40023.2,11578.367999999999,387.22900000000004,,9629.74,34125.422,829.1999000000001,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,155,18,,,12,7,,,,,,,,23,700,8.8,98,2.7,,,,,,,,,,,,,580,13,26,,14.5,3.05,0.88,2.7,,1.65,,0.75,,0.71,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,100553,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-153 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,291679.44,4435.116,,92354.2995,,32731.92,,,38951.15,9769.248,387.22900000000004,,12203.205,35460.7646,916.4841,,,,,,,,,,,,,,,,7500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,130,14,,,10,5,,,,,,,,25,830,7.2,110,2.8,,,,,,,,,,,,,740,17,34.5,,18.5,3.6,1.02,2.65,,1.45,,0.7,,0.56,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,100554,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-246 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,289809.7,4554.9839999999995,,94206.67800000001,,36228.92,,,35735,7718.911999999999,464.6748,,10625.92,32122.4081,872.8420000000001,,,,,,,,,,,,,,,,19500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,148,14,,,12,6,,,,,,,,22.5,627,8.4,110,3.6,,,,,,,,,,,,,735,13.3,28.5,,15.3,3.35,0.94,2.75,,1.6,,0.7,,0.67,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,100555,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-141 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,294484.05000000005,4015.578,,92883.55050000001,,30284.02,,,37164.4,10010.463999999998,387.22900000000004,,11622.099999999999,35609.136,872.8420000000001,,,,,,,,,,,,,,,,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,112,12,,,9,5,,,,,,,,28.5,685,12.2,115,3.1,,,,,,,,,,,,,725,16.5,33,,20,3.7,1.05,3.1,,1.8,,0.95,,0.77,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,100556,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-142 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,295652.6375,4015.578,,93677.427,,30563.780000000002,,,34305.6,8985.296,387.22900000000004,,11456.07,33754.4935,829.1999000000001,,,,,,,,,,,,,,,,12200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,114,12,,,9,4.5,,,,,,,,28.5,630,13.6,115,3.1,,,,,,,,,,,,,740,15.8,31.5,,17,3.3,0.99,2.9,,1.65,,0.95,,0.78,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,100557,
[4687],CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA / PACIFIC OCEAN,,-3.033,-3.034,-79.23,-79.24,SUBAERIAL,,,s QC-143 [4687],ADAKITE [4687],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4687] ,274851.78,5693.73,,97117.55850000001,,41264.600000000006,,,48599.6,16462.992,542.1206000000001,,8799.59,34273.7934,1003.7683000000001,,,,,,,,,,,,,,,,5800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,190,21,,,14,8,,,,,,,,14.5,785,9.1,88,3,,,,,,,,,,,,,492,17.5,26.5,,16,3.15,0.99,2.7,,1.8,,0.85,,0.74,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,100558,
