Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3325][3286][3396][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 225B [3325],BASALT [3325] / ANKARAMITE [3286],500000 [2773],2000000 [2773],,,,,,CLINOPYROXENE-PHYRIC [3325] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,229791.046,5945.4528,,90766.5465,,68751.02,,,90981.31,34735.104,1107.4749399999998,,8608.655499999999,21068.7388,829.1999000000001,,,,,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,5947,318,65,,,,47,340,117,,,,,,10.8,1180,18.9,76.3,3.79,,,,,,,,,,,,,367,18.65,39,,22.74,4.844,1.462,4.31,,3.45,,1.87,,1.658,,,,,,,,,,,,11.9,,7,2.53,0.512952,,,0.70441,,18.937,,15.652,,38.62,,,,,,,,,,,,,,,10071-225B,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 230 [3286],ANKARAMITE [3286],500000 [2773],2000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,243206.43050000002,4926.574799999999,,93359.87640000001,,58679.66,,,75043.5,28222.271999999997,1076.4966200000001,,12086.984,25816.6236,1012.4967200000001,,,,,,,,,,,,,,,,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,243,40,,,,34,81,57,,,,,,27.8,1035,18.9,111,8.1,,,,,,,,,,,,,452,,,,23,,,,,,,,,,,,,,,,,,,,,1.6,,13,,,,,0.70461,,,,,,,,,,,,,,,,,,,,,10071-230,
[3325][3286][3396],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT ST. CATHERINE / CARIBBEAN SEA / ATLANTIC OCEAN,,12.2,12.2,-61.7,-61.7,SUBAERIAL,,,s 380 [3325],BASALT [3325] / ANKARAMITE [3286],500000 [3286],2000000 [3286],,,,,,CLINOPYROXENE-PHYRIC [3325] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,225864.59200000003,5831.5782,,97382.184,,76304.54000000001,,,87264.87000000001,30091.696,1316.5786,,9613.136999999999,17730.3823,955.76199,,,,,,,,,,,,,,,,7600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,5833,342,11,,,,33,148,70,,,,,,16.5,1237,25,80.4,5.74,,,,,,,,,,,,,411,18.9,38.1,,23.5,5.156,1.612,4.67,,4.06,,2.279,,2.071,0.303,,,,,,,,,,,1.8,,6,1.69,0.512961,,,0.70472,,19.043,,15.697,,38.79,,,,,,,,,,,,,,,10071-380,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT GRANBY / CARIBBEAN SEA / ATLANTIC OCEAN,FEDON^S CAMP,12,12.25,-61.5,-61.75,SUBAERIAL,,,s 239 [3286],ANKARAMITE [3286],1000000 [2773],3000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,221470.70300000004,5969.426399999999,,88279.0668,,73506.94,,,96413.03,38896.08,1355.3014999999998,,8575.449499999999,17730.3823,750.6441199999999,,,,,,,,,,,,,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,316,70,,,,43,134,63,,,,,,15.3,1133,20.1,68,3.8,,,,,,,,,,,,,366,15.7,35.2,,22.39,5.091,1.541,4.58,,3.67,,1.975,,1.72,,,,,,,,,,,,2.5,,5,2.48,0.512956,,,0.70448,,18.863,,15.652,,38.46,,,,,,,,,,,,,,,10072-239,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT GRANBY / CARIBBEAN SEA / ATLANTIC OCEAN,FEDON^S CAMP,12,12.25,-61.5,-61.75,SUBAERIAL,,,s 487A [3286],ANKARAMITE [3286],1000000 [2773],3000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,228669.20200000002,6358.997399999999,,93148.176,,68471.26,,,85621.06,33830.544,1355.3014999999998,,9737.6595,21068.7388,816.10727,,,,,,,,,,,,,,,,-1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,288,43,,,,36,137,57,,,,,,18.3,891,29,82,7.2,,,,,,,,,,,,,351,,,,21,,,,,,,,,,,,,,,,,,,,,1.9,,3,,,,,0.70456,,,,,,,,,,,,,,,,,,,,,10072-487A,
[3325][3286][3396],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT MORITZ / CARIBBEAN SEA / ATLANTIC OCEAN,MT. MAITLAND,12,12.25,-61.5,-61.75,SUBAERIAL,,,s 450 [3325],BASALT [3325] / ANKARAMITE [3286],,,,,,,,CLINOPYROXENE-PHYRIC [3325] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,220489.08950000003,5771.6442,,82457.3058,,79032.20000000001,,,103131.20999999999,42574.623999999996,1417.25814,,4275.2725,15727.3684,541.16204,,,,,,,,,,,,,,,,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5773,334,75,,,,45,145,74,,,,,,5.6,1022,20.8,45.8,3,,,,,,,,,,,,,253,8.87,20.4,,14.64,3.638,1.19,3.81,,3.45,,1.994,,1.78,0.26,,,,,,,,,,,1.4,,2,0.693,0.512966,,,0.70446,,18.666,,15.623,,38.35,,,,,,,,,,,,,,,10073-450,
[3286][2773],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT MORITZ / CARIBBEAN SEA / ATLANTIC OCEAN,MT. MAITLAND,12,12.25,-61.5,-61.75,SUBAERIAL,,,s 454 [3286],ANKARAMITE [3286],7000000 [2773],14000000 [2773],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3286] ,221657.67700000003,5783.630999999999,,82933.6317,,78122.98,,,102702.39,42634.928,1324.32318,,5321.2615000000005,16024.111200000001,549.89046,,,,,,,,,,,,,,,,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,333,75,,,,49,179,62,,,,,,7.1,1017,20.9,49,4.3,,,,,,,,,,,,,256,8.38,20.5,,14.33,3.593,1.166,3.66,,3.41,,1.958,,1.769,0.257,,,,,,,,,,,0.7,,0,0.682,0.512998,,,0.70435,,18.58,,15.623,,38.33,,,,,,,,,,,,,,,10073-454,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,10107,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from OLIVINE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,10108,
[115],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,NEAR BIG POINT,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TK46A [115],ANKARAMITE [115],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4 from CLINOPYROXENE [115],MINERAL / COMPONENT (INCL. GROUNDMASS) [115] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,10109,
