Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3193][3182][9693],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / KANKAKEI FORMATION / PACIFIC OCEAN,"MITO PENINSULA, SETOUCHI VOLCANIC BELT",34.45,34.45,134.17,134.17,SUBAERIAL,,,s SD-424 [3193] / s SD424 [3182],"BASALT, AUGITE-OLIVINE [3193] / BASALT [3182]",11000000 [3193] / 13200000 [9693],12000000 [3193] / 13200000 [9693],MIDDLE [3182],MIOCENE [3182],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3193] ,228061.53650000002,5813.597999999999,,71237.18460000001,,15876.380000000001,52545.479999999996,,72113.23,63861.935999999994,1394.0244,,11207.025000000001,18249.6822,1003.7683000000001,,24500.,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000738,0.00005372,,,,,,,,,,0.512781,,,0.70466,,,,,,,,,,,0.1556,,,,,,,,,,10254-SD-424,
[3193][3182],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / KANKAKEI FORMATION / PACIFIC OCEAN,"MITO PENINSULA, SETOUCHI VOLCANIC BELT",34.45,34.45,134.17,134.17,SUBAERIAL,,,s SD-438 [3193] / s SD438 [3182],"BASALT, AUGITE-OLIVINE [3193] / BASALT [3182]",11000000 [3193],12000000 [3193],MIDDLE [3182],MIOCENE [3182],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3193] ,229978.02000000002,6053.334,,81028.3281,,19373.38,48814.44,,62965.07000000001,69651.12,1239.1328,,10542.905,19065.724899999997,960.1262,,7600.,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512747,,,0.70446,,,,,,,,,,,,,,,,,,,,,10254-SD-438,
[4405],CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU / HONSHU / YATSUGATAKE / KASUGA VOLCANIC ROCKS / PACIFIC OCEAN,"FOSSA MAGNA, OLDER YATSUGATAKE",35.97,35.97,138.37,138.37,SUBAERIAL,,,s YT-3234 [4405],"BASALT, AUGITE-OLIVINE [4405]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4405] ,225350.41350000002,,,,,,,,,,,,6143.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,22,,,34.5,,,,,,,,,15,670,,,,,,,,,,,,,,,,240,8.4,21.6,,,3.21,1.22,,0.55,,,,,1.5,0.25,1.8,0.16,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,103071,
[3252][5104][13855][3261],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / HOKKAIDO / TOKACHI-DAKE/TOKATI / FURANO-DAKE LAVA / PACIFIC OCEAN,"STRATOCONE, SUMMIT OF FURANO-DAKE",43.45,43.45,142.68,142.68,SUBAERIAL,,,s K-21 [3252],"BASALT, AUGITE-OLIVINE [3252]",,,,QUATERNARY [3252] / NEOGENE [5104],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,218712.8365,9649.374,,95423.95530000002,,34830.12,58452.96,,75400.85,34735.104,1471.4702,,6558.185,19807.581899999997,349.1368,,5500.,3800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,8.7,,,29.5,,,,,,,,,13,415,,,,,,,,,,,,,,,,171,7.7,25.5,,,4.3,1.36,,0.77,,,,,2.5,0.34,1.6,,,,,,,,,,,,1.74,0.39,0.512923,,,0.70356,,,,,,,,,,,,,,,,,,,,,10416-K-21,
[3252][5072],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA LAVA / PACIFIC OCEAN,"YAMASEDOMARI, SOUTHERN COAST OF OSHIMA-OSHIMA ISLAND",41.5,41.5,139.37,139.37,SUBAERIAL,,,s H-18 [3252],"BASALT, AUGITE-OLIVINE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,228528.9715,6113.268,,79387.65000000001,,20422.48,49824.93,,77973.77,63922.23999999999,1936.145,,9380.695,14466.2115,218.21050000000002,,6400.,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,690,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,400,11.1,30.4,,,4.6,11.51,,0.9,,,,,2.8,0.47,0.9,,,,,,,,,,,,2.2,0.52,,,,0.70285,,,,,,,,,,,,,,,,,,,,,10465-H-18,
[3252],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HOKKAIDO / USU / PACIFIC OCEAN,CLIFF OF SONKAI-ZAWA,42.57,42.57,140.78,140.78,SUBAERIAL,,,s H-4 [3252],"BASALT, AUGITE-OLIVINE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70452,,,,,,,,,,,,,,,,,,,,,10488-H-4,
[4734],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / PACIFIC OCEAN,"CENTRAL KINKI DISTRICT, NARA PREFECTURE, MT. SHIGI",34,35,136.5,136.5,SUBAERIAL,,,s S1 [4734],"BASALT, AUGITE-OLIVINE [4734]",,,,CENOZOIC [4734],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4734] ,241757.382,3476.1719999999996,,83145.33210000001,,15037.099999999999,43917.450000000004,,56175.420000000006,59640.656,1084.2412000000002,,6558.185,20326.8818,305.4947,,23000.,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104931,
[2306][2303],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / TOSHIMA / TOSHIMA / PACIFIC OCEAN,"NEAR NAZUKATA, EASTERN COAST",34.5,34.5,139.29,139.29,SUBAERIAL,,,s NI70053001 [2306] / s NI70053001_UNLEACHED [2303],"BASALT, AUGITE-OLIVINE [2306]",,,,QUATERNARY [2306],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2306] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72600,,,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70347,,,,,,,,,,,,,,,,,,,,,10530-NI70053001,
[2306][2303],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / UDONEJIMA / UDONEJIMA / PACIFIC OCEAN,EAST-SOUTHEASTERN TIP,34.45,34.45,139.3,139.3,SUBAERIAL,,,s NI70053101 [2306] / s NI70053101_UNLEACHED [2303],"BASALT, AUGITE-OLIVINE [2306]",,,,QUATERNARY [2306],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2306] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72900,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70331,,,,,,,,,,,,,,,,,,,,,10533-NI70053101,
[2305][2303],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / MIKURAJIMA / MAIN STRATOVOLCANO / PACIFIC OCEAN,"SEA-CLIFF N  OF URANNE, WESTERN COAST",33.88,33.88,139.58,139.58,SUBAERIAL,,,s NI60091401 [2305] / s NI60091401_UNLEACHED [2303],"BASALT, AUGITE-OLIVINE [2305]",,,,QUATERNARY [2303],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2305] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69400,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70358,,,,,,,,,,,,,,,,,,,,,10549-NI60091401,
