Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2801][3194],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / PACIFIC OCEAN,"AZIRO TOWN, IZU PENINSULA",34.5,35.5,138.5,139.5,SUBAERIAL,,,s AZIRO2 [2801] / s AZ-2 [3194],"BASALT, OLIVINE-AUGITE [2801]",,,,QUATERNARY [2801],,,,PORPHYRIC [2801] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2801] ,233390.2955,6892.409999999999,,93095.2509,,23919.48,67003.26,,78402.59000000001,28945.92,1316.5786,,2241.405,15133.8828,87.2842,,7200.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,2.07,6.37,,6.2,2.3,0.831,3.17,,3.72,,2.39,,2.16,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310-AZ-2,
[3252][13855][3261],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / RISHIRI / RISHIRI / MOTODOMARI LAVA / PACIFIC OCEAN,NORTHERN COAST OF RISHIRI ISLAND,45.1,45.1,141.27,141.27,SUBAERIAL,,,s K-27 [3252],"BASALT, OLIVINE-AUGITE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,116,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,255,8.9,25.1,,,3.8,1.27,,0.8,,,,,2.4,0.35,2.3,,,,,,,,,,,,1.2,0.31,0.512966,,,0.703063,,,,,,,,,,,,,,,,,,,,,10419-K-27,
[3252][5072],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / PACIFIC OCEAN,"CENTRAL CONE, YAKEKUZURE PENINSULA",41.5,41.5,139.37,139.37,SUBAERIAL,,,s H-19 [3252],"BASALT, OLIVINE-AUGITE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,233250.065,6532.8060000000005,,84944.78550000001,,35179.82,43140.15,,75114.97,42393.712,1084.2412000000002,,15938.88,15949.9255,1003.7683000000001,,2600.,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,180,,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,570,19.8,50.8,,,6.2,2.02,,1.09,,,,,2.8,0.47,2.4,,,,,,,,,,,,6,1.7,,,,0.70304,,,,,,,,,,,,,,,,,,,,,10426-H-19,
[3252][13855][3261],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / RISHIRI / RISHIRI / PACIFIC OCEAN,EASTERN SIDE OF THE TOP OF RISHIRI,45.1,45.1,141.27,141.27,SUBAERIAL,,,s K-26 [3252],"BASALT, OLIVINE-AUGITE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,236942.8015,7671.552,,87802.7409,,28395.639999999996,38942.729999999996,,71470,44263.136,774.4580000000001,,8550.545,25890.8093,610.9894,,4300.,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,144,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,235,13.3,36.5,,,4.6,1.39,,0.73,,,,,2.4,0.37,2.6,,,,,,,,,,,,2.55,0.66,0.512955,,,0.703295,,,,,,,,,,,,,,,,,,,,,10458-K-26,
[3252][13855][3261],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / HOKKAIDO / ME-AKAN-DAKE / NISHIYAMA LAVA / PACIFIC OCEAN,WESTERN FLANK OF ME-AKAN-DAKE,43.38,43.38,144.02,144.02,SUBAERIAL,,,s K-28 [3252],"BASALT, OLIVINE-AUGITE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,236615.597,4614.918,,93836.2023,,30353.96,53944.62,,67181.8,34855.712,1626.3618,,3569.645,16691.7825,567.3473,,6300.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512892,,,0.703676,,,,,,,,,,,,,,,,,,,,,10459-K-28,
[2306][2303],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / TOSHIMA / TOSHIMA / PACIFIC OCEAN,"SEA-CLIFF NEAR ONE, NORTHWESTERN COAST",34.5,34.5,139.29,139.29,SUBAERIAL,,,s NI70052903 [2306] / s NI70052903_UNLEACHED [2303],"BASALT, OLIVINE-AUGITE [2306]",,,,QUATERNARY [2306],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2306] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73500,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7034,,,,,,,,,,,,,,,,,,,,,10531-NI70052903,
[3409],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / INANIWADAKE / PACIFIC OCEAN,ROAD 1.3KM SSW OF INANIWADAKE,40,40.5,140.9,141.2,SUBAERIAL,,,s IN-09 [3409],"BASALT, OLIVINE-AUGITE-PLAGIOCLASE [3409]",,,,PLIOCENE [3409],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3409] ,236989.54500000004,4435.116,,101086.941,,,,76641.78,82690.79000000001,27920.751999999997,1084.2412000000002,,581.105,14169.4687,261.8526,5600.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,19,,,,,,,,2.5,202,16,16,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113819,
[3409],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / OHNAGURAYAMA / PACIFIC OCEAN,QUARRY 0.3KM E OF OHNAGURAYAMA,37.2,37.7,140.2,140.7,SUBAERIAL,,,s ON-01 [3409],"BASALT, OLIVINE-AUGITE-HYPERSTHENE-PLAGIOCLASE [3409]",,,,PLIOCENE [3409],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3409] ,244702.22250000003,4854.654,,96059.05649999999,,24199.239999999998,49747.200000000004,,69325.9,31056.56,1239.1328,,3569.645,13056.6832,349.1368,16900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,9,,,,,,,,11,205,17,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113875,
[3409],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / OHNAGURAYAMA / PACIFIC OCEAN,ROAD 0.2KM NW OF ASAHIKURAYAMA,37.2,37.7,140.2,140.7,SUBAERIAL,,,s ON-04 [3409],"BASALT, OLIVINE-AUGITE-HYPERSTHENE-PLAGIOCLASE [3409]",,,,PLIOCENE [3409],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3409] ,241757.382,5693.73,,90501.92100000002,,18673.98,66459.15000000001,,71255.59000000001,34916.015999999996,1394.0244,,2739.4950000000003,12314.8262,567.3473,11299.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,12,,,,,,,,5.8,212,21,36,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113878,
[3409],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / HAKASEYAMA / PACIFIC OCEAN,CLIFF 1.9KM W OF HAKASEYAMA,37,37.5,139.5,140,SUBAERIAL,,,s HA-13 [3409],"BASALT, OLIVINE-AUGITE-HYPERSTHENE-PLAGIOCLASE [3409]",,,,PLIOCENE [3409],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3409] ,229323.61100000003,4734.786,,99022.86210000001,,26507.260000000002,49747.200000000004,,78831.40999999999,39680.032,1316.5786,,2158.39,14095.283,654.6315,9800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,34,,,,,,,,2.6,337,30,53,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113907,
