Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4605],CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND,"KUGANGUP, DISKO (QEGERTARSSUAQ)",70.2858,70.2858,-53.8889,-53.8889,SUBAERIAL,35,35,s 135977 [4605],"BASALT, OLIVINE [4605]",,,,CENOZOIC [4605],,,,MICROPORPHYRITIC [4605] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4605] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7082,,,,,,,,,,,,,,,,,,,,,100381,
[4605],CONTINENTAL FLOOD BASALT,"NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / MALIGAT FORMATION, NIAQUSSAT MEMBER","3.5 KM W OF SARQARDLIT SILARDLIT, MELLEMFJORD, DISKO (QEGERTARSSUAQ)",69.7928,69.7928,-54.3036,-54.3036,SUBAERIAL,452,452,s 176565 [4605],"BASALT, OLIVINE-PLAGIOCLASE [4605]",,,,CENOZOIC [4605],,,,PORPHYRITIC [4605] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4605] ,233250.065,9709.308,,75841.6683,,14127.880000000001,,,61392.729999999996,1206.08,,,17101.09,79527.0704,1832.9682,,1400.0000000000002,15500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,300,589,,,,97,244,,,,,,,9,185,27,97,5,,,,,,,,,,,,,202,4,17,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70502,,,,,,,,,,,,,,,,,,,,,100401,
[239],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / NINOLE BASALT / PACIFIC OCEAN,KAUMAIKEOHU SPRING,19.15,19.15,-155.6,-155.6,SUBAERIAL,,,s 7 [239],"BASALT, OLIVINE [239]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [239] ,226238.54,15103.367999999999,,75841.6683,,16925.48,71356.14,,72684.99,58977.31199999999,1239.1328,,2241.405,17136.8967,960.1262,,2000.,700.0000000000001,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230,
[2745],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN,"MANORI VILLAGE, SALSETTE ISLAND",19.18,19.18,72.88,72.88,SUBAERIAL,,,s 158SAL [2745],"BASALT, OLIVINE [2745]",,,,CENOZOIC [2745],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2745] ,215253.8175,12046.733999999999,,86479.6134,,16296.02,55343.76,,82547.85,36061.792,1239.1328,,8965.62,19139.9106,1396.5472,,10000,2900.,,27799.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102720,
[2977],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / PUTORANA REGION,"MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN",72,72,101,101,SUBAERIAL,,,s 1933/24 [2977],"BASALT, OLIVINE [2977]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2977] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,173.7,,,,,,,,,,,,,,,,,,,,3.34,11.42,,,,,,,,,,,,,,,,,,,,,,,,0.512655,,,0.705121,,,,,,,,,,,,,,,,,,,,,102956,
[2977],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / PUTORANA REGION,"MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN",72,72,101,101,SUBAERIAL,,,s 546A [2977],"BASALT, OLIVINE [2977]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2977] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,199.1,,,,,,,,,,,,,,,,,,,,3.55,12.63,,,,,,,,,,,,,,,,,,,,,,,,0.512727,,,0.705207,,,,,,,,,,,,,,,,,,,,,102958,
[2801][3194],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / HATA / PACIFIC OCEAN,"TANNA BASIN, IZU PENINSULA",34.5,35.5,138.5,139.5,SUBAERIAL,,,s HATA [2801] / s HT-1 [3194],"BASALT [2801] / BASALT, OLIVINE [3194]",,,,QUATERNARY [2801],,,,APHYRIC [2801] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2801] ,209270.64950000003,4495.049999999999,,87908.5911,,21891.219999999998,65293.200000000004,,83476.95999999999,48424.111999999994,1471.4702,,664.12,10089.2552,174.5684,,12900.,5500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,1.27,3.69,,3.82,1.48,0.592,2.31,,2.59,,1.63,,1.58,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10309-HAT-1,
[2801][3194],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / PACIFIC OCEAN,"AZIRO TOWN, IZU PENINSULA",34.5,35.5,138.5,139.5,SUBAERIAL,,,s AZIRO1 [2801] / s AZ-1 [3194],"BASALT [2801] / BASALT, OLIVINE [3194]",,,,QUATERNARY [2801],,,,APHYRIC [2801] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2801] ,239420.20700000002,7671.552,,82986.5568,,31193.239999999998,67314.18000000001,,70040.6,27317.712,1548.9160000000002,,2739.4950000000003,16914.3396,480.0631,,7500.,5000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,2.6,7.65,,7.45,2.67,0.95,3.87,,4.46,,2.92,,2.55,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310-AZ-1,
[2801][3194],CONVERGENT MARGIN,IZU-BONIN ARC / IZU ARC / HONSHU / PACIFIC OCEAN,"AZIRO TOWN, IZU PENINSULA",34.5,35.5,138.5,139.5,SUBAERIAL,,,s AZIRO2 [2801] / s AZ-2 [3194],"BASALT, OLIVINE-AUGITE [2801]",,,,QUATERNARY [2801],,,,PORPHYRIC [2801] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2801] ,233390.2955,6892.409999999999,,93095.2509,,23919.48,67003.26,,78402.59000000001,28945.92,1316.5786,,2241.405,15133.8828,87.2842,,7200.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,2.07,6.37,,6.2,2.3,0.831,3.17,,3.72,,2.39,,2.16,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310-AZ-2,
[3252][13855][3261],CONVERGENT MARGIN,KURILE ARC / KURILE ARC / RISHIRI / RISHIRI / MOTODOMARI LAVA / PACIFIC OCEAN,NORTHERN COAST OF RISHIRI ISLAND,45.1,45.1,141.27,141.27,SUBAERIAL,,,s K-27 [3252],"BASALT, OLIVINE-AUGITE [3252]",,,,QUATERNARY [3252],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3252] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,116,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,255,8.9,25.1,,,3.8,1.27,,0.8,,,,,2.4,0.35,2.3,,,,,,,,,,,,1.2,0.31,0.512966,,,0.703063,,,,,,,,,,,,,,,,,,,,,10419-K-27,
