Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4742],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / MISHIMA ISLAND / PACIFIC OCEAN,,33,35,130,133,SUBAERIAL,,,s 1 [4742],"BASALT, PICRITIC [4742]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4742] ,218151.9145,11747.063999999998,,69543.58140000001,,16435.9,57287.01,,63393.88999999999,85691.984,929.3496,,8218.485,21068.7388,1352.9051,,6899.999999999999,4300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100048,
[3102][3903][174],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,,14.5,14.5,-61,-61,SUBAERIAL,,,s IR [3102] / s I.R. [3903],"BASALT [3102] / BASALT, PICRITIC [3903]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3102] ,223433.93,4375.182,,82404.38070000001,,21261.760000000002,49902.659999999996,,78402.59000000001,80988.272,1548.9160000000002,,2324.42,14466.2115,349.1368,,2500.,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,,,,,,,,,,,,,,,,,3.63,175,,,,,,,,,,,0.373,,,,,45.6,1.8,5.17,,4.66,1.65,0.63,2.26,,2.76,,1.76,,1.7,0.26,,,,,,,,,,,1.242,,0.255,0.083,0.512986,,,0.70377,,19.075,,15.69,,38.88,,,,,,,,,,,,,,,10218-IR,
[239],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE / KAU SERIES / PACIFIC OCEAN,"MAKANOA VALLEY, 1.5 MILES NORTHWEST OF HILEA, SOUTH SLOPE OF MAUNA LOA",19.5,19.5,-155.6,-155.6,SUBAERIAL,,,s 9 [239],"BASALT, PICRITIC [239]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [239] ,215908.22650000002,7431.816,,42022.52940000001,,42733.340000000004,50679.96,,41166.72,145935.68,1316.5786,,2324.42,9124.8411,654.6315,,1400.0000000000002,500.,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10232,
[4495],RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL PROVINCE) / DURANGO,5 MILES E OF DURANGO,24,24,-104.7,-104.7,SUBAERIAL,,,s MX1059 [4495],"BASALT, PICRITIC [4495]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4495] ,215861.483,18747.355199999998,,77164.7958,,,,89000.84999999999,65988.251,50112.624,1262.36654,,18271.6015,24332.9096,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8,,,,0,63,92.9,,,,,,37.6,860.5,,,,,,,,,,,,,,,,632.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105013,
[4495],RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL PROVINCE) / JALISCO,"12 MILES FROM GUADY, NOGALES ROAD, GUADALAJARA AREA",21,21,-104,-104,SUBAERIAL,,,s MX1045 [4495],"BASALT, PICRITIC [4495]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4495] ,222312.08600000004,17830.364999999998,,88543.69230000001,,,,100349.43000000001,61006.791999999994,25086.464,1440.49188,,11215.3265,29377.5372,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,47.9,44.2,119.9,,,,,,13,568.8,,,,,,,,,,,,,,,,820.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105014,
[4495],RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL PROVINCE) / JALISCO,"5 MILES E OF ZAPOTLANE, GUADALAJARA AREA",21,21,-104,-104,SUBAERIAL,,,s MX1054 [4495],"BASALT, PICRITIC [4495]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4495] ,231473.81200000003,7905.294599999999,,86162.06280000001,,,,77185.89,72249.023,40524.28799999999,1184.92074,,12319.426,23591.0526,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2,,,,0,69.2,77.5,,,,,,11.4,326.6,,,,,,,,,,,,,,,,215.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105015,
[4495],RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL PROVINCE) / JALISCO,"22 MILES SOUTH OF TEQUILA, GUADALAJARA AREA",20.86,20.86,-103.8,-103.8,SUBAERIAL,,,s MX1046 [4495],"BASALT, PICRITIC [4495]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4495] ,232455.4255,15037.440599999998,,73407.1137,,,,91721.40000000001,65923.928,37448.784,1440.49188,,9978.403,27893.8232,872.8420000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1,,,,36.4,52.4,86.7,,,,,,12,525.1,,,,,,,,,,,,,,,,365.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105016,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,"LOWER SHIELD, RIVER CUT NEAR SANDY BAY",-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE1A [1224],"BASALT, PICRITIC [1224]",8500000 [1224],11300000 [1224],,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [1224] ,211794.79850000003,15702.708,,68485.0794,,,,97084.77,78188.18,70374.768,1471.4702,,6724.215,15208.068499999998,2138.4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,422,,,71,254,69,,,,,,,17,512,29,211,50,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702895,,20.89,,15.789,,40.173,,,,,,,,,,,,,,,10568,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,"LOWER SHIELD, RIVER CUT NEAR SANDY BAY",-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE1A [1224],"BASALT, PICRITIC [1224]",8500000 [1224],11300000 [1224],,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,"HE3_HE4 from OLIVINE [1224], HE3_HE4(R/R(A)) from OLIVINE [1224]",MINERAL / COMPONENT (INCL. GROUNDMASS) [1224] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,5.73,,,,,10574,
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,"LOWER SHIELD, RIVER CUT NEAR SANDY BAY",-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE1A [1224],"BASALT, PICRITIC [1224]",8500000 [1224],11300000 [1224],,,,,,PORPHYRITIC [1224] ,VOLCANIC ROCK,,,,"HE3_HE4 from CLINOPYROXENE [1224], HE3_HE4(R/R(A)) from CLINOPYROXENE [1224]",MINERAL / COMPONENT (INCL. GROUNDMASS) [1224] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,5.16,,,,,10575,
