Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2449],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN,HOLE 315A,4.1712,4.1712,-158.525,-158.525,SUBAQUATIC,-4164,-4164,"s 33-315A-32-4,53-55 [2449]","BASALT, TRANSITIONAL [2449]",,,,,,,,DIABASIC TO INTERSERTAL [2449] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2449] ,,,,,,,,,,,,,2008.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10015-32-4, 53-55",
[2449],SEAMOUNT,LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN,HOLE 315A,4.1712,4.1712,-158.525,-158.525,SUBAQUATIC,-4164,-4164,"s 33-315A-34-1,99-101 [2449]","BASALT, TRANSITIONAL [2449]",,,,,,,,DIABASIC TO INTERSERTAL [2449] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [2449] ,,,,,,,,,,,,,1643.6970000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10015-34-1, 99-101",
[840],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT / PACIFIC OCEAN,IKI LAVA LAKE,19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 10 [840],"BASALT, TRANSITIONAL [840]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [840] ,223106.7255,23673.93,,77164.7958,,9511.84,100971.27,,63751.24,36242.704,1548.9160000000002,,8135.47,18027.1251,1876.6103,,900.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10047,
[2635],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - CENOZOIC-QUATERNARY / CANADIAN CORDILLERA / YUKON TERRITORY,"ST. CLARE CREEK FIELD, ALEXANDER TERRANE",60.8,60.8,-141.42,-141.42,SUBAERIAL,,,s TS-98-85 [2635],"BASALT, TRANSITIONAL [2635]",,,UPPER [2635],CENOZOIC [2635],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2635] ,219928.1675,8270.891999999998,,92354.2995,,,,68791.05,74829.09000000001,53308.736,1084.2412000000002,,2158.39,21439.6673,741.9157,,,,,,,,,,,,,,,,28100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,184,102,,,,40,,,,,,,,2,302,24,120,8,,,,,,,,,,,,,72,5.55,13.8,,9.59,3.33,1.15,,0.72,,0.96,,0.34,2.36,0.35,2.8,0.3,,,,,,,,,,,,,,,,0.70319,,,,,,,,,,,,,,,,,,,,,106649,
[3348][7407],OCEAN ISLAND,MADEIRA ARCHIPELAGO / DESERTAS ISLANDS / CHAO / ATLANTIC OCEAN,CHAO,32.4322,32.4322,-16.4881,-16.4881,SUBAERIAL,,,s K-11 [3348] / s K11 [7407],"BASALT, TRANSITIONAL [3348] / BASALT [7407]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3348] ,211794.79850000003,16421.916,,64409.8467,,,,95685.63,82976.67,66937.43999999999,1394.0244,,5562.005,16320.854000000001,1658.3998000000001,2900.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.19,0.04,323,552,,,58.87,229.28,107.39,108,19.58,,,,,13.79,412.05,24.76,193.23,35.3,,,,,,,,,,,,0.14,167.03,25.58,54.07,7.53,33.66,7.42,2.34,6.94,0.97,5.22,0.97,2.45,0.31,2.08,0.28,5.52,2.79,,,,,,,,,1.67,,2.82,0.72,0.513033,,,0.702918,,19.533,,15.549,,39.176,,,,,,,,,,,,,,,10743-K-11,
[3348][15508],OCEAN ISLAND,MADEIRA ARCHIPELAGO / MADEIRA / ATLANTIC OCEAN,,32.7238,32.8238,-17.0286,-17.0286,SUBAERIAL,,,s MA-215 [3348] / s MA 215 [15508],"BASALT, TRANSITIONAL [3348] / NOT GIVEN [15508]",4500000 [15508],4500000 [15508],,PLIOCENE [15508],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3348] ,210719.698,15822.576,,70390.383,,,,89467.23,72613.52,57771.231999999996,1316.5786,,4814.87,19065.724899999997,1527.4734999999998,7100.,,,,20600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,531,,,51,258,,107,16,,,,,11.6,427,21.5,186,29.8,,,,,,,,,,,,0.11,150,19.7,44.6,6.08,25.9,6.11,1.95,5.96,0.89,4.82,0.89,2.22,0.29,1.8,0.24,4.63,1.79,,,,,,,,0,1.18,,1.96,0.53,0.513016,,,0.702872,,19.789,,15.576,,39.471,,,,,,,,0.283168,,,,,,,10761-MA-215,
[600],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA / PACIFIC OCEAN,,-0.78,-0.78,-91.03,-91.03,SUBAERIAL,,,s SN91-30 [600],"BASALT, TRANSITIONAL [600]",5000 [600],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [600] ,230819.40300000002,20377.559999999998,,72613.2372,,,,100660.34999999999,72184.7,33468.719999999994,1626.3618,,5395.975,24629.6524,1832.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,27,,128,21,,,,,13,308,46,201,37,,,,,,,,,,,,0.14,150,24.8,54,6.9,31.8,8.78,2.9,8.6,1.51,8.9,1.78,4.8,0.62,3.69,0.56,5.3,1.7,,,,,,,,,1.6,,1.9,0.51,,,,,,,,,,,,,,,,,,,,,,,,,11169,
[600],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA / PACIFIC OCEAN,,-0.78,-0.78,-91.03,-91.03,SUBAERIAL,,,s SN91-35 [600],"BASALT, TRANSITIONAL [600]",5000 [600],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [600] ,227173.41000000003,21096.768,,75153.64199999999,,,,103458.63,75686.73,35338.144,1626.3618,,3569.645,23145.9384,1571.1155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,29,,123,24,,,,,7,305,38,190,28,,,,,,,,,,,,0.09,118,19.6,42.9,5.7,26.3,7.39,2.5,7.2,1.28,7.6,1.53,4,0.52,3.15,0.48,4.4,1.2,,,,,,,,,1.8,,1.5,0.41,,,,,,,,,,,,,,,,,,,,,,,,,11171,
[600],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA / PACIFIC OCEAN,,-0.78,-0.78,-91.03,-91.03,SUBAERIAL,,,s SN92-12 [600],"BASALT, TRANSITIONAL [600]",5000 [600],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [600] ,229884.53300000002,20557.362,,72877.8627,,,,99338.93999999999,74757.62000000001,34373.28,1626.3618,,4731.855,23220.124099999997,1614.7576999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,32,,119,23,,,,,10,305,37,189,27,,,,,,,,,,,,0.11,113,18.6,40.9,5.4,24.6,7.04,2.4,7.3,1.25,7.4,1.41,3.9,0.48,2.93,0.43,4.6,1.8,,,,,,,,,1.4,,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,11172,
[600],OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA / PACIFIC OCEAN,,-0.78,-0.78,-91.03,-91.03,SUBAERIAL,,,s SN91-36 [600],"BASALT, TRANSITIONAL [600]",3000 [600],5000 [600],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [600] ,226799.46200000003,24153.402,,69861.132,,,,115118.13,68039.44,30634.431999999997,1781.2534,,5478.990000000001,24629.6524,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,17,,145,23,,,,,12,293,46,228,32,,,,,,,,,,,,0.13,151,25,55.5,7,32.3,8.85,3,8.7,1.53,9.3,1.8,4.9,0.62,3.7,0.57,5.1,1.3,,,,,,,,,1.7,,1.9,0.49,,,,,,,,,,,,,,,,,,,,,,,,,11173,
