Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4594],OCEAN ISLAND,ICELAND / ICELAND / ÖRAEFAJÖKULL / ATLANTIC OCEAN,,64.03,64.03,-16.68,-16.68,SUBAERIAL,,,s OR98 [4594],BENMOREITE [4594],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4594] ,270177.43,9709.308,,72666.16230000001,,14687.400000000001,82471.53,,38951.15,9407.423999999999,2478.2656,,12701.295,36202.6216,2531.2418,,,,,,,,,,,,,,,,2100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5,4,,,23,4,,126,,,,,,32,306,83,395,50.8,,,,,,,,,,,,0.38,395,44.1,95,12.16,55.7,15.47,5.3,16,2.73,16.43,3.24,8.66,1.17,7.1,1.1,10.9,3.11,,,,,,,,,,,4.1,1.21,0.512991,,,0.703762,,18.51,,15.515,,38.445,,,,,,,,,,,,,,,100273,
[2056],OCEANIC PLATEAU,ONTONG JAVA / SOLOMON ISLANDS / OLDER SERIES / PACIFIC OCEAN,"MONO,TREASURY ISLANDS, SHORTLAND ISLANDS",-6.5,-7.5,155.5,156.5,SUBAERIAL,,,s M2 [2056],BENMOREITE [2056],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2056] ,270224.17350000003,14324.226,,73142.4882,,7693.400000000001,39486.840000000004,,47741.96,10372.287999999999,774.4580000000001,,16769.03,51929.99,2313.0313,,,4000.,,,,,,,,,,,,,16500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10448-M2,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ROQUE DEL CONDE MASSIF,28.3,28.3,-16.6,-16.6,SUBAERIAL,,,s AD28 [4843],BENMOREITE [4843],11000000 [4843],,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,265409.59300000005,7671.552,,105532.64940000001,,,,38243.159999999996,35020.3,7779.215999999999,1734.78592,,28598.6675,48443.2621,938.30515,,,,,,,,,,,,,,,,14900.,,,,,,,,,,,,,,,,,,,,,,,,,171,,,1,,33,2,,,,3,1,94,27.8,,,,,79.8,1197,44.2,707,172,,,,,,,,,,,,,811,109.9,206,,79.15,13.15,3.917,10.25,,11.38,,5.67,,4.85,0.693,,,,,,,,,,,8.2,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,104623,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN33 [4843],BENMOREITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,277562.90300000005,6353.004,,104209.5219,,,,30781.079999999998,22298.64,5608.272,1672.82928,,31031.007,50594.6474,859.74937,,,,,,,,,,,,,,,,12400.,,,,,,,,,,,,,,,,,,,,,,,,,332,,,1,,38,3,,,,7,1,134,28.7,,,,,89.7,1521,58.1,1033,254,,,,,,,,,,,,,1159,177,342,,125,,,,,,,,,,,,,,,,,,,,,9,,19,,,,,,,,,,,,,,,,,,,,,,,,,,104662,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN34 [4843],BENMOREITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,279292.41250000003,6293.07,,106908.702,,,,30858.81,23585.1,6151.008,1719.29676,,30242.3645,44140.4915,859.74937,,,,,,,,,,,,,,,,18300.,,,,,,,,,,,,,,,,,,,,,,,,,1161,,,2,,37,5,,,,4,3,141,28.6,,,,,82.1,1558,56.5,1028,251,,,,,,,,,,,,,1161,177,342,,124,,,,,,,,,,,,,,,,,,,,,8.6,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,104663,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN35 [4843],BENMOREITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,275132.24100000004,7012.277999999999,,103151.0199,,,,32646.600000000002,24657.15,6452.528,1618.6172199999999,,30491.4095,50372.090299999996,1064.86724,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,361,,,2,,45,3,,,,8,2,137,27.7,,,,,88,1478,59.1,986,240,,,,,,,,,,,,,1091,172,331,,127,,,,,,,,,,,,,,,,,,,,,8.7,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,104664,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN36 [4843],BENMOREITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,276394.3155,7132.145999999999,,104685.8478,,,,33268.44,25586.260000000002,6693.744000000001,1533.42684,,30292.1735,43472.8202,1003.7683000000001,,,,,,,,,,,,,,,,15500.,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,2,,44,3,,,,9,6,130,28.7,,,,,82.3,1539,57.5,990,240,,,,,,,,,,,,,1114,176,334.2,,131.64,20.647,5.822,15,,10.49,,5.14,,4.18,0.589,,,,,,,,,,,10.78,,18.4,3.07,,,,,,,,,,,,,,,,,,,,,,,,,104665,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE42 [4843],BENMOREITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,273683.1925,6293.07,,106273.6008,,,,35522.61,29660.050000000003,5547.968,1548.9160000000002,,23709.084,50743.0188,864.1135800000001,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,978,,,3,,38,2,,,,3,1,113,28.2,,,,,72.6,1371,39.5,687,177.6,,,,,,,,,,,,,887,122,205,,71,,,,,,,,,,,,,,,,,,,,,9.3,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,104707,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE44 [4843],BENMOREITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,256201.12350000002,9709.308,,101669.1171,,,,48814.44,42167.3,9950.159999999998,1680.57386,,19591.539999999997,47478.848,1928.98082,,,,,,,,,,,,,,,,2900.,,,,,,,,,,,,,,,,,,,,,,,,,1188,,,4,,57,3,,,,4,4,119,25.3,,,,,57.9,1468,47.6,563,167.9,,,,,,,,,,,,,668,104.8,211.6,,89.86,15.212,4.534,11.88,,8.97,,4.21,,3.42,0.478,,,,,,,,,,,6.3,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,104709,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE46 [4843],BENMOREITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,274337.6015,6293.07,,108708.1554,,,,35289.42,30017.4,5849.487999999999,1293.3448600000002,,23900.0185,43695.37729999999,837.92832,,,,,,,,,,,,,,,,17000.,,,,,,,,,,,,,,,,,,,,,,,,,77,,,2,,40,2,,,,3,6,112,27.7,,,,,72.5,1379,38.8,706,181.3,,,,,,,,,,,,,919,120,201,,72,,,,,,,,,,,,,,,,,,,,,8.4,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,104711,
