Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[709],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-70 [709],COMENDITE [709],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [709] ,318743.9265,2397.36,,71554.7352,,20562.36,20442.989999999998,,4288.2,,1703.8076,,37273.735,47998.147899999996,130.9263,,,,,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,54,,,,39,,,35,,,,,128,9,104,1350,201,,,,,,,,,,,,,274,,268,,,,,,,,,,,,,,,,,,,,,,,,,19,9,,,,,,,,,,,,,,,,,,,,,,,,,11711,
[5160],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / TEJEDA CALDERA / MOGAN FORMATION / ATLANTIC OCEAN,"IGNIMBRITE SHEET TL, EASTERN LOBE, MONTANA DE LAS CARBONERAS",28,28,-15.6,-15.6,SUBAERIAL,,,s 1 [5160],COMENDITE [5160],,,,MIOCENE [5160],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5160] ,323885.71150000003,4075.512,,66526.85070000001,,,,29926.05,2644.39,2170.944,1471.4702,,39681.170000000006,39244.2353,261.8526,9100.,,,,600.,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,,,0,13,0,168,,,,,,129,18,68,1551,193,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119185,
[5160],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / TEJEDA CALDERA / MOGAN FORMATION / ATLANTIC OCEAN,"IGNIMBRITE SHEET TL, EASTERN LOBE, MONTANA DE LAS CARBONERAS",28,28,-15.6,-15.6,SUBAERIAL,,,s 4 [5160],COMENDITE [5160],,,,MIOCENE [5160],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5160] ,323698.73750000005,3536.1059999999998,,66950.2515,,,,30703.350000000002,2072.6299999999997,1688.5120000000002,1394.0244,,40262.274999999994,38576.564,130.9263,8700.,,,,500.,,,,,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,,,0,0,58,170,,,,,,125,12,62,1511,183,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119188,
[5160],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / TEJEDA CALDERA / MOGAN FORMATION / ATLANTIC OCEAN,"IGNIMBRITE SHEET TL, WESTERN LOBE, BARRANCO DE MOGAN",28,28,-15.6,-15.6,SUBAERIAL,,,s 7 [5160],COMENDITE [5160],,,,MIOCENE [5160],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5160] ,323184.559,3296.37,,68114.60369999999,,,,33890.280000000006,1786.75,1628.208,1626.3618,,40511.32,37686.3356,174.5684,6500.,,,,1200.,,,,,,,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,15,58,0,183,,,,,,126,15,87,1283,197,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119191,
[5160],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / TEJEDA CALDERA / MOGAN FORMATION / ATLANTIC OCEAN,"IGNIMBRITE SHEET TL, WESTERN LOBE, BARRANCO DE MOGAN",28,28,-15.6,-15.6,SUBAERIAL,,,s 11 [5160],COMENDITE [5160],,,,MIOCENE [5160],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5160] ,321642.0235,3655.9739999999997,,68590.9296,,,,30858.81,2287.04,2412.16,1471.4702,,40096.245,37092.85,218.21050000000002,8200.,,,,1300.,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,,,0,0,44,169,,,,,,120,15,119,1646,213,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119195,
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS / PACIFIC OCEAN,"FERGUSSON ISLAND, SE OF MOUNT LAMONAI",-9,-10.5,150,151,SUBAERIAL,,,s 33714 [5431],COMENDITE [5431],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5431] ,322670.3805,1977.822,,77482.34640000001,,16925.48,7539.8099999999995,,2930.27,1929.7279999999998,774.4580000000001,,40179.26,47923.962199999994,174.5684,,500.,900.,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122183,
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS / PACIFIC OCEAN,"FERGUSSON ISLAND, SUMMIT CRATER, MOUNT OIAU",-9,-10.5,150,151,SUBAERIAL,,,s 33720 [5431],COMENDITE [5431],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5431] ,325568.47750000004,2517.2279999999996,,74253.9153,,8392.8,16245.57,,2930.27,422.12800000000004,1626.3618,,39847.2,47553.0337,130.9263,,5000.,1200.,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122184,
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS / PACIFIC OCEAN,"FERGUSSON ISLAND, NE FLANK OF MOUNT LAMONAI",-9,-10.5,150,151,SUBAERIAL,,,s 33729 [5431],COMENDITE [5431],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5431] ,330383.0580000001,1678.152,,74571.4659,,6924.0599999999995,14457.78,,2358.51,904.56,697.0122,,41009.41,45698.3912,87.2842,,3600.,1400.0000000000002,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122185,
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS / PACIFIC OCEAN,"FERGUSSON ISLAND, NUMANUMA BAY",-9,-10.5,150,151,SUBAERIAL,,,s 33733 [5431],COMENDITE [5431],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5431] ,328045.88300000003,1738.0859999999998,,66262.2252,,22310.86,12048.15,,3001.74,783.952,1161.687,,38103.885,40505.392199999995,130.9263,,3900.,5600.000000000001,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122187,
[5431],CONVERGENT MARGIN,BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / D^ENTRECASTEAUX ISLANDS / PACIFIC OCEAN,"FERGUSSON ISLAND, NORTH OF NUMANUMA BAY",-9,-10.5,150,151,SUBAERIAL,,,s 33741 [5431],COMENDITE [5431],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5431] ,338563.17050000007,1498.35,,55571.355,,13988,20054.34,,1214.99,241.21599999999998,851.9038,,36111.524999999994,43843.7487,43.6421,,3100.,900.,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122188,
