Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[3207],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793 / PACIFIC OCEAN,HOLE 793B,31.1055,31.1055,139.8878,139.8878,SUBAQUATIC,-2975.3,-2975.3,"s 126-793B-1R-1,1,132-136004 [3207]",DIABASE [3207],,,,,,,,,PLUTONIC ROCK,587.82,587.82,,,WHOLE_ROCK [3207] ,243393.40450000003,3176.502,,76529.6946,,,,70190.18999999999,78688.47,56746.064,1471.4702,,2158.39,12166.4548,218.21050000000002,,,,,,,,,,,,,,,,5500.,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,266,260,,,,104,112,70,14.9,,,,,4.1,113,17.4,32.6,0,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10020-793B-1R-1, 1, 132-136 004",
[3207][2352],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793 / PACIFIC OCEAN,HOLE 793B,31.1055,31.1055,139.8878,139.8878,SUBAQUATIC,-2975.3,-2975.3,"s 126-793B-1R-1,1,35-39001 [3207] / s 126-793B-1R-1,35-39 001 [2352]",DIABASE [3207],,,,,,,,,PLUTONIC ROCK,586.79,586.79,,,WHOLE_ROCK [3207] ,246992.65400000004,3476.1719999999996,,78593.7735,,,,74232.15000000001,72827.93,51620.224,1239.1328,,2158.39,14392.0258,261.8526,,,,,,,,,,,,,,,,4800.,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,288,167,,,,76,58,69,14.9,,,,,2.8,116,17.9,34.4,0.13,,,,,,,,,,,,,37,1.26,3.85,,3.51,1.28,0.47,1.85,,2.36,,1.48,,1.51,0.23,,,,,,,,,,,0.54,,0.14,0.06,,,,,,,,,,,,,,,,,,,,,,,,,"10020-793B-1R-1, 1, 35-39 001",
[3207][2352],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793 / PACIFIC OCEAN,HOLE 793B,31.1055,31.1055,139.8878,139.8878,SUBAQUATIC,-2975.3,-2975.3,"s 126-793B-1R-2,2,61-65007 [3207] / s 126-793B-1R-2,61-65 007 [2352]",DIABASE [3207],,,,,,,,,PLUTONIC ROCK,588.6,588.6,,,WHOLE_ROCK [3207] ,248207.98500000002,3476.1719999999996,,77694.0468,,,,68557.86,74972.03,54213.295999999995,1239.1328,,2656.48,13946.9116,261.8526,,,,,,,,,,,,,,,,3000.,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,277,255,,,,100,99,73,14.9,,,,,4.3,116,18.1,36.4,0.21,,,,,,,,,,,,,66,1.64,4.47,,4.04,1.43,0.53,1.99,,2.56,,1.62,,1.72,0.3,,,,,,,,,,,0.77,,0.18,0.11,0.513086,,,0.70381,,18.33,,15.518,,38.217,,,,,,,,,,,,,,,"10020-793B-1R-2, 2, 61-65 007",
[3207],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793 / PACIFIC OCEAN,HOLE 793B,31.1055,31.1055,139.8878,139.8878,SUBAQUATIC,-2975.3,-2975.3,"s 126-793B-1R-2,2,91-95008 [3207]",DIABASE [3207],,,,,,,,,PLUTONIC ROCK,588.92,588.92,,,WHOLE_ROCK [3207] ,247132.88450000001,3356.304,,78329.148,,,,68713.31999999999,73399.69,53067.520000000004,1161.687,,2656.48,14614.5829,218.21050000000002,,,,,,,,,,,,,,,,5300.,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,265,200,,,,89,97,67,14.8,,,,,4.2,117,17.3,35.3,0.1,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10020-793B-1R-2, 2, 91-95 008",
[3207][2352],CONVERGENT MARGIN,IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793 / PACIFIC OCEAN,HOLE 793B,31.1055,31.1055,139.8878,139.8878,SUBAQUATIC,-2975.3,-2975.3,"s 126-793B-1R-3,3,77-82011 [3207] / s 126-793B-1R-3,77-82 011 [2352]",DIABASE [3207],,,,,,,,,PLUTONIC ROCK,590.12,590.12,,,WHOLE_ROCK [3207] ,245777.323,3356.304,,77429.4213,,,,67469.64,76901.72,55841.50399999999,1316.5786,,2324.42,14540.3972,261.8526,,,,,,,,,,,,,,,,6800.000000000001,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,290,275,,,,106,88,72,14.4,,,,,4.8,114,17.7,34.2,0.2,,,,,,,,,,,,,45,1.45,4.06,,3.7,1.36,0.52,1.93,,2.49,,1.58,,1.63,1.25,,,,,,,,,,,0.21,,0.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,"10020-793B-1R-3, 3, 77-82 011",
[4736],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU / PACIFIC OCEAN,"MATSUBARA, S OF HITA CITY, OITA PREFECTURE",33.3,33.3,131,131,SUBAERIAL,,,s 19A [4736],"DIABASE, HORNBLENDE [4736]",,,,NEOGENE [4736],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4736] ,258024.12000000002,2517.2279999999996,,87908.5911,,19653.14,31636.11,,59177.159999999996,28945.92,542.1206000000001,,15357.775000000001,32567.522299999997,1483.8314,,7400.,5900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105307,
[4736],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU / PACIFIC OCEAN,"MATSUBARA, S OF HITA CITY, OITA PREFECTURE",33.3,33.3,131,131,SUBAERIAL,,,s 30A [4736],"DIABASE, HORNBLENDE [4736]",,,,NEOGENE [4736],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4736] ,255499.971,5154.324,,84045.05880000001,,27416.48,53711.43,,50100.47,28041.36,1161.687,,10542.905,24036.1668,1265.6209,,10000,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105308,
[2620],CONTINENTAL FLOOD BASALT,PARANA / NORTHERN PARANA PROVINCE,RIO PIRACICABA,-22.75,-22.75,-47.67,-47.67,SUBAERIAL,,,s SPR1174 [2620],DIABASE [2620],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2620] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,111551,
[2620],CONTINENTAL FLOOD BASALT,PARANA / NORTHERN PARANA PROVINCE,PRES. EPITACIO,-21.75,-21.75,-52.1,-52.1,SUBAERIAL,,,s SPR1178 [2620],DIABASE [2620],,,,CRETACEOUS [2620],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2620] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707,,,,,,,,,,,,,,,,,,,,,111554,
[2620],CONTINENTAL FLOOD BASALT,PARANA / NORTHERN PARANA PROVINCE,UBATUBA,-23.47,-23.47,-45.05,-45.05,SUBAERIAL,,,s SPR1180 [2620],DIABASE [2620],,,,CRETACEOUS [2620],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2620] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708,,,,,,,,,,,,,,,,,,,,,111557,
