Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / LEBOMBO REGION / LETABA RIVER FORMATION,DIKE INRUSIVE INTO LETABA RIVER FORMATION,-21.5,-25.7,30.5,32.9,SUBAERIAL,,,s FM7993(KP-89) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,20421.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101273,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7761(D40) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,3486.6299999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101274,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7761(D40) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,830.1500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101275,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7762(D34) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,6143.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101276,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7762(D34) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,996.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101277,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7762(D34) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,1162.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101278,
[2660],CONTINENTAL FLOOD BASALT,KAROO PROVINCE - AFRICA / KAROO CENTRAL AREA / LESOTHO FORMATION,DIKES CUTTING LESOTHO BASALT FORMATION,-28.7,-31.8,27,29.6,SUBAERIAL,,,s FM7762(D34) [2660],DOLERITE [2660],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2660] ,,,,,,,,,,,,,4067.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101279,
[2588],CONTINENTAL FLOOD BASALT,PARANA / SOUTHERN PARANA PROVINCE,RIO GRANDE DO SUL,-29,-30,-49.5,-50.5,SUBAERIAL,,,s 295 [2588],DOLERITE [2588],,,,MESOZOIC [2588],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2588] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7117,,,,,,,,,,,,,,,,,,,,,101311,
[6211],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ITINOME-GATA/ICHINOMEGATE / PACIFIC OCEAN,"OGA PENINSULA, AKITA PREFECTURE",39.95,39.95,139.73,139.73,SUBAERIAL,,,s I-59 [6211],DOLERITE [6211],10000 [6211],10000 [6211],,,,,,COARSE GRAINED [6211] ,PLUTONIC ROCK,,,FRESH,,WHOLE_ROCK [6211] ,203100.50750000004,3236.436,,138504.9867,,70919.16,34123.469999999994,,96055.68,19538.496,1316.5786,,1245.225,15059.697099999998,2531.2418,,14400.,1000.,,,,,,,,,,,,,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10261-I-59,
[2745],CONTINENTAL FLOOD BASALT,DECCAN / SOUTHERN DECCAN,BOMBAY ISLAND,19.03,19.03,72.92,72.92,SUBAERIAL,,,s 26 [2745],DOLERITE [2745],,,,CENOZOIC [2745],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [2745] ,229089.8935,18819.275999999998,,80657.8524,,23709.66,92343.24,,68110.90999999999,21709.44,,,6309.14,23294.3098,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102742,
