Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5530],INTRAPLATE VOLCANICS,AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / TEROWIE FORMATION,"TEROWIE, ADELAIDE FOLD BELT",-33.1667,-33.1667,138.9,138.9,SUBAERIAL,,,s TRWIB [5530],KIMBERLITE [5530],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5530] ,199828.46250000002,18759.341999999997,,37841.446500000005,,,,73998.95999999999,60820.97,103361.056,1394.0244,,31794.745,7566.9414,4887.9152,,,,,,,,,,,,,,,,32800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,,407.2,1043,,,,487,,,16.5,,,,,179,678.9,19,294.2,119.1,,,,,,,,,,,,,4471,73,109,,78.92,11.35,,,,,,,,,,,,,,,,,,,,11.3,,14.5,,0.512543,,,0.70808,,,,,,,,,,,,,,,,,,,,,213384,
[5530],INTRAPLATE VOLCANICS,AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / TEROWIE FORMATION,"TEROWIE, ADELAIDE FOLD BELT",-33.1667,-33.1667,138.9,138.9,SUBAERIAL,,,s TRWIC [5530],KIMBERLITE [5530],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5530] ,208055.3185,18639.474,,37788.5214,,,,78507.3,61893.020000000004,89310.224,1394.0244,,35447.405,10831.1122,3971.4311000000002,,,,,,,,,,,,,,,,25000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,511.1,1139,,,,414,,,16.3,,,,,162.6,518,16,310.4,113.3,,,,,,,,,,,,,4078,86,125,,47.7,7.75,,,,,,,,,,,,,,,,,,,,10.2,,14.2,,0.512568,,,0.70924,,,,,,,,,,,,,,,,,,,,,213385,
[5530],INTRAPLATE VOLCANICS,AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / TEROWIE FORMATION,"TEROWIE, ADELAIDE FOLD BELT",-33.1667,-33.1667,138.9,138.9,SUBAERIAL,,,s TRWID [5530],KIMBERLITE [5530],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5530] ,205811.63050000003,17380.859999999997,,38688.2481,,,,72677.55,55961.01,100767.984,1548.9160000000002,,38103.885,8828.0983,4102.3574,,,,,,,,,,,,,,,,28800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,512.4,1033,,,,356,,,17.8,,,,,170.4,446.5,18,310.4,113.3,,,,,,,,,,,,,3552,65,100,,47.57,7.704,,,,,,,,,,,,,,,,,,,,10.2,,14.2,,0.512518,,,0.710548,,,,,,,,,,,,,,,,,,,,,213386,
[5530],INTRAPLATE VOLCANICS,AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / TEROWIE FORMATION,"TEROWIE, ADELAIDE FOLD BELT",-33.1667,-33.1667,138.9,138.9,SUBAERIAL,,,s TRWIA [5530],KIMBERLITE [5530],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5530] ,151963.1185,17021.255999999998,,18470.859900000003,,,,76486.31999999999,47170.2,147141.75999999998,1548.9160000000002,,18097.27,6157.4131,2225.7471,,,,,,,,,,,,,,,,144500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,244.4,1254,,,,846,,,11.9,,,,,29.9,116.7,12.6,171.2,112.3,,,,,,,,,,,,,1350,56,85,,53.7,7.911,,,,,,,,,,,,,,,,,,,,5.9,,11.9,,0.512657,,,0.712262,,,,,,,,,,,,,,,,,,,,,213387,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / MERY KIMBERLITE PIPE,UPPER MOLODO CLUSTER,70.4,70.4,120.6,120.6,SUBAERIAL,,,s ME-5211 [9803],KIMBERLITE [9803],156000000 [9803],156000000 [9803],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,131629.69600000003,31465.35,,15454.1292,,,,92809.62,149443.77,162881.104,1626.3618,,10293.86,2448.1281,3011.3048999999996,,,,,189000.,,,,,,,,,,,229300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,1143,,,,,,,,,,,,,,,,,,,,56.67,7.81,,,,,,,,,0.0752,3.204,,,,,,,,,,5.77,,,,0.512774,,,0.705637,,19.599,,15.595,,39.86,,,,,,,,0.282851,,,,,,,277978,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / RUSLOVAYA KIMBERLITE PIPE,KUOYKA FIELD,70.48,70.48,120.6,120.6,SUBAERIAL,,,s OL-R-52 [9803],KIMBERLITE [9803],158000000 [9803],158000000 [9803],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,197397.8005,599.34,,6033.4614,,,,60707.13,17938.969999999998,269739.79199999996,929.3496,,1245.225,445.1142,1178.3367,,,,,23600.,,,,,,,,,,,106700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,311,,,,,,,,,,,,,,,,,,,,28.23,3.94,,,,,,,,,0.0413,0.425,,,,,,,,,,3.14,,,1.49,0.512737,,,0.705309,,19.413,,15.582,,39.35,,,,,,,,,,,,,,,277979,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / POZDNYAYA KIMBERLITE PIPE,LUCHAKAN FIELD,69.22,69.22,114.5,114.5,SUBAERIAL,,,s P-14088 [9803],KIMBERLITE [9803],217000000 [9803],217000000 [9803],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,173792.333,24632.874,,23392.8942,,,,89311.77,80046.4,157996.47999999998,1239.1328,,23244.199999999997,1928.8282,3971.4311000000002,,,,,23500.,,,,,,,,,,,89100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,465,,,,,,,,,,,,,,,,,,,,91.16,13.12,,,,,,,,,0.14,5.801,,,,,,,,,,3.55,,,3.18,0.5127,,,0.705639,,21.003,,15.656,,41.8,,,,,,,,0.28287,,,,,,,277980,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / PODSNEZHNAYA KIMBERLITE PIPE,KHARAMAY FIELD,69,69,104,104,SUBAERIAL,,,s ES-12/42 [9803],KIMBERLITE [9803],250000000 [9803],250000000 [9803],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,155702.59850000002,11747.063999999998,,18153.3093,,,,76952.7,109277.62999999999,190862.15999999997,1626.3618,,12950.34,1038.5998,6284.462399999999,,,,,85700.,,,,,,,,,,,171700.00000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,1570,,,,,,,,,,,,,,,,,,,,83.15,12.48,,,,,,,,,0.0966,5.176,,,,,,,,,,9.72,,,,0.512644,,,0.704203,,18.77,,15.497,,38.73,,,,,,,,0.282904,,,,,,,277981,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / NOVINKA KIMBERLITE PIPE,UPPER MUNA FIELD,68,68,115,115,SUBAERIAL,,,s NV-4/4 [9803],KIMBERLITE [9803],365000000 [9803],365000000 [9803],,DEVONIAN [9803],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,164864.32450000002,11387.46,,11802.2973,,,,76797.24,73185.28,221858.41599999997,1471.4702,,11705.115,1112.7855,3709.5785,,,,,62699.99999999999,,,,,,,,,,,177399.99999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,585,,,,,,,,,,,,,,,,,,,,65.33,8.76,,,,,,,,,0.0596,2.96,,,,,,,,,,3.96,,,3.41,0.512565,,,0.70622,,21.231,,15.662,,41.87,,,,,,,,0.282691,,,,,,,277983,
[9803],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / UDACHNAYA KIMBERLITE,"UDACHNAYA-EAST PIPE, NW DALDYN FIELD",66.43,66.43,112.32,112.32,SUBAERIAL,,,s US-217-170 [9803],KIMBERLITE [9803],365000000 [9803],365000000 [9803],,DEVONIAN [9803],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9803] ,172296.541,9349.704,,14183.926800000001,,,,77730,55532.189999999995,231024.624,1316.5786,,7886.424999999999,741.857,2094.8208,,,,,43300.,,,,,,,,,,,160900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,358,,,,,,,,,,,,,,,,,,,,42.06,5.66,,,,,,,,,0.0507,2.205,,,,,,,,,,4.03,,,1.95,0.512578,,,0.707279,,20.698,,15.632,,41.05,,,,,,,,0.282707,,,,,,,277984,
