Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,PLAYA PIZARRO,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR502_LEACHATE 1 [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703458,,,,,,,,,,,,,,,,,,,,,130250,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,CAMARONERA,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR524_LEACHATE 1 [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703512,,,,,,,,,,,,,,,,,,,,,130251,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,LA MANCURA,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR539_LEACHATE 1 [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70366,,,,,,,,,,,,,,,,,,,,,130252,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,PLAYA PIZARRO,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR502_RESIDUE [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702862,,,,,,,,,,,,,,,,,,,,,130261,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,CAMARONERA,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR524_RESIDUE [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703455,,,,,,,,,,,,,,,,,,,,,130262,
[5811],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,LA MANCURA,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR539_RESIDUE [5811],KOMATIITE [5811],,,,CRETACEOUS [5811],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5811] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703463,,,,,,,,,,,,,,,,,,,,,130263,
[6006],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,,3,3,-78.32,-78.32,SUBAERIAL,,,s GOR-155 [6006],KOMATIITE [6006],,,,CRETACEOUS [6006],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [6006] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,18.332,,15.499,,37.822,,,,,,,,,,,,,,,130891,
[5398],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,,3,3,-78.32,-78.32,SUBAERIAL,,,s 23B [5398],KOMATIITE [5398],,,,CRETACEOUS [5398],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5398] ,208943.44500000004,4015.578,,63510.12,,,,97162.5,71255.59000000001,108547.2,1471.4702,,249.045,6825.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154248,
[5398],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,,3,3,-78.32,-78.32,SUBAERIAL,,,s 2P [5398],KOMATIITE [5398],,,,CRETACEOUS [5398],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5398] ,216422.405,3655.9739999999997,,62980.869000000006,,,,82393.8,72899.4,113974.55999999998,1394.0244,,166.03,8605.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154255,
[5398],OCEANIC PLATEAU,CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN,,3,3,-78.32,-78.32,SUBAERIAL,,,s 5P [5398],KOMATIITE [5398],,,,CRETACEOUS [5398],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5398] ,215020.1,3536.1059999999998,,63510.12,,,,85503,73614.1,110959.35999999999,1239.1328,,166.03,8234.6127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154257,
