Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM2 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,174306.51150000002,15582.84,,61340.1909,,,,104080.47,96198.62000000001,54333.903999999995,2633.1572,,22995.155,37760.5213,9688.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,65,1611,53,366,169,,,,,,,,,,,,,842,223,368,,167,23.7,5.1,,,13.7,,,,5.4,,,,,,,,,,,,6,,24,,,,,,,,,,,,,,,,,,,,,,,,,,100287,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM4-2 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,171127.9535,15462.972,,60493.3893,,,,102914.52,102702.39,51318.704,2633.1572,,24406.41,38724.935399999995,9950.398799999999,,5699.999999999999,1600.,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,73,2168,52,354,157,,,,,,,,,,,,,1600,214,357,,160,23.6,4.9,,,13.4,,,,4.9,,,,,,,,,,,,9,,23,,,,,,,,,,,,,,,,,,,,,,,,,,100288,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM4-3 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,171221.44050000003,15582.84,,60546.3144,,,,104080.47,103202.68,52464.479999999996,2633.1572,,21915.960000000003,33680.3078,10124.9672,,14900.,2000.,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,68,2286,52,352,154,,,,,,,,,,,,,1699,213,359,,162,23.6,4.9,,,13.3,,,,5.1,,,,,,,,,,,,9,,23,,,,,,,,,,,,,,,,,,,,,,,,,,100289,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM7 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,176036.021,15343.104,,61710.666600000004,,,,103303.17,94411.87000000001,56323.935999999994,2710.6029999999996,,18927.42,31083.8083,9470.3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,59,2033,54,370,160,,,,,,,,,,,,,1092,213,356,,160,23.4,4.8,,,13.1,,,,5.5,,,,,,,,,,,,9,,24,,,,,,,,,,,,,,,,,,,,,,,,,,100290,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM14-2 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,170006.1095,15403.037999999999,,60017.0634,,,,102681.33,104703.55,51499.615999999995,2555.7114,,22580.08,34793.0933,9994.0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,71,2299,51,350,152,,,,,,,,,,,,,1856,213,360,,164,23.6,5,,,13.2,,,,5.3,,,,,,,,,,,,10,,22,,,,,,,,,,,,,,,,,,,,,,,,,,100291,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM21-8 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,172857.463,15522.905999999999,,59964.138300000006,,,,103925.01,108205.58,51921.74399999999,2633.1572,,18097.27,28190.566,9819.4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,68,2210,53,369,162,,,,,,,,,,,,,1553,216,361,,174,23.6,5,,,13.4,,,,5.4,,,,,,,,,,,,9,,24,,,,,,,,,,,,,,,,,,,,,,,,,,100292,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM16-1 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,171221.44050000003,15522.905999999999,,60440.4642,,,,103380.90000000001,103345.62000000001,52042.352,2633.1572,,19176.465,34273.7934,9950.398799999999,,14200.,4300.,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,61,2937,52,360,158,,,,,,,,,,,,,1891,195,326,,152,21.6,4.5,,,12.2,,,,4.8,,,,,,,,,,,,9,,23,,0.512824,,,0.703885,,,,,,,,,,,,,,,,,,,,,100293,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM12 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,172717.2325,15582.84,,61022.6403,,,,104391.39,85192.24,58133.056,2942.9404,,23908.32,37018.6643,9688.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,70,1274,52,348,143,,,,,,,,,,,,,1250,217,356,,164,23.4,5,,,13.3,,,,5,,,,,,,,,,,,9,,23,,,,,,,,,,,,,,,,,,,,,,,,,,100294,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM22-7 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,172390.02800000002,15642.773999999998,,59858.288100000005,,,,103769.55,108562.93,51318.704,2633.1572,,15855.865,30490.3227,9950.398799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,51,2102,51,347,140,,,,,,,,,,,,,1058,215,359,,170,23.5,5,,,13.1,,,,5.3,,,,,,,,,,,,5,,22,,,,,,,,,,,,,,,,,,,,,,,,,,100295,
[4737],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / HAMADA-NAGAHAMA / PACIFIC OCEAN,SHIMANE PREFECTURE,34,35,131,133,SUBAERIAL,,,s HM14-1 [4737],NEPHELINITE [4737],,,,CENOZOIC [4737],,,,EXTREMELY FINE-GRAINED [4737] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4737] ,170567.0315,15522.905999999999,,60122.9136,,,,104935.5,94697.75,57107.888,2633.1572,,21998.975,33680.3078,9819.4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,67,1737,51,349,148,,,,,,,,,,,,,1099,211,352,,160,23.3,4.8,,,13,,,,5.2,,,,,,,,,,,,9,,23,,0.512846,,,0.703859,,,,,,,,,,,,,,,,,,,,,100296,
