Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[709],OCEAN ISLAND,AZORES / TERCEIRA / PICO ALTO / ATLANTIC OCEAN,,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s P16 [709],PANTELLERITE [709],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [709] ,312153.09300000005,3176.502,,55835.980500000005,,17974.579999999998,45083.4,,3644.9700000000003,482.43199999999996,2633.1572,,36941.675,54155.560999999994,174.5684,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,39,,,,,187,2,152,1742,304,,,,,,,,,,,,,201,,367,,,,,,,,,,,,,,,,,,,,,,,,,29,19,,,,,,,,,,,,,,,,,,,,,,,,,11713,
[709],OCEAN ISLAND,AZORES / TERCEIRA / PICO ALTO / ATLANTIC OCEAN,,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 90-173 [709],PANTELLERITE [709],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [709] ,310984.5055,3056.634,,58746.861,,19093.62,40497.33,,3144.68,603.04,2555.7114,,38352.93,53933.003899999996,130.9263,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,39,,,,,178,1,143,1616,285,,,,,,,,,,,,,231,,341,,,,,,,,,,,,,,,,,,,,,,,,,26,20,,,,,,,,,,,,,,,,,,,,,,,,,11714,
[709],OCEAN ISLAND,AZORES / TERCEIRA / PICO ALTO / ATLANTIC OCEAN,,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 90-175 [709],PANTELLERITE [709],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [709] ,312012.86250000005,3296.37,,63298.41960000001,,20982,36688.56,,3930.8500000000004,904.56,2555.7114,,39515.14,51633.2472,130.9263,,,,,,,,,,,,,,,,1600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,39,,,,,155,2,120,1335,246,,,,,,,,,,,,,164,,293,,,,,,,,,,,,,,,,,,,,,,,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,11715,
[709],OCEAN ISLAND,AZORES / TERCEIRA / PICO ALTO / ATLANTIC OCEAN,,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 90-182T [709],PANTELLERITE [709],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [709] ,307852.69100000005,3296.37,,64145.2212,,22870.38,33579.36,,4931.429999999999,1206.08,2555.7114,,39183.079999999994,49110.9334,130.9263,,,,,,,,,,,,,,,,8700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,,,,0,,,39,,,,,142,7,115,1257,234,,,,,,,,,,,,,143,,279,,,,,,,,,,,,,,,,,,,,,,,,,22,16,,,,,,,,,,,,,,,,,,,,,,,,,11716,
[4932],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / LAS NAVAJAS / LAS CUEVAS ASH / PACIFIC OCEAN,,21.5,21.58,-104.58,-104.83,SUBAERIAL,,,s 152A [4932],PANTELLERITE [4932],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4932] ,344499.59500000003,1198.68,,49749.594000000005,,,,39253.65,3144.68,1809.12,1703.8076,,42088.605,20771.996,87.2842,,,,,,,,,,,,,,,,28000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,231,,,,,,162,25,127,839,,,,,,,,,,,,,,117,113,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142345,
[4932],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / LAS NAVAJAS / PACIFIC OCEAN,INTRA-CALDERA STAGE,21.5,21.58,-104.58,-104.83,SUBAERIAL,,,s 116 [4932],PANTELLERITE [4932],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4932] ,336085.7650000001,719.208,,44457.084,,,,53633.700000000004,1000.58,603.04,1781.2534,,35032.329999999994,44511.42,43.6421,,,,,,,,,,,,,,,,5900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,286,,,,,,189,9,163,1200,,,,,,,,,,,,,,67,138,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142347,
[4932],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / LAS NAVAJAS / PACIFIC OCEAN,INTRA-CALDERA STAGE,21.5,21.58,-104.58,-104.83,SUBAERIAL,,,s 108 [4932],PANTELLERITE [4932],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4932] ,336085.7650000001,719.208,,43398.581999999995,,,,51690.450000000004,786.17,0.,2013.5908,,33289.015,51929.99,87.2842,,,,,,,,,,,,,,,,5500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,433,,,,,,289,10,279,2049,,,,,,,,,,,,,,91,257,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142348,
[4932],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / LAS NAVAJAS / PACIFIC OCEAN,INTRA-CALDERA STAGE,21.5,21.58,-104.58,-104.83,SUBAERIAL,,,s 114 [4932],PANTELLERITE [4932],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4932] ,339825.24500000005,719.208,,47632.590000000004,,,,44228.37,1072.05,603.04,2168.4824000000003,,34949.315,45253.276999999995,43.6421,,,,,,,,,,,,,,,,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,226,,,,,,202,4,173,1269,,,,,,,,,,,,,,31,155,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142349,
[4932],CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / NAYARIT / LAS NAVAJAS / PACIFIC OCEAN,,21.5,21.58,-104.58,-104.83,SUBAERIAL,,,s 189A [4932],PANTELLERITE [4932],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4932] ,334683.46,1378.482,,44986.335,,,,54644.19,2001.16,603.04,2400.8197999999998,,35447.405,43027.706,87.2842,,,,,,,,,,,,,,,,11700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,239,,,,,,131,5,128,890,,,,,,,,,,,,,,29,100,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142350,
[1280],OCEAN ISLAND,AZORES / TERCEIRA / PICO ALTO / ATLANTIC OCEAN,"FURNAS DO ENXOFRE, COULEE CUT BY BAGACINA - CABRITA ROAD",38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s T-0052 [1280],PANTELLERITE [1280],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1280] ,309535.457,3236.436,,56153.5311,,,,65837.31000000001,5717.6,2653.3759999999997,2710.6029999999996,,38186.899999999994,52004.1757,87.2842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14444,
