Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R49 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,217637.73600000003,8690.429999999998,,99657.96329999999,,,,45083.4,39665.85,9528.032,2400.8197999999998,,35530.420000000006,61870.873799999994,1876.6103,,,,,,,,,,,,,,,,53700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,8,,,,31,,,40,,,,,121,2726,43,1168,337.7,,,,,,,,,,,,,1886,,409.3,,,,,,,,,,,,,,,,,,,,,,,36,,47.55,9.68,,,,,,,,,,,,,,,,,,,,,,,,,100054,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R25 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,241850.86900000004,4255.313999999999,,111407.33550000002,,,,32024.760000000002,21512.469999999998,3316.7200000000003,1858.6992,,43748.905,77449.87079999999,610.9894,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,59,4,,,,31,,,38,,,,,158,2251,31,1075,262.3,,,,,,,,,,,,,1764,140.37,220.75,19.24,58.07,8.06,2.52,7.633,0.93,5.57,1.11,3.13,0.47,2.87,,17.53,,,,,,,,,,35,,50.41,10.41,0.5127,,,0.7043,,,,,,,,,,,,,,,,,,,,,100055,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R123 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,235260.0355,5873.531999999999,,111936.58649999999,,,,36533.1,22441.58,5367.056,1858.6992,,43084.785,70253.8579,741.9157,,,,,,,,,,,,,,,,23700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,80,5,,,,30,,,43,,,,,169,1937,39,1190,320.5,,,,,,,,,,,,,1578,152.01,246.42,22.37,68.15,10.14,3.02,8.728,1.11,6.81,1.33,3.51,0.52,3.13,,17.29,,,,,,,,,,36,,57.86,6.06,0.5127,,,0.7045,,,,,,,,,,,,,,,,,,,,,100056,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R137 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,240635.538,4255.313999999999,,111354.4104,,,,31014.27,18725.14,3015.2,2013.5908,,45741.265,76485.4567,480.0631,,,,,,,,,,,,,,,,21800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,27,,,43,,,,,159,1820,30,1267,291.1,,,,,,,,,,,,,1588,,240.63,,,,,,,,,,,,,,,,,,,,,,,33,,46.52,9.86,,,,,,,,,,,,,,,,,,,,,,,,,100060,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R68 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,268868.612,2637.096,,105797.27489999999,,,,28060.53,20297.48,1809.12,1858.6992,,42005.59,59719.4885,305.4947,,,,,,,,,,,,,,,,6300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,1427,29,852,173.9,,,,,,,,,,,,,1537,131.08,217.18,19.68,59.84,8.14,2.6,5.74,0.92,5.18,1.02,2.97,0.41,2.76,,16.25,,,,,,,,,,20,,25.45,5.38,,,,,,,,,,,,,,,,,,,,,,,,,100061,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R114 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,265175.8755,2277.4919999999997,,106961.62710000001,,,,26739.12,22155.7,2894.5919999999996,1781.2534,,45077.145,47998.147899999996,261.8526,,,,,,,,,,,,,,,,22400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,1633,26,797,162.9,,,,,,,,,,,,,1730,127.18,213.82,19.04,58.76,8.03,2.43,5.47,0.87,5.11,0.97,2.89,0.42,2.57,,15.6,,,,,,,,,,19,,25.03,5.2,0.5127,,,0.7041,,,,,,,,,,,,,,,,,,,,,100063,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,NEAR JEDEY VILLAGE,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1613 [4795],PHONOLITE [4795],,,,PREHISTORIC [4795],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,254097.66600000003,6712.608,,106961.62710000001,,,,33190.71,27944.77,5186.143999999999,1316.5786,,34700.27,62464.359399999994,1003.7683000000001,2300.,,,,,,,,,,,,3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,,,12,6,15,111,30,,,,,122,1510,24,630,118,,,,,,,,,,,,,1165,127,173,22,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105269,
[4846],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,"MARETA, PORIS MEMBER",28,28.25,-16.25,-16.75,SUBAERIAL,,,s DH97-22D [4846],PHONOLITE [4846],,,,QUATERNARY [4846],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4846] ,268073.97250000003,5573.862,,107702.57850000002,,,,29071.02,14508.409999999998,4281.584,1394.0244,,46073.325,66618.7586,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,60,1,,,,8,1,115,32,,,,,185,271,31,1089,226,,,,,,,,,,,,2.53,472,106,152,12.7,40,6.7,1.78,5.35,0.87,5.01,1.04,3.04,0.49,3.39,0.55,21.4,9.5,,,,,,,,,16.3,,31,8.9,,,,,,,,,,,,,,,,,,,,,,,,,105372,
[4846],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,"MARETA, PORIS MEMBER",28,28.25,-16.25,-16.75,SUBAERIAL,,,s DH97-4A [4846],PHONOLITE [4846],,,,QUATERNARY [4846],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4846] ,264334.4925,10008.978,,103045.1697,,,,40030.950000000004,26586.84,9829.551999999998,1316.5786,,39266.095,48146.5193,1832.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,112,9,,,,5,0,108,25,,,,,106,582,42,622,192,,,,,,,,,,,,1.24,875,115,200,20.3,74,13.2,3.67,10.8,1.62,8.57,1.6,3.98,0.56,3.22,0.49,13,12.2,,,,,,,,,10.8,,16.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,105375,
[4846],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,"DIEGO HERNANDEZ II, CALDERA WALL",28.3,28.3,-16.6,-16.6,SUBAERIAL,,,s DH97-5A [4846],PHONOLITE [4846],,,,QUATERNARY [4846],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4846] ,284948.37600000005,3236.436,,114476.9913,,,,20287.53,8290.519999999999,2170.944,1316.5786,,55537.035,42953.5203,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,31,0,,,,8,1,101,32,,,,,177,95,18,919,166,,,,,,,,,,,,2.18,137,89,101,7.7,21,3.04,0.71,2.63,0.43,2.57,0.58,1.82,0.33,2.44,0.41,16.9,5.5,,,,,,,,,17.4,,27.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,105376,
