Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,150 M NW OF HOYO NEGRO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1512 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,227874.56250000003,15103.367999999999,,93148.176,,,,65992.77,51029.579999999994,20322.448,1626.3618,,23908.32,42508.4061,3316.7996000000003,4300.,,,,,,,,,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,39,,,39,35,56,134,30,,,,,69,1856,42,570,168,,,,,,,,,,,,,1169,178,263,25,86,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105262,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,150 M NW OF HOYO NEGRO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1514 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,227500.61450000003,15522.905999999999,,90290.2206,,,,67080.99,51029.579999999994,24362.816,1626.3618,,24240.38,42656.7775,3229.5153999999998,4200.,,,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,60,,,23,53,58,141,29,,,,,103.2,1791,43.65,640,193,,,,,,,,,,,,,1095,154.9,257.1,25.99,86.11,13.62,3.88,11.41,1.47,7.22,1.3,3.48,0.45,2.87,0.41,11.73,9.58,,,,,,,,,2.81,,26.8,9.61,,,,,,,,,,,,,,,,,,,,,,,,,105263,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,RIDGE NORTH OF HOYO NEGRO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s WHJ9254 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,220348.85900000003,18759.341999999997,,83409.95760000001,,,,78196.38,60749.5,33227.50399999999,1626.3618,,20670.735,38502.378300000004,3622.2943,3600.,,,,,,,,,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,115,,,39,77,60,137,26,,,,,70,1572,37,549,164,,,,,,,,,,,,,940,155,238,24,84,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105264,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,100 M W OF HOYO NEGRO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1509 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,215160.3305,18939.144,,90396.0708,,,,72211.17,63179.479999999996,19900.319999999996,1858.6992,,22414.050000000003,44585.6057,4669.7047,2700.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,0,,,22,8,27,131,21,,,,,78.87,1594,51.28,453,122,,,,,,,,,,,,,865,134.2,244.5,26.94,96.57,16.4,4.68,13.6,1.75,8.74,1.58,4.1,0.53,3.3,0.45,9.86,7.02,,,,,,,,,7.87,,16.63,4.21,,,,,,,,,,,,,,,,,,,,,,,,,105265,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,200 M NNW OF HOYO NEGRO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s HUS251921 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,212122.00300000003,18519.606,,85368.1863,,,,75320.37,63536.83,21528.528,1858.6992,,22331.035,45030.719900000004,4975.1993999999995,3100.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,21,,,16,15,35,142,25,,,,,78.63,1892,40.89,614,185,,,,,,,,,,,,,1034,145.1,264.8,31.19,111.9,18.62,5.05,13.73,1.9,9.58,1.69,4.48,0.58,3.68,0.53,13.24,9.33,,,,,,,,,9.46,,18.44,5.23,,,,,,,,,,,,,,,,,,,,,,,,,105266,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,HOYO NEGRO CRATER RIM,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1517 [4795],PHONOTEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,212262.2335,21096.768,,81081.2532,,,,84492.51,64394.47,37267.871999999996,1781.2534,,19757.57,36276.80729999999,3884.1469,4200.,,,,,,,,,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,127,,,51,84,71,141,26,,,,,58,1618,43,495,150,,,,,,,,,,,,,849,138,240,25,87,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105267,
[4846],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,CALDERA WALL,28.3,28.3,-16.6,-16.6,SUBAERIAL,,,s DH97-19A [4846],PHONOTEPHRITE [4846],,,,QUATERNARY [4846],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4846] ,238719.05450000003,15462.972,,91825.0485,,,,64826.82,53531.03,30332.912,1471.4702,,18180.285,38873.3068,2225.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,199,127,,,,59,34,113,24,,,,,41,706,35,505,155,,,,,,,,,,,,0.83,456,87,146,14.4,52,9.97,2.95,8.28,1.25,6.88,1.31,3.33,0.46,2.82,0.42,11.4,9,,,,,,,,,6.9,,11.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,105393,
[4846],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA / DIEGO HERNANDEZ FORMATION / ATLANTIC OCEAN,CALDERA WALL,28.3,28.3,-16.6,-16.6,SUBAERIAL,,,s DH97-19B [4846],PHONOTEPHRITE [4846],,,,QUATERNARY [4846],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4846] ,238298.363,14504.027999999998,,90766.5465,,,,64904.549999999996,50743.7,28523.792,1394.0244,,24738.47,41543.992,2225.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,194,128,,,,59,30,114,24,,,,,75,690,35,517,155,,,,,,,,,,,,0.87,439,89,147,14.3,51,9.73,2.82,8.1,1.22,6.8,1.27,3.21,0.46,2.77,0.41,11.1,8.9,,,,,,,,,8.1,,11.5,3,,,,,,,,,,,,,,,,,,,,,,,,,105394,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,BASEMENT,30.1386,30.1386,-15.8656,-15.8656,SUBAERIAL,,,s J-35B [4868],PHONOTEPHRITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,209177.1625,10008.978,,96905.8581,,,,53400.51,67896.5,22674.303999999996,1781.2534,,21500.885,37463.7785,2007.5366000000001,6200.,,,,53800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,0,,,31,38,,110,13,,,,,31,799,27,236,83,,,,,,,,,,,,,1053,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106464,
[4868],OCEAN ISLAND,SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE / ATLANTIC OCEAN,BASEMENT,30.1386,30.1386,-15.8656,-15.8656,SUBAERIAL,,,s J-35F [4868],PHONOTEPHRITE [4868],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4868] ,200482.8715,9349.704,,82827.78150000001,,,,66925.53,82119.03,24423.12,1703.8076,,20006.615,35386.57889999999,5280.6941,8300.,,,,53000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,30,,,42,41,,116,19,,,,,33,620,36,245,74,,,,,,,,,,,,,660,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106465,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,GIPSY GULCH,-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC28 [521],PHONOTEPHRITE [521],,,,,,,,PORPHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,232969.60400000002,13305.348,,97858.50989999999,,,,51768.18,41809.95,13628.703999999998,1239.1328,,34700.27,43472.8202,3316.7996000000003,,,1100.,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,95,,,,9.6,,2.3,91,,,,,,112,1540,32,418,118,,,,,,,,,,,,,1180,95,189,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11371,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC64 [521],PHONOTEPHRITE [521],,,,,,,,APHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,226145.05300000004,18459.672,,92565.9999,,,,71200.68000000001,58462.46,24604.032,1316.5786,,28806.205,34793.0933,4145.9995,,,3000.,,,,,,,,,,,,,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,189,,,,23,4,4.3,103,,,,,,90,1305,34,413,108,,,,,,,,,,,,,896,80,173,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11372,
[521],OCEAN ISLAND,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA / ATLANTIC OCEAN,"PLANTATION GULCH, MAIN CLIFFS",-37.05,-37.05,-12.3,-12.3,SUBAERIAL,,,s TDC67 [521],PHONOTEPHRITE [521],,,,,,,,APHYRIC [521] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [521] ,225023.20900000003,18339.804,,93465.72660000001,,,,69101.97,59677.45,23759.775999999998,1394.0244,,29553.34,32344.965200000002,4931.5572999999995,,,2600.,,,,,,,,,,,,,8700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,176,,,,22,,5.8,102,,,,,,80,1400,35,387,108,,,,,,,,,,,,,823,81,172,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11373,
