Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4692],OCEAN ISLAND,ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE / ATLANTIC OCEAN,PLUGS,65.8,65.8,-16.97,-16.97,SUBAERIAL,,,s TH29 [4692],PICRITE [4692],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4692] ,221891.39450000002,2996.7,,70972.5591,,6364.54,57442.469999999994,,89337.5,94858.192,1200.4098999999999,,91.31649999999999,8382.9841,104.74104,,,,,,,,,,,,,,,,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.51,207,2176,,,63,559,95,50,11,,,,,0.24,57,14.1,19.1,0.47,,,,,,,,,,,,,3.67,0.54,1.84,0.36,2.31,1,0.45,1.72,0.32,2.2,0.48,1.41,0.22,1.45,0.23,0.62,0.041,,,0.0005785,,,,,,,,0.022,0.007,,,,,,,,,,,,,,,0.1302,,,,,,,,,,100134,
[4605],CONTINENTAL FLOOD BASALT,"NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","JAMA, DISKO (QEGERTARSSUAQ)",70.2,70.2,-54.8433,-54.8433,SUBAERIAL,5,5,s 176466 [4605],PICRITE [4605],,,,CENOZOIC [4605],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4605] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71471,,,,,,,,,,,,,,,,,,,,,100397,
[229][164],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / SOUTHWEST RIFT ZONE / PACIFIC OCEAN,KAU DESERT,19.35,19.35,-155.33,-155.33,SUBAERIAL,896,896,s KD-32 [229],PICRITE [229] / THOLEIITE [164],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [229] ,217684.47950000002,9109.967999999999,,47367.964499999995,,10910.640000000001,80683.74,,48671.07,132487.88799999998,1316.5786,,2324.42,11795.5263,654.6315,,1600.,300.,,100.,,200.,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,185,847,,,69.8,510,,110,14.1,,,,,,,8.4,,,3.3,,,,,,,,,,,0,429,6.9,20.3,,13.1,2.98,1.13,,,3.2,,,,1.02,0.18,2.2,,,,,,,,,,3,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,1034-KD-32,
[229][164],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / SOUTHWEST RIFT ZONE / PACIFIC OCEAN,KAU DESERT,19.37,19.37,-155.32,-155.32,SUBAERIAL,969,969,s KD-56 [229],PICRITE [229] / THOLEIITE [164],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [229] ,229323.61100000003,11866.931999999999,,64251.07140000001,,7413.64,79906.43999999999,,67896.5,80204.31999999999,1239.1328,,2988.54,14466.2115,829.1999000000001,,1200.,100.,,0,,300.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,284,244,,,42.9,91,,128,22,,,,,,,18.8,,,3.8,,,,,,,,,,,0,152,10.9,33.3,,19.8,4.7,1.67,,,5.4,,,,1.9,0.25,3.4,,,,,,,,,,2.4,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1035-KD-56,
[2177],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / NORTH SHORE VOLCANIC GROUP,"GRAND PORTAGE ISLAND, MINNESOTA",46.75,48,-89.7,-92.1,SUBAERIAL,,,s GP-13A [2177],PICRITE [2177],,,MESO [2177],PROTEROZOIC [2177],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2177] ,,,,,,,,,,44986.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003044,0.0002739,,,,,,,,,,,,,,,,,,,,,,,,0.22943,,5.435,,,,,,,,104505,
[2177],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / NORTH SHORE VOLCANIC GROUP,"GRAND PORTAGE ISLAND, MINNESOTA",46.75,48,-89.7,-92.1,SUBAERIAL,,,s GP-17 [2177],PICRITE [2177],,,MESO [2177],PROTEROZOIC [2177],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2177] ,,,,,,,,,,52585.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006958,0.0001727,,,,,,,,,,,,,,,,,,,,,,,,0.50127,,20.41,,,,,,,,104506,
[2177],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / POWDER MILL GROUP,"LOWER SIEMENS CREEK VOLCANICS, NEAR WHITECAP SKI RESORT, ABOUT 2 MILES NORTH OF UPSON, WISCONSIN",46.75,48,-89.7,-92.1,SUBAERIAL,,,s KV-23 [2177],PICRITE [2177],,,MESO [2177],PROTEROZOIC [2177],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2177] ,,,,,,,,,,58133.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000083,0.0005057,,,,,,,,,,,,,,,,,,,,,,,,0.14994,,0.7928,,,,,,,,104507,
[2177],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / POWDER MILL GROUP,"LOWER SIEMENS CREEK VOLCANICS, NEAR WHITECAP SKI RESORT, ABOUT 2 MILES NORTH OF UPSON, WISCONSIN",46.75,48,-89.7,-92.1,SUBAERIAL,,,s KV-23 [2177],PICRITE [2177],,,MESO [2177],PROTEROZOIC [2177],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2177] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001207,0.0005398,,,,,,,,,,,,,,,,,,,,,,,,0.1507,,1.0932,,,,,,,,104508,
[2177],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / POWDER MILL GROUP,"SOUTHWEST OF CLUB LAKE AREA, WISCONSIN",46.75,48,-89.7,-92.1,SUBAERIAL,,,s 91KE521 [2177],PICRITE [2177],,,MESO [2177],PROTEROZOIC [2177],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2177] ,,,,,,,,,,101612.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000031,,,,,,,,,,,,,,,,,,,,,,,,0.1553,,,,,,,,,,104509,
[1209],OCEAN ISLAND,ICELAND / ICELAND / HALEYJARBUNGA / WESTERN ICELAND RIFT ZONE / ATLANTIC OCEAN,REYKJANES PENINSULA,63.815,63.815,-22.67,-22.67,SUBAERIAL,,,s D2-5 [1209],PICRITE [1209],,,,,,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [1209] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10475,
