Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR201 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,229463.84150000004,5753.664,,90978.24690000001,,29934.320000000003,37310.4,,81118.45,35760.272,1316.5786,,14859.685,14985.5114,1876.6103,,,,,,,,,,,,,,,,19400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,24,676,26,160,19,,,,,,,,,,,,,1212,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106685,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR150 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,239747.41150000002,5094.389999999999,,96429.5322,,26577.199999999997,31325.190000000002,,71755.87999999999,34976.32,1161.687,,21085.81,18101.3108,1920.2524,,,,,,,,,,,,,,,,3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,72,758,29,183,26,,,,,,,,,,,,,1109,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106686,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR209 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,252087.69550000003,5154.324,,98864.0868,,53154.399999999994,,,60463.62,27197.103999999996,1084.2412000000002,,23078.17,20326.8818,,,,,,,,,,,,,,,,,3000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,571,29,196,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106687,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR227 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,235073.0615,5753.664,,96800.0079,,63435.58,,,73042.34000000001,35699.968,1316.5786,,15772.849999999999,18101.3108,2007.5366000000001,,,,,,,,,,,,,,,,2800.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106688,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR157 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,235119.805,5873.531999999999,,96482.45730000001,,24269.18,39098.19,,74400.27,36966.352,1239.1328,,16852.045,18546.425,1440.1893,,,,,,,,,,,,,,,,3700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,54,660,28,149,21,,,,,,,,,,,,,865,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106689,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR78 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,236896.05800000002,5813.597999999999,,94047.9027,,25877.800000000003,36377.64,,73828.51,36966.352,1239.1328,,16603.,18027.1251,1396.5472,,,,,,,,,,,,,,,,7600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,53,651,26,135,16,,,,,,,,,,,,,841,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106690,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR33 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,237643.95400000003,6113.268,,88543.69230000001,,28115.879999999997,40030.950000000004,,74972.03,34011.456,1316.5786,,16519.985,17136.8967,1702.0419000000002,,,,,,,,,,,,,,,,11900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,64,665,30,166,20,,,,,,,,,,,,,881,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106691,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR102 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,237924.415,5813.597999999999,,95371.03020000001,,36298.86,26350.47,,74042.92,26955.887999999995,1161.687,,20089.63,18546.425,1614.7576999999999,,,,,,,,,,,,,,,,11900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,77,788,29,180,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106692,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR139 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,240962.7425,6472.872,,103786.1211,,23220.079999999998,38554.08,,64680.350000000006,16945.424,1161.687,,23493.245,22404.0814,2880.3786,,,,,,,,,,,,,,,,8900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,92,784,33,255,27,,,,,,,,,,,,,1053,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106694,
[4673],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / STROMBOLI / STROMBOLI / TYRRHENIAN SEA,,38.79,38.79,15.21,15.21,SUBAERIAL,,,s STR22 [4673],SHOSHONITE [4673],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4673] ,241710.63850000003,4375.182,,103151.0199,,8392.8,45394.32,,70183.54000000001,34554.192,1084.2412000000002,,18097.27,18323.8679,1963.8945,,,,,,,,,,,,,,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,66,586,26,138,21,,,,,,,,,,,,,875,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106695,
