Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R50 [4683],TEPHRITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,206419.296,20437.494,,93201.1011,,,,74309.88,67038.86,24664.336,1781.2534,,27976.055,29006.6087,4145.9995,,,,,,,,,,,,,,,,20099.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,215,8,,,,34,,,25,,,,,77,1331,30,408,132.7,,,,,,,,,,,,,1201,,216.84,,,,,,,,,,,,,,,,,,,,,,,11,,12.47,1.7,,,,,,,,,,,,,,,,,,,,,,,,,100053,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,ANAGA MASSIF,28.5,28.5,-16.3,-16.3,SUBAERIAL,,,s AN37 [4843],TEPHRITE [4843],4200000 [4843],8000000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,200062.18,29067.989999999994,,77905.74720000001,,,,99727.59,78902.87999999999,34011.456,1610.8726399999998,,9621.4385,29896.8371,3504.46063,,,,,,,,,,,,,,,,6500.,,,,,,,,,,,,,,,,,,,,,,,,,149,,,19,,353,5,,,,15,45,112,22.8,,,,,31.8,1042,31.7,289,87.4,,,,,,,,,,,,,618,56,124,,62,,,,,,,,,,,,,,,,,,,,,2.8,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,104649,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE10 [4843],TEPHRITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,214833.12600000002,20857.032,,91507.4979,,,,81771.95999999999,71684.40999999999,25327.68,1448.23646,,13988.0275,28338.9374,3897.2395300000003,,,,,,,,,,,,,,,,9000.,,,,,,,,,,,,,,,,,,,,,,,,,149,,,12,,251,4,,,,9,27,115,25.1,,,,,38.2,1138,32.5,411,119.8,,,,,,,,,,,,,491,62,140,,65,,,,,,,,,,,,,,,,,,,,,2.9,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,104679,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE11 [4843],TEPHRITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,206746.5005,23973.6,,83357.0325,,,,89389.5,79546.11,32986.28799999999,1386.27982,,11613.7985,28116.3803,3159.68804,,,,,,,,,,,,,,,,5300.,,,,,,,,,,,,,,,,,,,,,,,,,305,,,20,,316,76,,,,62,99,115,25.3,,,,,29.6,942,28.6,343,93.1,,,,,,,,,,,,,385,53.5,111.8,,55.1,10.858,3.39,9.19,,6.16,,2.53,,1.753,0.237,,,,,,,,,,,3.05,,5.3,1.18,,,,,,,,,,,,,,,,,,,,,,,,,104680,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE12 [4843],TEPHRITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,208195.549,21875.91,,87485.19030000002,,,,87135.33,74614.68,30935.951999999997,1386.27982,,13531.445,31083.8083,3495.73221,,,,,,,,,,,,,,,,12900.,,,,,,,,,,,,,,,,,,,,,,,,,277,,,16,,278,27,,,,44,71,118,24.7,,,,,42.5,1112,29.9,344,101.8,,,,,,,,,,,,,480,64,135,,60,,,,,,,,,,,,,,,,,,,,,3,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,104681,
[4843],OCEAN ISLAND,CANARY ISLANDS / TENERIFE / ATLANTIC OCEAN,TENO MASSIF,28.3,28.3,-16.83,-16.83,SUBAERIAL,990,990,s TE41 [4843],TEPHRITE [4843],6000000 [4843],6400000 [4843],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4843] ,223714.391,18160.001999999997,,90343.14570000001,,,,79906.43999999999,62679.189999999995,24604.032,1711.55218,,15083.825499999999,34347.9791,3421.54064,,,,,,,,,,,,,,,,4200.,,,,,,,,,,,,,,,,,,,,,,,,,397,,,14,,189,16,,,,21,33,120,24.4,,,,,41.4,1345,41.8,421,119.5,,,,,,,,,,,,,609,77,165,,72,,,,,,,,,,,,,,,,,,,,,4.5,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,104706,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,"DURAZNERO VENT, SOUTHERN CRATER RIM",28.5,28.5,-18,-18,SUBAERIAL,,,s KLA1502 [4795],TEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,212355.72050000002,20437.494,,86109.1377,,,,83171.09999999999,65537.99,29729.871999999996,1626.3618,,19010.435,37686.3356,3927.789,4700.,,,,,,,,,,,,800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,36,,,57,46,65,137,27,,,,,65.38,1425,44.59,427,119,,,,,,,,,,,,,786,108.6,198.6,22.15,80.2,14.11,4.13,11.94,1.55,7.67,1.38,3.5,0.44,2.77,0.38,9.17,6.13,,,,,,,,,5.95,,12.65,3.55,,,,,,,,,,,,,,,,,,,,,,,,,105250,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,150 M SW OF DURAZNERO VENT,28.5,28.5,-18,-18,SUBAERIAL,,,s KLA1519 [4795],TEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,211374.10700000002,20317.626,,84944.78550000001,,,,81461.04000000001,64966.229999999996,29609.264,1626.3618,,19259.48,38873.3068,3796.8627,4200.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,47,,,34,50,70,130,24,,,,,67.77,1426,44.1,445,115,,,,,,,,,,,,,768,109.1,201,22.22,80.52,13.87,4.09,11.97,1.53,7.62,1.37,3.51,0.44,2.7,0.37,9.34,6.19,,,,,,,,,5.82,,12.62,3.49,,,,,,,,,,,,,,,,,,,,,,,,,105251,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,LLANO DEL BANCO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1100,1100,s KLA1203 [4795],TEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,211701.3115,20317.626,,85103.56079999999,,,,81461.04000000001,65180.63999999999,29910.784,1626.3618,,19176.465,40653.7636,3709.5785,2200.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,48,,,30,44,59,127,22,,,,,66.18,1373,42.92,415,107,,,,,,,,,,,,,752,106.2,194.7,21.79,79.1,13.88,4.04,11.55,1.52,7.45,1.35,3.44,0.44,2.7,0.37,9.21,6.04,,,,,,,,,5.94,,12.4,3.48,,,,,,,,,,,,,,,,,,,,,,,,,105255,
[4795],OCEAN ISLAND,CANARY ISLANDS / LA PALMA / ATLANTIC OCEAN,LLANO DEL BANCO CRATER,28.5,28.5,-18,-18,SUBAERIAL,1270,1270,s KLA1215 [4795],TEPHRITE [4795],,,,,,,1949,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4795] ,211794.79850000003,20137.823999999997,,85050.6357,,,,80450.55,64465.939999999995,29548.96,1626.3618,,19591.539999999997,40505.392199999995,3884.1469,3200.,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,46,,,28,46,63,129,23,,,,,68.91,1446,44.39,443,121,,,,,,,,,,,,,790,109.4,200.6,22.22,81.16,14.18,4.08,11.86,1.53,7.55,1.34,3.48,0.44,2.71,0.38,9.14,6.19,,,,,,,,,6.15,,12.56,3.54,,,,,,,,,,,,,,,,,,,,,,,,,105256,
