Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s A-1A [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,229884.53300000002,12765.942,,76688.46990000001,,,,80372.81999999999,60249.21,46494.384,929.3496,,2158.39,21217.1102,,,,,,,,,,,,,,,,,49500.,,,,,,,,,,,,,,5,,,,,,,,,,,,,,24.7,,,271,,,44,156,73,100,,,,,,3,195,,,,,,,,,,,,,,,,116,12.1,25.9,,14.7,4.4,1.5,,0.74,,,,,1.6,0.22,3,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,395327
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s A-2A [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,235260.0355,11926.866,,76900.1703,,,,77263.62,64251.53,48424.111999999994,1006.7954,,1826.33,18175.4965,,,,,,,,,,,,,,,,,44700.,,,,,,,,,,,,,,5,,,,,,,,,,,,,,26,,,266,,,43,158,65,101,,,,,,3,212,,,,,,,,,,,,,,,,102,11.5,26.2,,16.8,4.2,1.6,,0.83,,,,,1.6,0.23,2.8,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,395328
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s B-1 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,238064.6455,11507.328,,77535.2715,,,,76019.93999999999,62035.96,46494.384,1084.2412000000002,,2739.4950000000003,19362.467699999997,,,,,,,,,,,,,,,,,37000.,,,,,,,,,,,,,,5,,,,,,,,,,,,,,24.4,,,242,,,33,140,69,96,,,,,,6,136,,,,,,,,,,,,,,,,109,10.1,22.2,,12.8,3.9,1.5,,0.73,,,,,1.6,0.24,3.3,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,395330
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s B-2 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,240729.02500000002,11627.195999999998,,77111.8707,,,,77263.62,,47278.335999999996,1006.7954,,3569.645,19362.467699999997,,,,,,,,,,,,,,,,,25800.,,,,,,,,,,,,,,5,,,,,,,,,,,,,,22.5,,,260,,,42,158,72,97,,,,,,9,188,,,,,,,,,,,,,,,,151,10.1,21.7,,13.6,3.8,1.4,,0.69,,,,,1.4,0.25,2.8,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,395331
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s B-4 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,231520.55550000002,11926.866,,82192.6803,,,,74853.99,64751.82000000001,42092.192,1239.1328,,1245.225,17952.9394,,,,,,,,,,,,,,,,,51800.,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,251,,,44,136,70,96,,,,,,2,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395333
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s C-1 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,238672.31100000002,11806.998,,77746.9719,,,,77263.62,71898.82,46132.56,1006.7954,,3984.72,19733.3962,,,,,,,,,,,,,,,,,12000.,,,,,,,,,,,,,,4,,,,,,,,,,,,,,22.5,,,264,,,46,154,74,101,,,,,,7,228,,,,,,,,,,,,,,,,182,10.5,24.6,,15.1,4.2,1.6,,0.86,,,,,1.5,0.23,2.5,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,395335
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s D-1 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,244702.22250000003,12106.668,,80181.5265,,,,76019.93999999999,64751.82000000001,43117.36,1084.2412000000002,,3237.585,18991.5392,,,,,,,,,,,,,,,,,19000.,,,,,,,,,,,,,,4,,,,,,,,,,,,,,23.3,,,216,,,41,149,74,102,,,,,,7,175,,,,,,,,,,,,,,,,221,11.2,24.3,,15.8,4.4,1.5,,0.78,,,,,1.7,0.24,2.6,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,395336
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s D-2 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,235260.0355,11687.13,,79493.5002,,,,76019.93999999999,64251.53,44624.96,929.3496,,3984.72,18546.425,,,,,,,,,,,,,,,,,41000.,,,,,,,,,,,,,,4,,,,,,,,,,,,,,22.5,,,249,,,40,156,74,97,,,,,,11,173,,,,,,,,,,,,,,,,185,11.3,24.3,,13.9,4.3,1.5,,0.83,,,,,1.6,0.23,2.7,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,395337
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s E-1 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,235260.0355,12226.536,,81292.9536,,,,76019.93999999999,61607.13999999999,48001.984,1006.7954,,3071.555,20401.067499999997,,,,,,,,,,,,,,,,,29900.000000000004,,,,,,,,,,,,,,5,,,,,,,,,,,,,,23.1,,,257,,,40,155,71,97,,,,,,6,166,,,,,,,,,,,,,,,,147,10.7,23,,14.7,4.1,1.5,,0.75,,,,,1.7,0.21,3.1,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,395338
[12143],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,NIU-HSIN SHAN AREA,23.58,23.58,119.5,119.5,SUBAERIAL,,,s E-2 [12143],THOLEIITE [12143],,,,NEOGENE [12143],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12143] ,239046.25900000002,12346.404,,81292.9536,,,,78429.56999999999,62965.07000000001,48001.984,1006.7954,,2905.5249999999996,20549.4389,,,,,,,,,,,,,,,,,12400.,,,,,,,,,,,,,,5,,,,,,,,,,,,,,24,,,260,,,43,154,65,95,,,,,,5,173,,,,,,,,,,,,,,,,96,10,22.9,,12.3,3.8,1.5,,0.68,,,,,1.5,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395339
