Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[4745],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / PACIFIC OCEAN,"ABU DISTRICT, HORIKOSHI",34,35,130,132,SUBAERIAL,,,s 1 [4745],TRACHYBASALT [4745],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4745] ,243159.68700000003,10008.978,,86320.8381,,14057.939999999999,48503.520000000004,,58390.99,40644.896,1084.2412000000002,,11954.16,31677.293899999997,2924.0207,,6899.999999999999,2300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100076
[4745],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / PACIFIC OCEAN,"ABU DISTRICT, KUNIGATOGE",34,35,130,132,SUBAERIAL,,,s 2 [4745],TRACHYBASALT [4745],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4745] ,237550.46700000003,7731.486,,92989.4007,,9371.960000000001,53944.62,,65895.34000000001,29971.087999999996,697.0122,,13863.505,29154.9801,3273.1575000000003,,8600.,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100077
[2977],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / PUTORANA REGION,"MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN",72,72,101,101,SUBAERIAL,,,s 1988/13 [2977],TRACHYBASALT [2977],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2977] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.54,1540.4,,,,,,,,,,,,,,,,,,,,23.82,143.8,,,,,,,,,,,,,,,,,,,,,,,,0.512659,,,0.704327,,,,,,,,,,,,,,,,,,,,,102954
[3744],CONVERGENT MARGIN,SUNDA ARC / SUNDA ARC / BALI / AGUNG / INDIAN OCEAN,,-8.25,-8.25,115.5,115.5,SUBAQUATIC,,,s AGUNG2 [3744],TRACHYBASALT [3744],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3744] ,217590.9925,6293.07,,65097.87300000001,,31542.94,41430.090000000004,,80904.04000000001,81470.704,1161.687,,11539.085,11202.0407,,,20200.,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103432
[1224],OCEAN ISLAND,ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / ATLANTIC OCEAN,HIGH HILL,-15.95,-15.95,-5.7,-5.7,SUBAERIAL,,,s CE14 [1224],TRACHYBASALT [1224],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1224] ,232081.4775,17560.662,,92301.37440000002,,,,91565.93999999999,53959.85,23639.167999999998,1548.9160000000002,,13448.43,26929.409099999997,3360.4417000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,25,9,44,,,,,,,34,852,65,366,95,,,,,,,,,,,,,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.783,,15.771,,40.071,,,,,,,,,,,,,,,10571
[4862],CONVERGENT MARGIN,AEOLIAN ARC / ITALY / VULCANO / LA FOSSA DI VULCANO / TYRRHENIAN SEA,1888,38.404,38.404,14.963,14.963,SUBAERIAL,,,s GS9 [4862],TRACHYBASALT [4862],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4862] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108480
[1894],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / NORILSK REGION / IVAKINO (IVAKINSKY) FORMATION,IKON RIVER BASIN,70.4,70.4,89.75,89.75,SUBAERIAL,,,s 13 [1894],TRACHYBASALT [1894],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1894] ,209364.13650000002,21096.768,,74624.391,,41054.78,71511.59999999999,,53459.560000000005,24784.944,1703.8076,,19010.435,23071.752699999997,5935.3256,,,,,,,,,,,,,,,,34600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109556
[1894],CONTINENTAL FLOOD BASALT,SIBERIAN TRAPS / PUTORANA REGION / DELKANSKY FORMATION,"MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN",72,72,101,101,SUBAERIAL,,,s 15 [1894],TRACHYBASALT [1894],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1894] ,213664.53850000002,23793.798,,67320.72720000001,,41474.42,56043.33,,49743.12,41609.76,1781.2534,,19176.465,19585.0248,3665.9364,,,,,,,,,,,,,,,,36500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109558
[5216],OCEAN ISLAND,FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA / PACIFIC OCEAN,,-3.85,-3.85,-32.42,-32.42,SUBAERIAL,,,s FN-10 [5216],TRACHYBASALT [5216],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5216] ,223246.956,19778.219999999998,,82616.0811,,76654.24,58841.61,,69397.37000000001,27317.712,1239.1328,,20006.615,23220.124099999997,2880.3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,12,,,,,,,,,,,465.63,,,,,,,,,,,,,,,46.54,106.1,,,10.87,3.78,,,,,,,,,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116186
[5176],OCEAN ISLAND,KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT CROZIER / INDIAN OCEAN,,-48.55,-49.75,68.5,70.58,SUBAERIAL,,,s OB93-201 [5176],TRACHYBASALT [5176],24800000 [5176],24800000 [5176],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5176] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282881,,,,,,,117030
